Input File: reformated-data/hibachi-res_BernoulliNB_GaussianNB-s47810_0.065.txt
Computation options used: -p 999 -r 707919253 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X4                 X6                 X9                 41.824     0.001
X5                 X6                 X9                 23.807     0.341
X1                 X2                 X8                 22.213     0.5
X0                 X3                 X6                 19.825     0.771
X1                 X2                 X4                 17.515     0.946
X2                 X3                 X6                 17.026     0.969
X4                 X6                 X7                 16.769     0.974
X4                 X5                 X6                 15.109     0.995
X1                 X3                 X5                 14.713     0.995
X1                 X2                 X7                 14.048     0.998
X1                 X5                 X6                 12.830     1
X2                 X4                 X6                 12.632     1
X1                 X6                 X9                 12.601     1
X3                 X4                 X6                 12.029     1
X4                 X6                 X8                 11.349     1
X3                 X6                 X9                 11.176     1
X3                 X4                 X9                 11.147     1
X3                 X5                 X8                 11.130     1
X2                 X5                 X9                 11.070     1
X2                 X5                 X6                 10.991     1
X2                 X3                 X4                 10.919     1
X2                 X7                 X8                 10.884     1
X6                 X7                 X9                 10.565     1
X5                 X6                 X7                 10.535     1
X3                 X4                 X7                 10.512     1
X1                 X2                 X5                 10.467     1
X2                 X4                 X7                 10.202     1
X3                 X5                 X6                 10.181     1
X0                 X4                 X6                  9.985     1
X0                 X6                 X9                  9.467     1
X1                 X2                 X6                  9.257     1
X3                 X4                 X5                  9.006     1
X3                 X4                 X8                  8.776     1
X1                 X4                 X9                  8.719     1
X6                 X8                 X9                  8.527     1
X2                 X5                 X7                  8.416     1
X1                 X4                 X6                  8.337     1
X1                 X2                 X3                  8.235     1
X3                 X6                 X8                  8.228     1
X0                 X1                 X7                  8.047     1
X0                 X6                 X7                  7.974     1
X1                 X4                 X5                  7.866     1
X6                 X7                 X8                  7.722     1
X2                 X6                 X7                  7.665     1
X2                 X4                 X5                  7.646     1
X2                 X3                 X8                  7.616     1
X2                 X7                 X9                  7.433     1
X1                 X3                 X9                  7.327     1
X0                 X2                 X6                  7.243     1
X2                 X3                 X7                  7.112     1
X1                 X8                 X9                  7.017     1
X0                 X7                 X8                  6.629     1
X2                 X4                 X8                  6.604     1
X4                 X7                 X9                  6.541     1
X1                 X5                 X7                  6.502     1
X1                 X4                 X7                  6.390     1
X0                 X1                 X2                  6.226     1
X1                 X3                 X4                  6.205     1
X4                 X5                 X9                  6.081     1
X1                 X3                 X6                  6.062     1
X1                 X3                 X8                  6.037     1
X0                 X2                 X3                  5.933     1
X2                 X4                 X9                  5.828     1
X2                 X8                 X9                  5.799     1
X0                 X7                 X9                  5.736     1
X0                 X3                 X5                  5.703     1
X0                 X2                 X4                  5.622     1
X3                 X6                 X7                  5.511     1
X3                 X7                 X8                  5.455     1
X0                 X2                 X7                  5.403     1
X1                 X2                 X9                  5.271     1
X1                 X7                 X8                  5.147     1
X1                 X5                 X8                  5.126     1
X1                 X3                 X7                  5.121     1
X0                 X1                 X5                  5.069     1
X2                 X3                 X5                  5.011     1
X0                 X3                 X7                  4.684     1
X0                 X4                 X8                  4.458     1
X0                 X2                 X5                  4.345     1
X2                 X3                 X9                  4.274     1
X0                 X1                 X3                  4.224     1
X0                 X5                 X8                  3.851     1
X5                 X7                 X9                  3.732     1
X0                 X1                 X8                  3.675     1
X3                 X5                 X7                  3.628     1
X4                 X7                 X8                  3.621     1
X0                 X5                 X7                  3.495     1
X0                 X1                 X9                  3.205     1
X0                 X5                 X6                  3.139     1
X0                 X6                 X8                  3.077     1
X3                 X7                 X9                  3.008     1
X2                 X6                 X9                  2.996     1
X1                 X7                 X9                  2.891     1
X0                 X3                 X8                  2.875     1
X1                 X4                 X8                  2.768     1
X0                 X4                 X7                  2.715     1
X2                 X5                 X8                  2.715     1
X7                 X8                 X9                  0         1
X1                 X5                 X9                  0         1
X0                 X1                 X4                  0         1
X5                 X8                 X9                  0         1
X0                 X4                 X9                  0         1
X5                 X7                 X8                  0         1
X1                 X6                 X7                  0         1
X5                 X6                 X8                  0         1
X0                 X1                 X6                  0         1
X4                 X8                 X9                  0         1
X2                 X6                 X8                  0         1
X0                 X4                 X5                  0         1
X0                 X3                 X9                  0         1
X1                 X6                 X8                  0         1
X0                 X5                 X9                  0         1
X0                 X3                 X4                  0         1
X4                 X5                 X8                  0         1
X4                 X5                 X7                  0         1
X0                 X2                 X9                  0         1
X3                 X8                 X9                  0         1
X3                 X5                 X9                  0         1
X0                 X2                 X8                  0         1
X0                 X8                 X9                  0         1
