Input File: reformatted-data/train/hibachi-res_BernoulliNB_GradientBoostingClassifier-s15237_0.060.txt
Computation options used: -p 999 -r 1309889900 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X0                 X1                 X4                 17.296     0.778
X1                 X2                 X3                 15.932     0.902
X2                 X3                 X9                 14.856     0.964
X0                 X6                 X8                 14.620     0.969
X2                 X6                 X9                 14.422     0.973
X1                 X2                 X5                 13.421     0.993
X0                 X6                 X7                 13.379     0.993
X0                 X4                 X9                 12.683     0.997
X4                 X5                 X6                 12.551     0.998
X6                 X7                 X8                 12.335     0.999
X4                 X5                 X7                 11.927     0.999
X0                 X1                 X8                 11.892     0.999
X4                 X7                 X9                 11.718     1
X7                 X8                 X9                 11.604     1
X0                 X1                 X9                 11.360     1
X1                 X2                 X9                 10.000     1
X0                 X1                 X2                  9.708     1
X0                 X3                 X9                  9.654     1
X1                 X4                 X5                  9.240     1
X1                 X5                 X8                  9.115     1
X5                 X7                 X9                  9.010     1
X2                 X5                 X7                  8.835     1
X2                 X4                 X9                  8.827     1
X2                 X7                 X8                  8.677     1
X2                 X3                 X8                  8.642     1
X0                 X6                 X9                  8.581     1
X2                 X5                 X6                  8.382     1
X0                 X2                 X7                  8.353     1
X0                 X5                 X6                  8.099     1
X2                 X7                 X9                  8.072     1
X0                 X3                 X6                  7.910     1
X0                 X4                 X5                  7.835     1
X1                 X2                 X7                  7.811     1
X1                 X5                 X6                  7.798     1
X1                 X5                 X7                  7.783     1
X1                 X4                 X6                  7.768     1
X0                 X2                 X6                  7.688     1
X1                 X4                 X9                  7.336     1
X0                 X4                 X7                  7.162     1
X5                 X7                 X8                  7.137     1
X3                 X6                 X7                  6.932     1
X4                 X5                 X8                  6.915     1
X0                 X1                 X3                  6.913     1
X0                 X7                 X8                  6.899     1
X2                 X4                 X5                  6.899     1
X5                 X6                 X8                  6.767     1
X1                 X5                 X9                  6.624     1
X0                 X3                 X7                  6.621     1
X0                 X7                 X9                  6.600     1
X1                 X6                 X7                  6.530     1
X0                 X1                 X5                  6.493     1
X1                 X2                 X4                  6.326     1
X0                 X2                 X5                  6.137     1
X4                 X7                 X8                  6.071     1
X2                 X6                 X8                  6.037     1
X3                 X4                 X9                  5.977     1
X0                 X1                 X7                  5.858     1
X3                 X6                 X9                  5.838     1
X0                 X4                 X6                  5.414     1
X0                 X4                 X8                  5.397     1
X1                 X2                 X6                  4.860     1
X3                 X4                 X8                  4.819     1
X1                 X2                 X8                  4.811     1
X5                 X8                 X9                  4.663     1
X6                 X7                 X9                  4.642     1
X1                 X3                 X4                  4.595     1
X1                 X6                 X8                  4.589     1
X3                 X4                 X6                  4.560     1
X2                 X3                 X7                  4.495     1
X5                 X6                 X9                  4.312     1
X1                 X4                 X8                  4.272     1
X2                 X5                 X9                  4.250     1
X2                 X3                 X5                  4.239     1
X2                 X8                 X9                  4.232     1
X5                 X6                 X7                  4.145     1
X3                 X6                 X8                  4.099     1
X2                 X6                 X7                  4.082     1
X1                 X3                 X5                  4.019     1
X2                 X4                 X8                  3.972     1
X0                 X2                 X8                  3.962     1
X1                 X3                 X9                  3.949     1
X4                 X6                 X9                  3.830     1
X1                 X3                 X6                  3.813     1
X0                 X2                 X4                  3.710     1
X1                 X4                 X7                  3.687     1
X1                 X7                 X8                  3.558     1
X3                 X5                 X6                  3.553     1
X0                 X2                 X9                  3.516     1
X3                 X5                 X7                  3.444     1
X3                 X4                 X5                  3.350     1
X3                 X7                 X9                  3.161     1
X3                 X5                 X8                  3.156     1
X3                 X5                 X9                  3.147     1
X2                 X3                 X6                  3.061     1
X0                 X5                 X8                  3.045     1
X4                 X6                 X7                  3.025     1
X2                 X3                 X4                  2.983     1
X0                 X5                 X7                  2.979     1
X0                 X5                 X9                  2.905     1
X2                 X5                 X8                  2.877     1
X2                 X4                 X6                  2.774     1
X3                 X8                 X9                  2.744     1
X4                 X8                 X9                  0         1
X6                 X8                 X9                  0         1
X0                 X3                 X5                  0         1
X4                 X6                 X8                  0         1
X4                 X5                 X9                  0         1
X0                 X1                 X6                  0         1
X3                 X7                 X8                  0         1
X3                 X4                 X7                  0         1
X0                 X2                 X3                  0         1
X0                 X3                 X8                  0         1
X2                 X4                 X7                  0         1
X1                 X8                 X9                  0         1
X1                 X7                 X9                  0         1
X1                 X6                 X9                  0         1
X1                 X3                 X8                  0         1
X1                 X3                 X7                  0         1
X0                 X8                 X9                  0         1
X0                 X3                 X4                  0         1
