Input File: reformatted-data/train/hibachi-res_BernoulliNB_LogisticRegression-s89530_0.323.txt
Computation options used: -p 999 -r 1311789091 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X3                 X5                 X9                 18.201     0.677
X1                 X3                 X6                 16.581     0.85
X1                 X3                 X7                 16.022     0.9
X0                 X1                 X7                 14.629     0.973
X0                 X3                 X6                 13.889     0.988
X3                 X5                 X8                 13.879     0.988
X2                 X5                 X8                 12.463     0.996
X2                 X3                 X6                 12.433     0.996
X0                 X2                 X9                 12.412     0.996
X2                 X6                 X9                 12.305     0.997
X1                 X2                 X3                 11.742     0.999
X5                 X6                 X8                 11.121     1
X1                 X5                 X9                 11.017     1
X0                 X2                 X3                 10.652     1
X0                 X3                 X9                 10.533     1
X0                 X1                 X6                 10.501     1
X1                 X3                 X5                 10.496     1
X3                 X5                 X6                 10.357     1
X3                 X8                 X9                 10.272     1
X5                 X6                 X9                 10.207     1
X1                 X2                 X5                  9.905     1
X5                 X6                 X7                  9.647     1
X0                 X3                 X8                  9.623     1
X2                 X3                 X7                  9.553     1
X1                 X5                 X7                  9.486     1
X0                 X1                 X2                  9.327     1
X1                 X6                 X8                  8.855     1
X1                 X6                 X7                  8.847     1
X1                 X2                 X7                  8.778     1
X2                 X3                 X8                  8.418     1
X2                 X8                 X9                  8.182     1
X1                 X2                 X6                  8.151     1
X5                 X7                 X8                  8.137     1
X0                 X3                 X7                  7.955     1
X0                 X3                 X5                  7.932     1
X0                 X2                 X8                  7.915     1
X0                 X2                 X6                  7.685     1
X2                 X5                 X6                  7.290     1
X1                 X7                 X8                  7.265     1
X0                 X6                 X8                  7.155     1
X2                 X3                 X9                  7.123     1
X1                 X3                 X8                  7.122     1
X0                 X4                 X6                  6.941     1
X2                 X5                 X9                  6.834     1
X0                 X5                 X8                  6.423     1
X1                 X7                 X9                  6.096     1
X3                 X7                 X8                  6.088     1
X0                 X6                 X9                  5.981     1
X0                 X5                 X6                  5.725     1
X3                 X5                 X7                  5.666     1
X1                 X5                 X6                  5.332     1
X1                 X5                 X8                  5.266     1
X0                 X2                 X5                  5.24      1
X2                 X4                 X9                  5.219     1
X0                 X4                 X9                  5.154     1
X4                 X6                 X9                  5.102     1
X0                 X5                 X9                  5.058     1
X1                 X3                 X9                  5.040     1
X0                 X1                 X3                  4.921     1
X2                 X4                 X7                  4.864     1
X1                 X4                 X8                  4.618     1
X3                 X6                 X9                  4.609     1
X0                 X1                 X8                  4.518     1
X4                 X8                 X9                  4.511     1
X4                 X5                 X7                  4.468     1
X5                 X7                 X9                  4.353     1
X0                 X6                 X7                  4.208     1
X5                 X8                 X9                  3.890     1
X1                 X6                 X9                  3.854     1
X3                 X6                 X8                  3.844     1
X0                 X1                 X5                  3.744     1
X0                 X4                 X5                  3.719     1
X0                 X4                 X7                  3.640     1
X0                 X8                 X9                  3.595     1
X0                 X7                 X8                  3.523     1
X1                 X4                 X9                  3.502     1
X2                 X3                 X5                  3.185     1
X2                 X5                 X7                  3.020     1
X6                 X7                 X9                  2.926     1
X2                 X6                 X8                  2.752     1
X7                 X8                 X9                  2.723     1
X0                 X4                 X8                  0         1
X4                 X5                 X8                  0         1
X4                 X5                 X9                  0         1
X4                 X6                 X7                  0         1
X4                 X6                 X8                  0         1
X2                 X4                 X8                  0         1
X4                 X7                 X8                  0         1
X4                 X7                 X9                  0         1
X1                 X8                 X9                  0         1
X0                 X3                 X4                  0         1
X0                 X2                 X7                  0         1
X0                 X2                 X4                  0         1
X0                 X1                 X9                  0         1
X2                 X4                 X6                  0         1
X0                 X1                 X4                  0         1
X6                 X7                 X8                  0         1
X2                 X4                 X5                  0         1
X6                 X8                 X9                  0         1
X2                 X3                 X4                  0         1
X1                 X4                 X5                  0         1
X2                 X7                 X8                  0         1
X2                 X7                 X9                  0         1
X1                 X3                 X4                  0         1
X3                 X4                 X5                  0         1
X3                 X4                 X6                  0         1
X3                 X4                 X7                  0         1
X3                 X4                 X8                  0         1
X3                 X4                 X9                  0         1
X1                 X2                 X9                  0         1
X1                 X2                 X8                  0         1
X1                 X2                 X4                  0         1
X2                 X6                 X7                  0         1
X3                 X6                 X7                  0         1
X1                 X4                 X6                  0         1
X0                 X7                 X9                  0         1
X1                 X4                 X7                  0         1
X3                 X7                 X9                  0         1
X0                 X5                 X7                  0         1
X4                 X5                 X6                  0         1
