Input File: reformatted-data/train/hibachi-res_BernoulliNB_RandomForestClassifier-s64005_0.049.txt
Computation options used: -p 999 -r 1312747090 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X0                 X1                 X7                 18.227     0.687
X0                 X1                 X2                 14.857     0.963
X1                 X2                 X6                 14.259     0.979
X1                 X2                 X8                 13.694     0.988
X0                 X7                 X8                 13.612     0.991
X0                 X5                 X7                 13.162     0.996
X2                 X5                 X6                 12.674     0.998
X0                 X4                 X7                 12.672     0.998
X1                 X5                 X8                 11.848     1
X0                 X2                 X7                 11.776     1
X3                 X4                 X8                 11.641     1
X3                 X5                 X9                 11.148     1
X1                 X2                 X9                 11.103     1
X1                 X6                 X9                 11.047     1
X0                 X7                 X9                 10.947     1
X1                 X4                 X9                 10.740     1
X0                 X1                 X8                 10.406     1
X3                 X5                 X8                 10.263     1
X2                 X6                 X7                 10.175     1
X0                 X6                 X7                  9.829     1
X2                 X5                 X8                  9.456     1
X0                 X4                 X6                  9.436     1
X1                 X3                 X8                  9.323     1
X2                 X3                 X8                  8.962     1
X0                 X1                 X5                  8.713     1
X4                 X6                 X9                  8.505     1
X1                 X4                 X8                  8.378     1
X1                 X4                 X7                  8.370     1
X1                 X6                 X8                  8.335     1
X1                 X8                 X9                  8.324     1
X1                 X3                 X4                  8.208     1
X1                 X5                 X7                  8.203     1
X0                 X3                 X8                  8.146     1
X1                 X2                 X4                  7.929     1
X1                 X5                 X6                  7.745     1
X0                 X5                 X8                  7.609     1
X0                 X1                 X3                  7.593     1
X5                 X6                 X8                  7.551     1
X0                 X1                 X6                  7.377     1
X0                 X1                 X9                  7.326     1
X5                 X6                 X7                  7.046     1
X0                 X3                 X7                  6.980     1
X1                 X2                 X3                  6.910     1
X1                 X7                 X8                  6.743     1
X0                 X8                 X9                  6.455     1
X2                 X4                 X9                  6.450     1
X2                 X4                 X8                  6.167     1
X0                 X6                 X8                  5.990     1
X3                 X7                 X8                  5.906     1
X2                 X7                 X8                  5.865     1
X2                 X5                 X9                  5.818     1
X4                 X6                 X8                  5.547     1
X3                 X6                 X7                  5.536     1
X3                 X4                 X6                  5.495     1
X2                 X3                 X4                  5.411     1
X0                 X1                 X4                  5.306     1
X0                 X2                 X5                  5.271     1
X2                 X4                 X7                  5.266     1
X2                 X5                 X7                  5.216     1
X5                 X7                 X8                  5.178     1
X1                 X3                 X5                  5.143     1
X4                 X5                 X8                  4.989     1
X0                 X2                 X9                  4.922     1
X0                 X2                 X8                  4.730     1
X3                 X4                 X7                  4.686     1
X0                 X6                 X9                  4.551     1
X3                 X7                 X9                  4.532     1
X0                 X2                 X6                  4.463     1
X1                 X2                 X5                  4.420     1
X2                 X6                 X9                  4.241     1
X3                 X4                 X9                  4.214     1
X6                 X7                 X8                  4.195     1
X1                 X3                 X7                  4.165     1
X3                 X4                 X5                  4.112     1
X4                 X5                 X7                  3.93      1
X2                 X3                 X5                  3.924     1
X0                 X2                 X4                  3.872     1
X0                 X4                 X5                  3.649     1
X2                 X3                 X6                  3.557     1
X1                 X3                 X6                  3.466     1
X2                 X3                 X7                  3.445     1
X4                 X7                 X9                  3.416     1
X1                 X2                 X7                  3.408     1
X0                 X5                 X6                  3.321     1
X4                 X7                 X8                  3.266     1
X1                 X4                 X5                  3.164     1
X3                 X5                 X7                  3.051     1
X2                 X3                 X9                  3.005     1
X1                 X3                 X9                  2.984     1
X1                 X5                 X9                  2.885     1
X0                 X3                 X9                  2.865     1
X5                 X7                 X9                  2.823     1
X0                 X4                 X9                  2.79      1
X4                 X6                 X7                  2.753     1
X6                 X7                 X9                  2.742     1
X0                 X4                 X8                  0         1
X4                 X8                 X9                  0         1
X0                 X3                 X6                  0         1
X5                 X6                 X9                  0         1
X0                 X3                 X5                  0         1
X5                 X8                 X9                  0         1
X0                 X3                 X4                  0         1
X6                 X8                 X9                  0         1
X7                 X8                 X9                  0         1
X4                 X5                 X9                  0         1
X0                 X5                 X9                  0         1
X4                 X5                 X6                  0         1
X3                 X8                 X9                  0         1
X0                 X2                 X3                  0         1
X3                 X6                 X9                  0         1
X3                 X6                 X8                  0         1
X1                 X4                 X6                  0         1
X3                 X5                 X6                  0         1
X1                 X6                 X7                  0         1
X1                 X7                 X9                  0         1
X2                 X8                 X9                  0         1
X2                 X7                 X9                  0         1
X2                 X4                 X5                  0         1
X2                 X4                 X6                  0         1
X2                 X6                 X8                  0         1
