Input File: reformatted-data/train/hibachi-res_DecisionTreeClassifier_ExtraTreesClassifier-s92740_0.098.txt
Computation options used: -p 999 -r 1315167298 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X1                 X8                 X9                 20.272     0.485
X5                 X6                 X9                 20.171     0.495
X2                 X5                 X9                 18.195     0.72
X3                 X6                 X7                 17.640     0.782
X2                 X5                 X6                 17.173     0.833
X1                 X4                 X5                 16.859     0.862
X2                 X5                 X8                 16.213     0.908
X0                 X1                 X9                 15.612     0.938
X4                 X8                 X9                 15.518     0.944
X7                 X8                 X9                 14.401     0.984
X3                 X5                 X6                 14.311     0.985
X6                 X8                 X9                 13.161     0.998
X1                 X3                 X4                 12.958     0.999
X1                 X2                 X5                 12.512     0.999
X1                 X5                 X6                 12.390     0.999
X2                 X3                 X5                 12.273     0.999
X1                 X6                 X9                 12.131     1
X2                 X5                 X7                 11.661     1
X2                 X4                 X5                 11.625     1
X0                 X5                 X6                 11.615     1
X0                 X8                 X9                 11.605     1
X1                 X4                 X9                 11.483     1
X3                 X6                 X9                 11.372     1
X3                 X8                 X9                 11.078     1
X1                 X5                 X8                 10.736     1
X2                 X8                 X9                 10.501     1
X2                 X4                 X6                 10.181     1
X1                 X3                 X6                  9.673     1
X4                 X5                 X7                  9.029     1
X0                 X3                 X7                  8.976     1
X4                 X6                 X7                  8.952     1
X1                 X2                 X6                  8.887     1
X3                 X4                 X7                  8.728     1
X5                 X8                 X9                  8.696     1
X5                 X6                 X7                  8.587     1
X1                 X2                 X9                  8.495     1
X1                 X6                 X7                  8.431     1
X2                 X3                 X6                  8.342     1
X4                 X5                 X6                  8.197     1
X3                 X4                 X6                  8.068     1
X0                 X2                 X5                  8.067     1
X0                 X1                 X3                  8.035     1
X1                 X3                 X7                  7.992     1
X4                 X6                 X9                  7.988     1
X5                 X6                 X8                  7.916     1
X0                 X3                 X9                  7.891     1
X1                 X5                 X9                  7.641     1
X0                 X5                 X9                  7.638     1
X3                 X5                 X9                  7.494     1
X0                 X3                 X5                  7.487     1
X3                 X7                 X9                  7.252     1
X2                 X4                 X7                  7.121     1
X0                 X7                 X8                  7.012     1
X2                 X7                 X9                  6.984     1
X2                 X6                 X9                  6.932     1
X0                 X3                 X4                  6.791     1
X4                 X5                 X9                  6.764     1
X2                 X4                 X9                  6.753     1
X1                 X4                 X6                  6.722     1
X0                 X1                 X6                  6.443     1
X0                 X1                 X4                  6.438     1
X0                 X2                 X8                  6.377     1
X0                 X2                 X9                  6.321     1
X0                 X2                 X3                  6.294     1
X1                 X7                 X9                  6.065     1
X1                 X2                 X7                  5.934     1
X0                 X7                 X9                  5.892     1
X0                 X1                 X7                  5.756     1
X0                 X1                 X5                  5.654     1
X1                 X3                 X8                  5.432     1
X2                 X6                 X8                  5.232     1
X0                 X4                 X7                  5.079     1
X4                 X5                 X8                  5.060     1
X1                 X3                 X5                  4.735     1
X6                 X7                 X8                  4.501     1
X0                 X4                 X5                  4.477     1
X2                 X3                 X9                  4.418     1
X3                 X4                 X5                  4.282     1
X0                 X2                 X6                  4.106     1
X0                 X5                 X7                  4.099     1
X0                 X3                 X6                  3.974     1
X3                 X5                 X8                  3.859     1
X3                 X7                 X8                  3.837     1
X0                 X4                 X8                  3.719     1
X0                 X1                 X2                  3.668     1
X3                 X4                 X8                  3.592     1
X3                 X6                 X8                  3.583     1
X1                 X7                 X8                  3.441     1
X6                 X7                 X9                  3.385     1
X1                 X6                 X8                  3.309     1
X5                 X7                 X8                  3.257     1
X4                 X6                 X8                  3.237     1
X0                 X6                 X8                  3.208     1
X3                 X5                 X7                  3.18      1
X0                 X6                 X9                  3.117     1
X2                 X6                 X7                  3.085     1
X4                 X7                 X8                  2.958     1
X0                 X2                 X4                  2.838     1
X2                 X3                 X8                  2.828     1
X2                 X4                 X8                  2.797     1
X0                 X3                 X8                  2.718     1
X5                 X7                 X9                  0         1
X0                 X6                 X7                  0         1
X0                 X5                 X8                  0         1
X0                 X4                 X9                  0         1
X1                 X2                 X3                  0         1
X0                 X4                 X6                  0         1
X4                 X7                 X9                  0         1
X1                 X2                 X4                  0         1
X1                 X2                 X8                  0         1
X1                 X3                 X9                  0         1
X1                 X4                 X7                  0         1
X1                 X4                 X8                  0         1
X1                 X5                 X7                  0         1
X0                 X2                 X7                  0         1
X2                 X3                 X4                  0         1
X2                 X3                 X7                  0         1
X3                 X4                 X9                  0         1
X0                 X1                 X8                  0         1
X2                 X7                 X8                  0         1
