Input File: reformated-data/hibachi-res_DecisionTreeClassifier_GradientBoostingClassifier-s68618_0.380.txt
Computation options used: -p 999 -r 719011873 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X3                 X5                 X9                 995.448    0.001
X1                 X3                 X9                  58.590    0.001
X3                 X6                 X9                  53.931    0.001
X0                 X3                 X5                  53.349    0.001
X0                 X3                 X9                  53.179    0.001
X3                 X5                 X8                  51.592    0.001
X3                 X8                 X9                  50.867    0.001
X3                 X4                 X5                  50.500    0.001
X3                 X4                 X9                  49.087    0.001
X3                 X7                 X9                  48.367    0.001
X3                 X5                 X6                  48.033    0.001
X1                 X3                 X5                  47.849    0.001
X2                 X3                 X5                  45.689    0.001
X2                 X3                 X9                  44.792    0.001
X3                 X5                 X7                  40.321    0.001
X2                 X3                 X6                  27.205    0.095
X2                 X4                 X6                  26.863    0.105
X2                 X6                 X7                  24.338    0.223
X2                 X6                 X9                  24.188    0.234
X2                 X5                 X6                  21.584    0.461
X3                 X4                 X8                  19.673    0.673
X2                 X4                 X7                  18.688    0.802
X1                 X2                 X9                  17.830    0.882
X2                 X3                 X7                  17.611    0.893
X1                 X5                 X9                  17.413    0.899
X0                 X7                 X8                  17.368    0.9
X2                 X6                 X8                  17.263    0.91
X2                 X7                 X9                  17.050    0.926
X4                 X7                 X8                  16.721    0.941
X5                 X7                 X9                  16.098    0.969
X0                 X2                 X6                  15.300    0.989
X0                 X8                 X9                  14.804    0.994
X1                 X7                 X8                  14.274    0.997
X1                 X2                 X6                  13.975    0.998
X0                 X2                 X7                  13.873    0.998
X0                 X6                 X9                  13.766    0.998
X1                 X7                 X9                  13.397    0.999
X1                 X4                 X9                  13.030    0.999
X0                 X1                 X9                  12.949    0.999
X4                 X5                 X8                  12.861    0.999
X1                 X6                 X9                  12.402    1
X0                 X2                 X4                  12.229    1
X3                 X6                 X7                  11.963    1
X7                 X8                 X9                  11.272    1
X0                 X2                 X9                  11.141    1
X4                 X7                 X9                  10.981    1
X3                 X4                 X6                  10.741    1
X1                 X3                 X8                  10.546    1
X0                 X7                 X9                  10.336    1
X0                 X4                 X7                  10.100    1
X0                 X3                 X7                   9.833    1
X0                 X4                 X8                   9.799    1
X3                 X7                 X8                   9.770    1
X4                 X8                 X9                   9.733    1
X0                 X4                 X9                   9.289    1
X0                 X5                 X9                   9.256    1
X2                 X3                 X4                   9.116    1
X1                 X3                 X7                   8.794    1
X2                 X4                 X9                   8.490    1
X2                 X4                 X8                   8.389    1
X2                 X5                 X9                   8.259    1
X1                 X3                 X6                   8.151    1
X1                 X5                 X7                   7.895    1
X0                 X1                 X8                   7.507    1
X3                 X4                 X7                   7.354    1
X6                 X8                 X9                   7.251    1
X0                 X1                 X7                   7.059    1
X0                 X2                 X3                   7.000    1
X1                 X2                 X4                   6.990    1
X1                 X2                 X3                   6.902    1
X0                 X5                 X7                   6.740    1
X1                 X8                 X9                   6.720    1
X1                 X2                 X8                   6.663    1
X1                 X4                 X7                   6.655    1
X0                 X1                 X3                   6.417    1
X1                 X5                 X6                   6.398    1
X0                 X3                 X6                   6.078    1
X5                 X6                 X9                   5.908    1
X0                 X2                 X8                   5.807    1
X0                 X1                 X4                   5.804    1
X1                 X3                 X4                   5.661    1
X0                 X1                 X5                   5.540    1
X5                 X7                 X8                   5.436    1
X5                 X8                 X9                   5.311    1
X2                 X4                 X5                   5.117    1
X3                 X6                 X8                   4.964    1
X1                 X4                 X5                   4.891    1
X2                 X3                 X8                   4.731    1
X0                 X1                 X6                   4.708    1
X5                 X6                 X7                   4.649    1
X1                 X2                 X7                   4.452    1
X0                 X4                 X5                   4.358    1
X2                 X5                 X8                   4.312    1
X1                 X4                 X6                   3.974    1
X0                 X2                 X5                   3.885    1
X0                 X5                 X6                   3.875    1
X4                 X5                 X7                   3.848    1
X0                 X1                 X2                   3.760    1
X4                 X6                 X8                   3.758    1
X4                 X6                 X9                   3.638    1
X2                 X7                 X8                   3.623    1
X1                 X4                 X8                   3.594    1
X0                 X3                 X4                   3.559    1
X6                 X7                 X8                   3.534    1
X1                 X5                 X8                   3.489    1
X1                 X6                 X8                   3.424    1
X2                 X8                 X9                   3.269    1
X0                 X4                 X6                   3.093    1
X4                 X5                 X9                   3.058    1
X6                 X7                 X9                   3.056    1
X4                 X5                 X6                   2.912    1
X0                 X5                 X8                   2.730    1
X0                 X3                 X8                   0        1
X2                 X5                 X7                   0        1
X0                 X6                 X7                   0        1
X5                 X6                 X8                   0        1
X0                 X6                 X8                   0        1
X1                 X6                 X7                   0        1
X1                 X2                 X5                   0        1
X4                 X6                 X7                   0        1
