Input File: reformated-data/hibachi-res_DecisionTreeClassifier_KNeighborsClassifier-s19433_0.517.txt
Computation options used: -p 999 -r 719717767 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X1                 X3                 X5                 927.914    0.001
X1                 X2                 X3                  63.708    0.001
X1                 X5                 X8                  57.277    0.001
X1                 X2                 X5                  56.441    0.001
X1                 X4                 X5                  54.969    0.001
X1                 X3                 X7                  54.201    0.001
X1                 X3                 X6                  53.980    0.001
X1                 X5                 X9                  53.710    0.001
X1                 X5                 X6                  52.381    0.001
X1                 X5                 X7                  51.677    0.001
X0                 X1                 X5                  51.610    0.001
X1                 X3                 X9                  50.887    0.001
X1                 X3                 X8                  48.113    0.001
X0                 X1                 X3                  47.785    0.001
X1                 X3                 X4                  46.802    0.001
X3                 X5                 X6                  20.047    0.71
X2                 X6                 X9                  19.075    0.805
X2                 X5                 X9                  18.443    0.855
X0                 X2                 X6                  18.075    0.888
X2                 X5                 X6                  17.224    0.932
X1                 X7                 X9                  17.180    0.932
X5                 X6                 X9                  15.732    0.981
X0                 X4                 X9                  15.016    0.994
X3                 X5                 X8                  14.486    0.996
X3                 X5                 X7                  14.369    0.996
X2                 X4                 X6                  12.677    1
X0                 X2                 X9                  12.637    1
X2                 X3                 X9                  12.532    1
X2                 X3                 X7                  12.489    1
X1                 X4                 X6                  12.218    1
X0                 X3                 X5                  12.078    1
X2                 X5                 X7                  11.927    1
X0                 X6                 X9                  11.534    1
X3                 X4                 X7                  11.360    1
X2                 X4                 X9                  11.213    1
X1                 X4                 X8                  11.200    1
X0                 X5                 X8                  11.188    1
X4                 X7                 X9                  10.547    1
X0                 X5                 X6                  10.32     1
X2                 X7                 X8                  10.221    1
X0                 X4                 X6                  10.2      1
X3                 X4                 X6                  10.131    1
X2                 X8                 X9                   9.942    1
X0                 X1                 X8                   9.744    1
X2                 X3                 X6                   9.676    1
X0                 X3                 X8                   9.643    1
X0                 X4                 X8                   9.611    1
X0                 X2                 X8                   9.565    1
X2                 X5                 X8                   9.373    1
X1                 X2                 X9                   9.258    1
X1                 X2                 X8                   9.130    1
X5                 X7                 X9                   9.004    1
X6                 X7                 X8                   8.885    1
X1                 X4                 X7                   8.854    1
X0                 X4                 X5                   8.753    1
X3                 X8                 X9                   8.677    1
X2                 X6                 X8                   8.521    1
X3                 X6                 X8                   8.213    1
X1                 X2                 X7                   8.131    1
X1                 X2                 X6                   8.023    1
X3                 X4                 X8                   7.643    1
X2                 X4                 X8                   7.605    1
X2                 X3                 X5                   7.405    1
X0                 X5                 X7                   6.970    1
X0                 X2                 X4                   6.782    1
X3                 X5                 X9                   6.770    1
X2                 X4                 X7                   6.743    1
X5                 X6                 X7                   6.713    1
X3                 X4                 X5                   6.647    1
X5                 X6                 X8                   6.266    1
X0                 X3                 X4                   6.171    1
X0                 X2                 X5                   6.119    1
X4                 X5                 X9                   6.033    1
X1                 X2                 X4                   6.026    1
X4                 X6                 X9                   6.009    1
X0                 X4                 X7                   5.991    1
X3                 X4                 X9                   5.937    1
X0                 X1                 X6                   5.862    1
X5                 X8                 X9                   5.813    1
X1                 X6                 X7                   5.589    1
X0                 X5                 X9                   5.382    1
X2                 X3                 X4                   5.204    1
X4                 X5                 X7                   4.894    1
X2                 X7                 X9                   4.826    1
X0                 X3                 X7                   4.638    1
X0                 X8                 X9                   4.543    1
X2                 X3                 X8                   4.404    1
X0                 X1                 X4                   4.376    1
X1                 X6                 X8                   4.337    1
X0                 X6                 X8                   4.247    1
X3                 X7                 X9                   3.981    1
X0                 X2                 X3                   3.955    1
X4                 X7                 X8                   3.796    1
X0                 X7                 X9                   3.794    1
X4                 X6                 X7                   3.762    1
X2                 X6                 X7                   3.749    1
X2                 X4                 X5                   3.327    1
X4                 X5                 X6                   3.309    1
X1                 X6                 X9                   3.270    1
X3                 X7                 X8                   3.167    1
X1                 X8                 X9                   3.145    1
X3                 X6                 X9                   3.098    1
X0                 X3                 X9                   3.032    1
X0                 X7                 X8                   3.004    1
X0                 X3                 X6                   3.002    1
X0                 X6                 X7                   2.977    1
X0                 X2                 X7                   2.944    1
X7                 X8                 X9                   2.907    1
X5                 X7                 X8                   2.759    1
X4                 X6                 X8                   0        1
X4                 X8                 X9                   0        1
X4                 X5                 X8                   0        1
X3                 X6                 X7                   0        1
X1                 X7                 X8                   0        1
X1                 X4                 X9                   0        1
X0                 X1                 X9                   0        1
X0                 X1                 X7                   0        1
X6                 X7                 X9                   0        1
X6                 X8                 X9                   0        1
X0                 X1                 X2                   0        1
