Input File: reformatted-data/train/hibachi-res_DecisionTreeClassifier_KNeighborsClassifier-s56416_0.496.txt
Computation options used: -p 999 -r 1316932033 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X3                 X8                 X9                 481.466    0.001
X0                 X8                 X9                 481.275    0.001
X4                 X8                 X9                 457.42     0.001
X2                 X8                 X9                 456.849    0.001
X7                 X8                 X9                 456.72     0.001
X5                 X8                 X9                 454.635    0.001
X6                 X8                 X9                 454.294    0.001
X1                 X8                 X9                 430.342    0.001
X0                 X5                 X9                  27.285    0.032
X2                 X5                 X9                  15.885    0.898
X3                 X4                 X7                  14.487    0.961
X0                 X1                 X2                  13.744    0.982
X4                 X5                 X9                  13.615    0.984
X2                 X3                 X6                  12.844    0.996
X2                 X6                 X8                  12.241    0.998
X0                 X2                 X9                  11.544    0.999
X2                 X4                 X5                  10.812    1
X0                 X4                 X8                  10.599    1
X2                 X3                 X4                  10.227    1
X3                 X5                 X9                   9.879    1
X3                 X4                 X8                   9.506    1
X3                 X4                 X5                   9.307    1
X1                 X2                 X6                   9.079    1
X0                 X5                 X7                   8.788    1
X0                 X6                 X9                   8.706    1
X0                 X2                 X5                   8.294    1
X4                 X5                 X7                   8.223    1
X0                 X1                 X9                   8.147    1
X3                 X7                 X8                   8.125    1
X1                 X5                 X9                   8.107    1
X4                 X5                 X6                   8.025    1
X5                 X6                 X7                   7.825    1
X2                 X3                 X9                   7.788    1
X0                 X1                 X5                   7.777    1
X1                 X3                 X8                   7.758    1
X0                 X2                 X4                   7.582    1
X3                 X6                 X9                   7.397    1
X2                 X3                 X8                   7.056    1
X1                 X6                 X8                   7.043    1
X1                 X2                 X8                   7.036    1
X1                 X4                 X5                   6.872    1
X0                 X2                 X3                   6.864    1
X2                 X4                 X9                   6.848    1
X0                 X4                 X9                   6.685    1
X5                 X6                 X9                   6.637    1
X2                 X4                 X8                   6.626    1
X1                 X5                 X8                   6.529    1
X0                 X1                 X8                   6.420    1
X1                 X4                 X8                   6.298    1
X1                 X3                 X6                   6.273    1
X0                 X4                 X7                   6.243    1
X4                 X6                 X9                   5.812    1
X1                 X3                 X7                   5.707    1
X2                 X3                 X5                   5.598    1
X4                 X6                 X8                   5.570    1
X0                 X2                 X6                   5.442    1
X2                 X7                 X8                   5.301    1
X3                 X5                 X7                   5.210    1
X1                 X2                 X3                   5.186    1
X1                 X3                 X9                   5.159    1
X0                 X4                 X5                   5.045    1
X2                 X6                 X9                   5.012    1
X1                 X3                 X5                   5.000    1
X0                 X3                 X4                   4.709    1
X1                 X2                 X9                   4.650    1
X0                 X7                 X9                   4.627    1
X0                 X3                 X5                   4.620    1
X1                 X2                 X7                   4.577    1
X0                 X1                 X4                   4.472    1
X2                 X4                 X7                   4.436    1
X2                 X7                 X9                   4.419    1
X0                 X2                 X7                   4.297    1
X3                 X5                 X8                   4.224    1
X1                 X5                 X7                   4.223    1
X6                 X7                 X8                   4.211    1
X0                 X2                 X8                   3.921    1
X2                 X5                 X6                   3.845    1
X2                 X5                 X7                   3.762    1
X3                 X4                 X6                   3.759    1
X6                 X7                 X9                   3.757    1
X4                 X5                 X8                   3.742    1
X2                 X6                 X7                   3.684    1
X3                 X6                 X8                   3.646    1
X1                 X7                 X8                   3.612    1
X0                 X5                 X8                   3.509    1
X0                 X1                 X7                   3.482    1
X0                 X1                 X3                   3.426    1
X4                 X7                 X8                   3.410    1
X0                 X3                 X6                   3.353    1
X0                 X5                 X6                   3.313    1
X5                 X7                 X9                   3.242    1
X1                 X4                 X7                   3.141    1
X1                 X6                 X7                   3.082    1
X1                 X7                 X9                   2.968    1
X2                 X4                 X6                   2.929    1
X3                 X7                 X9                   2.928    1
X0                 X3                 X9                   2.911    1
X3                 X4                 X9                   2.796    1
X3                 X5                 X6                   2.716    1
X4                 X7                 X9                   0        1
X1                 X6                 X9                   0        1
X5                 X6                 X8                   0        1
X1                 X4                 X6                   0        1
X5                 X7                 X8                   0        1
X1                 X4                 X9                   0        1
X1                 X5                 X6                   0        1
X1                 X3                 X4                   0        1
X2                 X3                 X7                   0        1
X4                 X6                 X7                   0        1
X1                 X2                 X5                   0        1
X0                 X3                 X7                   0        1
X0                 X3                 X8                   0        1
X0                 X1                 X6                   0        1
X1                 X2                 X4                   0        1
X3                 X6                 X7                   0        1
X0                 X4                 X6                   0        1
X2                 X5                 X8                   0        1
X0                 X7                 X8                   0        1
X0                 X6                 X8                   0        1
X0                 X6                 X7                   0        1
