Input File: reformated-data/hibachi-res_DecisionTreeClassifier_MLPClassifier-s3726_0.346.txt
Computation options used: -p 999 -r 722776641 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X0                 X5                 X7                 69.645     0.001
X0                 X7                 X9                 58.225     0.001
X0                 X4                 X7                 44.846     0.001
X1                 X4                 X9                 34.357     0.007
X4                 X7                 X9                 32.531     0.015
X0                 X4                 X9                 31.259     0.023
X5                 X7                 X9                 30.460     0.027
X0                 X1                 X7                 28.798     0.056
X4                 X7                 X8                 27.574     0.091
X1                 X5                 X9                 27.223     0.1
X4                 X5                 X9                 26.519     0.117
X5                 X7                 X8                 25.705     0.152
X0                 X5                 X9                 24.867     0.222
X1                 X5                 X7                 23.910     0.283
X1                 X7                 X9                 23.275     0.33
X6                 X7                 X9                 22.651     0.401
X0                 X7                 X8                 22.394     0.433
X1                 X4                 X7                 21.670     0.508
X1                 X5                 X6                 20.155     0.669
X1                 X3                 X5                 20.096     0.67
X2                 X7                 X9                 20.043     0.68
X3                 X5                 X9                 19.927     0.693
X1                 X2                 X3                 19.337     0.761
X7                 X8                 X9                 19.159     0.778
X4                 X5                 X7                 18.936     0.791
X2                 X4                 X9                 18.845     0.793
X3                 X7                 X9                 18.773     0.797
X3                 X5                 X8                 18.576     0.804
X5                 X6                 X8                 18.426     0.818
X2                 X4                 X6                 18.203     0.841
X1                 X2                 X5                 18.032     0.853
X2                 X7                 X8                 17.962     0.856
X0                 X3                 X5                 17.579     0.879
X0                 X3                 X9                 17.499     0.88
X3                 X5                 X6                 17.317     0.885
X4                 X8                 X9                 17.129     0.894
X0                 X1                 X5                 16.720     0.928
X0                 X1                 X9                 16.200     0.957
X1                 X3                 X4                 15.850     0.97
X2                 X6                 X8                 15.647     0.977
X0                 X4                 X5                 15.414     0.984
X5                 X6                 X9                 15.321     0.985
X1                 X3                 X7                 15.231     0.988
X2                 X4                 X5                 15.207     0.988
X0                 X5                 X6                 14.835     0.992
X5                 X6                 X7                 14.812     0.992
X1                 X3                 X6                 14.775     0.992
X0                 X1                 X3                 14.662     0.992
X2                 X3                 X4                 14.513     0.992
X1                 X6                 X8                 14.498     0.992
X0                 X8                 X9                 13.885     0.996
X3                 X5                 X7                 13.782     0.996
X0                 X2                 X7                 13.629     0.996
X3                 X6                 X8                 13.575     0.996
X0                 X2                 X3                 13.547     0.996
X2                 X5                 X6                 13.093     0.998
X2                 X3                 X5                 12.984     0.998
X3                 X4                 X7                 12.972     0.999
X1                 X4                 X5                 12.935     0.999
X0                 X3                 X7                 12.93      0.999
X0                 X2                 X9                 12.853     0.999
X2                 X4                 X7                 12.780     0.999
X2                 X5                 X7                 12.775     0.999
X1                 X6                 X9                 12.668     0.999
X6                 X7                 X8                 12.513     0.999
X1                 X3                 X9                 12.301     0.999
X1                 X2                 X6                 12.232     0.999
X0                 X2                 X5                 11.481     1
X4                 X6                 X7                 11.423     1
X0                 X3                 X6                 11.073     1
X3                 X4                 X5                 11.018     1
X1                 X6                 X7                 10.951     1
X1                 X7                 X8                 10.924     1
X2                 X5                 X9                 10.781     1
X5                 X8                 X9                 10.550     1
X4                 X6                 X9                 10.461     1
X2                 X4                 X8                 10.101     1
X3                 X4                 X9                 10.023     1
X1                 X3                 X8                 10.014     1
X4                 X6                 X8                  9.998     1
X1                 X2                 X4                  9.954     1
X0                 X2                 X4                  9.735     1
X1                 X4                 X6                  9.702     1
X2                 X3                 X9                  9.492     1
X0                 X4                 X6                  9.485     1
X0                 X4                 X8                  9.484     1
X0                 X6                 X7                  9.236     1
X1                 X2                 X7                  9.169     1
X0                 X5                 X8                  9.093     1
X3                 X6                 X9                  9.081     1
X2                 X8                 X9                  8.912     1
X2                 X6                 X9                  8.809     1
X2                 X3                 X6                  8.452     1
X3                 X6                 X7                  8.328     1
X0                 X2                 X6                  7.782     1
X0                 X1                 X4                  7.341     1
X0                 X6                 X8                  7.325     1
X1                 X5                 X8                  7.027     1
X3                 X8                 X9                  6.868     1
X1                 X2                 X9                  6.739     1
X4                 X5                 X6                  6.737     1
X0                 X3                 X8                  6.371     1
X3                 X7                 X8                  6.086     1
X0                 X3                 X4                  6.074     1
X6                 X8                 X9                  5.460     1
X4                 X5                 X8                  5.188     1
X1                 X8                 X9                  5.127     1
X2                 X3                 X7                  5.046     1
X2                 X3                 X8                  4.808     1
X0                 X1                 X6                  4.598     1
X0                 X6                 X9                  4.335     1
X2                 X6                 X7                  4.259     1
X0                 X1                 X2                  4.156     1
X1                 X4                 X8                  3.806     1
X0                 X2                 X8                  3.564     1
X1                 X2                 X8                  3.423     1
X2                 X5                 X8                  3.372     1
X3                 X4                 X8                  2.978     1
X0                 X1                 X8                  0         1
X3                 X4                 X6                  0         1
