Input File: reformatted-data/train/hibachi-res_DecisionTreeClassifier_XGBClassifier-s44510_0.456.txt
Computation options used: -p 999 -r 1319621153 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X3                 X5                 X7                 430.362    0.001
X3                 X7                 X8                  32.567    0.006
X3                 X7                 X9                  30.512    0.013
X3                 X6                 X7                  30.197    0.015
X3                 X4                 X7                  28.865    0.019
X1                 X3                 X7                  26.368    0.049
X2                 X3                 X7                  26.230    0.051
X0                 X3                 X7                  24.813    0.102
X4                 X5                 X7                  20.778    0.374
X0                 X5                 X7                  17.886    0.728
X3                 X5                 X6                  17.878    0.728
X2                 X5                 X7                  17.106    0.796
X1                 X3                 X6                  16.941    0.819
X0                 X4                 X6                  16.415    0.867
X5                 X6                 X7                  16.134    0.881
X2                 X5                 X6                  15.496    0.931
X1                 X2                 X5                  15.245    0.942
X1                 X2                 X3                  15.129    0.943
X2                 X3                 X5                  14.958    0.947
X1                 X2                 X9                  13.224    0.992
X1                 X5                 X6                  12.805    0.995
X1                 X3                 X8                  12.446    0.996
X5                 X7                 X9                  12.232    0.998
X0                 X3                 X4                  11.689    0.998
X0                 X2                 X9                  11.574    0.999
X0                 X4                 X9                  11.341    0.999
X2                 X4                 X5                  11.328    0.999
X2                 X7                 X9                  11.177    1
X2                 X7                 X8                  11.141    1
X4                 X7                 X8                  10.880    1
X1                 X2                 X6                  10.735    1
X5                 X7                 X8                  10.655    1
X4                 X6                 X9                  10.269    1
X0                 X2                 X6                  10.127    1
X3                 X4                 X9                  10.093    1
X1                 X3                 X4                   9.632    1
X0                 X6                 X7                   9.588    1
X0                 X1                 X2                   9.588    1
X1                 X7                 X9                   9.524    1
X0                 X1                 X7                   9.407    1
X0                 X4                 X7                   9.206    1
X2                 X6                 X7                   9.176    1
X1                 X5                 X8                   8.766    1
X1                 X5                 X7                   8.718    1
X0                 X1                 X8                   8.573    1
X6                 X7                 X8                   8.522    1
X1                 X3                 X9                   8.513    1
X2                 X4                 X6                   8.312    1
X0                 X4                 X5                   8.302    1
X7                 X8                 X9                   8.244    1
X1                 X4                 X8                   8.107    1
X0                 X1                 X4                   7.823    1
X3                 X4                 X6                   7.702    1
X1                 X3                 X5                   7.576    1
X4                 X8                 X9                   7.554    1
X5                 X6                 X8                   7.551    1
X4                 X5                 X6                   7.517    1
X1                 X2                 X4                   7.448    1
X3                 X5                 X9                   7.436    1
X1                 X6                 X7                   7.385    1
X0                 X1                 X6                   7.331    1
X2                 X4                 X9                   7.260    1
X3                 X8                 X9                   6.608    1
X0                 X5                 X8                   6.484    1
X0                 X7                 X8                   6.327    1
X6                 X7                 X9                   6.253    1
X1                 X2                 X7                   6.229    1
X0                 X2                 X7                   6.182    1
X1                 X6                 X9                   6.165    1
X1                 X6                 X8                   6.104    1
X3                 X6                 X9                   6.067    1
X3                 X4                 X8                   5.906    1
X0                 X2                 X8                   5.736    1
X0                 X4                 X8                   5.711    1
X0                 X1                 X3                   5.559    1
X1                 X7                 X8                   5.310    1
X1                 X2                 X8                   5.265    1
X0                 X7                 X9                   5.173    1
X2                 X3                 X9                   5.046    1
X2                 X8                 X9                   4.866    1
X4                 X7                 X9                   4.681    1
X0                 X1                 X9                   4.618    1
X0                 X8                 X9                   4.571    1
X0                 X3                 X5                   4.469    1
X1                 X4                 X9                   4.041    1
X2                 X3                 X8                   3.981    1
X2                 X5                 X9                   3.920    1
X0                 X2                 X4                   3.910    1
X0                 X2                 X5                   3.896    1
X1                 X5                 X9                   3.814    1
X2                 X3                 X6                   3.769    1
X3                 X5                 X8                   3.711    1
X1                 X4                 X6                   3.655    1
X4                 X5                 X8                   3.606    1
X2                 X6                 X9                   3.583    1
X4                 X5                 X9                   3.532    1
X0                 X6                 X9                   3.529    1
X4                 X6                 X8                   3.437    1
X0                 X5                 X6                   3.266    1
X0                 X1                 X5                   3.216    1
X1                 X8                 X9                   3.192    1
X4                 X6                 X7                   2.989    1
X3                 X6                 X8                   2.902    1
X5                 X6                 X9                   2.872    1
X0                 X3                 X8                   2.812    1
X0                 X2                 X3                   2.712    1
X5                 X8                 X9                   0        1
X1                 X4                 X5                   0        1
X1                 X4                 X7                   0        1
X6                 X8                 X9                   0        1
X2                 X3                 X4                   0        1
X2                 X4                 X7                   0        1
X2                 X4                 X8                   0        1
X0                 X6                 X8                   0        1
X2                 X5                 X8                   0        1
X0                 X5                 X9                   0        1
X2                 X6                 X8                   0        1
X3                 X4                 X5                   0        1
X0                 X3                 X9                   0        1
X0                 X3                 X6                   0        1
