Input File: reformated-data/hibachi-res_ExtraTreesClassifier_BernoulliNB-s12195_0.569.txt
Computation options used: -p 999 -r 725297691 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X1                 X4                 X7                 641.714    0.001
X1                 X4                 X5                 487.041    0.001
X1                 X2                 X4                 486.582    0.001
X0                 X1                 X4                 428.699    0.001
X1                 X4                 X9                 425.002    0.001
X1                 X4                 X6                 412.92     0.001
X1                 X4                 X8                 385.32     0.001
X1                 X3                 X4                 371.177    0.001
X0                 X1                 X7                 235.773    0.001
X1                 X6                 X7                 102.953    0.001
X1                 X7                 X9                 100.189    0.001
X1                 X7                 X8                  96.549    0.001
X1                 X5                 X7                  96.087    0.001
X1                 X2                 X7                  93.022    0.001
X1                 X3                 X7                  93.011    0.001
X3                 X7                 X9                  20.945    0.581
X5                 X8                 X9                  19.094    0.8
X2                 X5                 X8                  18.508    0.846
X3                 X6                 X7                  18.370    0.863
X0                 X3                 X7                  16.696    0.957
X0                 X3                 X9                  16.419    0.965
X1                 X2                 X3                  15.627    0.988
X2                 X3                 X9                  15.447    0.992
X2                 X5                 X6                  14.854    0.997
X2                 X3                 X5                  14.301    0.998
X0                 X6                 X7                  14.243    0.998
X6                 X7                 X8                  14.169    0.998
X3                 X6                 X9                  14.033    0.998
X2                 X3                 X7                  12.363    1
X3                 X5                 X6                  12.179    1
X3                 X7                 X8                  11.987    1
X4                 X5                 X8                  11.861    1
X0                 X7                 X9                  11.525    1
X0                 X7                 X8                  11.473    1
X0                 X5                 X9                  10.994    1
X1                 X3                 X8                  10.743    1
X0                 X1                 X6                  10.730    1
X2                 X7                 X8                  10.553    1
X2                 X6                 X9                  10.506    1
X0                 X1                 X2                  10.211    1
X1                 X3                 X9                  10.181    1
X2                 X3                 X8                  10.079    1
X1                 X2                 X5                   9.911    1
X0                 X4                 X7                   9.832    1
X0                 X8                 X9                   9.744    1
X3                 X8                 X9                   9.655    1
X0                 X3                 X6                   9.486    1
X1                 X3                 X6                   9.291    1
X0                 X3                 X4                   9.285    1
X3                 X5                 X7                   9.125    1
X0                 X5                 X8                   8.947    1
X2                 X3                 X6                   8.924    1
X4                 X6                 X7                   8.869    1
X0                 X4                 X6                   8.689    1
X4                 X5                 X9                   8.540    1
X4                 X5                 X7                   8.523    1
X1                 X6                 X9                   8.510    1
X3                 X6                 X8                   8.364    1
X0                 X2                 X6                   8.358    1
X5                 X6                 X8                   8.354    1
X3                 X4                 X9                   8.031    1
X0                 X5                 X7                   7.951    1
X0                 X5                 X6                   7.857    1
X2                 X7                 X9                   7.693    1
X1                 X3                 X5                   7.673    1
X3                 X4                 X8                   7.567    1
X0                 X6                 X9                   7.562    1
X0                 X2                 X4                   7.507    1
X2                 X4                 X5                   7.465    1
X2                 X4                 X8                   7.182    1
X1                 X5                 X8                   7.084    1
X0                 X1                 X8                   7.017    1
X3                 X4                 X7                   6.836    1
X4                 X7                 X8                   6.342    1
X2                 X6                 X7                   6.320    1
X3                 X4                 X6                   6.257    1
X3                 X5                 X8                   6.203    1
X0                 X3                 X8                   6.105    1
X0                 X2                 X7                   6.072    1
X6                 X8                 X9                   6.067    1
X5                 X6                 X9                   5.971    1
X0                 X1                 X9                   5.926    1
X4                 X6                 X8                   5.747    1
X3                 X5                 X9                   5.736    1
X1                 X2                 X6                   5.527    1
X2                 X5                 X9                   5.517    1
X5                 X7                 X8                   5.486    1
X4                 X8                 X9                   5.469    1
X3                 X4                 X5                   5.4      1
X0                 X2                 X5                   5.374    1
X2                 X6                 X8                   5.349    1
X1                 X2                 X9                   5.317    1
X0                 X4                 X9                   4.945    1
X0                 X4                 X5                   4.770    1
X0                 X1                 X3                   4.756    1
X2                 X3                 X4                   4.507    1
X1                 X6                 X8                   4.174    1
X7                 X8                 X9                   4.064    1
X1                 X8                 X9                   3.964    1
X1                 X2                 X8                   3.700    1
X2                 X4                 X7                   3.667    1
X0                 X2                 X3                   3.592    1
X0                 X2                 X8                   3.458    1
X0                 X2                 X9                   3.354    1
X2                 X4                 X9                   3.219    1
X4                 X6                 X9                   2.940    1
X6                 X7                 X9                   2.863    1
X0                 X3                 X5                   2.857    1
X2                 X4                 X6                   2.831    1
X5                 X6                 X7                   2.812    1
X4                 X5                 X6                   2.736    1
X4                 X7                 X9                   0        1
X0                 X6                 X8                   0        1
X2                 X5                 X7                   0        1
X5                 X7                 X9                   0        1
X0                 X1                 X5                   0        1
X0                 X4                 X8                   0        1
X2                 X8                 X9                   0        1
X1                 X5                 X6                   0        1
X1                 X5                 X9                   0        1
