Input File: reformatted-data/train/hibachi-res_ExtraTreesClassifier_DecisionTreeClassifier-s37774_0.492.txt
Computation options used: -p 999 -r 1320965713 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X6                 X8                 X9                 495.955    0.001
X2                 X6                 X8                 495.951    0.001
X0                 X6                 X8                 495.907    0.001
X6                 X7                 X8                 495.843    0.001
X1                 X6                 X8                 495.731    0.001
X5                 X6                 X8                 495.62     0.001
X3                 X6                 X8                 494.999    0.001
X4                 X6                 X8                 431.986    0.001
X0                 X2                 X5                  14.427    0.973
X0                 X2                 X6                  13.830    0.99
X3                 X5                 X6                  13.582    0.993
X2                 X5                 X8                  13.143    0.996
X0                 X1                 X9                  12.858    0.998
X2                 X7                 X8                  12.710    0.998
X0                 X6                 X9                  12.694    0.998
X3                 X5                 X7                  12.455    0.999
X5                 X8                 X9                  12.279    0.999
X4                 X8                 X9                  11.698    0.999
X2                 X5                 X7                  11.652    0.999
X1                 X8                 X9                  11.547    0.999
X2                 X3                 X5                  11.458    0.999
X1                 X7                 X9                  11.428    0.999
X0                 X1                 X7                  11.215    0.999
X0                 X4                 X9                  10.871    1
X0                 X1                 X6                  10.476    1
X0                 X7                 X9                  10.308    1
X7                 X8                 X9                  10.145    1
X2                 X5                 X6                  10.112    1
X3                 X4                 X9                   9.470    1
X1                 X3                 X5                   9.181    1
X1                 X2                 X7                   8.803    1
X1                 X3                 X9                   8.529    1
X1                 X4                 X9                   8.523    1
X0                 X4                 X5                   8.465    1
X1                 X2                 X8                   8.339    1
X4                 X5                 X9                   7.797    1
X4                 X6                 X7                   7.724    1
X1                 X3                 X4                   7.672    1
X4                 X7                 X8                   7.614    1
X2                 X7                 X9                   7.575    1
X2                 X6                 X9                   7.490    1
X0                 X3                 X5                   7.487    1
X6                 X7                 X9                   7.425    1
X0                 X6                 X7                   7.286    1
X1                 X4                 X8                   7.225    1
X0                 X4                 X6                   7.210    1
X1                 X4                 X5                   7.150    1
X1                 X3                 X7                   7.116    1
X1                 X2                 X6                   6.984    1
X4                 X5                 X6                   6.937    1
X2                 X4                 X5                   6.825    1
X1                 X2                 X3                   6.395    1
X2                 X5                 X9                   6.347    1
X1                 X3                 X6                   6.282    1
X1                 X3                 X8                   6.141    1
X0                 X1                 X8                   6.006    1
X0                 X5                 X6                   5.980    1
X1                 X7                 X8                   5.618    1
X2                 X8                 X9                   5.607    1
X1                 X5                 X8                   5.410    1
X0                 X8                 X9                   5.352    1
X0                 X1                 X2                   5.201    1
X2                 X3                 X7                   4.982    1
X2                 X4                 X8                   4.610    1
X4                 X7                 X9                   4.474    1
X3                 X6                 X9                   4.238    1
X3                 X4                 X8                   4.147    1
X0                 X3                 X7                   4.124    1
X1                 X2                 X5                   4.084    1
X2                 X4                 X9                   4.078    1
X4                 X5                 X7                   4.048    1
X3                 X4                 X5                   3.985    1
X1                 X4                 X6                   3.953    1
X5                 X6                 X9                   3.779    1
X0                 X1                 X4                   3.691    1
X0                 X5                 X7                   3.669    1
X3                 X5                 X9                   3.635    1
X3                 X6                 X7                   3.611    1
X4                 X5                 X8                   3.586    1
X4                 X6                 X9                   3.568    1
X2                 X4                 X7                   3.556    1
X1                 X5                 X9                   3.448    1
X0                 X1                 X5                   3.432    1
X0                 X1                 X3                   3.316    1
X2                 X6                 X7                   3.308    1
X2                 X3                 X9                   3.287    1
X0                 X4                 X8                   3.287    1
X1                 X6                 X9                   3.184    1
X3                 X7                 X9                   3.136    1
X0                 X2                 X7                   3.072    1
X0                 X4                 X7                   3.020    1
X2                 X3                 X8                   3.006    1
X0                 X3                 X9                   2.997    1
X2                 X4                 X6                   2.959    1
X3                 X4                 X6                   2.875    1
X1                 X6                 X7                   2.790    1
X3                 X8                 X9                   2.781    1
X0                 X2                 X8                   0        1
X5                 X6                 X7                   0        1
X0                 X2                 X4                   0        1
X2                 X3                 X6                   0        1
X5                 X7                 X8                   0        1
X5                 X7                 X9                   0        1
X0                 X2                 X3                   0        1
X1                 X5                 X7                   0        1
X2                 X3                 X4                   0        1
X1                 X5                 X6                   0        1
X0                 X2                 X9                   0        1
X0                 X3                 X4                   0        1
X0                 X3                 X6                   0        1
X1                 X4                 X7                   0        1
X1                 X2                 X9                   0        1
X3                 X7                 X8                   0        1
X1                 X2                 X4                   0        1
X0                 X3                 X8                   0        1
X0                 X7                 X8                   0        1
X0                 X5                 X9                   0        1
X3                 X5                 X8                   0        1
X0                 X5                 X8                   0        1
X3                 X4                 X7                   0        1
