Input File: reformatted-data/train/hibachi-res_ExtraTreesClassifier_GaussianNB-s96696_0.599.txt
Computation options used: -p 999 -r 1321772449 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X3                 X5                 X9                 477.608    0.001
X2                 X3                 X9                 477.593    0.001
X3                 X6                 X9                 476.853    0.001
X0                 X3                 X9                 476.841    0.001
X3                 X8                 X9                 476.807    0.001
X3                 X4                 X9                 457.217    0.001
X3                 X7                 X9                 451.636    0.001
X1                 X3                 X9                 441.596    0.001
X1                 X3                 X8                  19.139    0.556
X1                 X3                 X5                  17.564    0.758
X0                 X6                 X8                  14.943    0.96
X0                 X1                 X3                  14.723    0.972
X0                 X3                 X7                  13.924    0.99
X0                 X1                 X9                  13.523    0.993
X0                 X3                 X5                  13.244    0.995
X2                 X5                 X7                  13.057    0.995
X3                 X4                 X7                  12.619    0.998
X1                 X3                 X4                  12.409    0.999
X1                 X3                 X7                  12.275    1
X1                 X3                 X6                  11.780    1
X0                 X2                 X3                  11.665    1
X0                 X7                 X9                  11.255    1
X0                 X6                 X7                  11.205    1
X1                 X4                 X6                  10.993    1
X1                 X4                 X9                  10.949    1
X1                 X5                 X6                  10.861    1
X0                 X2                 X7                  10.734    1
X1                 X4                 X5                  10.536    1
X0                 X4                 X6                  10.335    1
X0                 X5                 X6                  10.276    1
X2                 X6                 X7                  10.223    1
X3                 X5                 X8                  10.168    1
X1                 X2                 X3                  10.007    1
X0                 X2                 X5                   9.616    1
X0                 X1                 X5                   9.591    1
X3                 X6                 X7                   9.583    1
X4                 X7                 X9                   9.507    1
X2                 X5                 X8                   9.424    1
X0                 X6                 X9                   9.148    1
X2                 X8                 X9                   9.028    1
X2                 X7                 X9                   8.972    1
X4                 X6                 X7                   8.717    1
X0                 X2                 X8                   8.183    1
X0                 X2                 X9                   8.110    1
X2                 X3                 X8                   7.979    1
X6                 X7                 X8                   7.815    1
X2                 X7                 X8                   7.679    1
X0                 X4                 X7                   7.385    1
X7                 X8                 X9                   7.346    1
X4                 X6                 X8                   7.265    1
X0                 X5                 X7                   7.201    1
X0                 X2                 X4                   7.152    1
X2                 X4                 X6                   6.935    1
X2                 X4                 X8                   6.613    1
X1                 X6                 X7                   6.591    1
X3                 X4                 X5                   6.383    1
X2                 X3                 X4                   6.373    1
X1                 X2                 X4                   6.349    1
X2                 X4                 X9                   6.310    1
X3                 X6                 X8                   6.211    1
X2                 X3                 X5                   6.117    1
X0                 X8                 X9                   6.117    1
X0                 X2                 X6                   5.964    1
X6                 X8                 X9                   5.951    1
X3                 X5                 X7                   5.798    1
X2                 X5                 X9                   5.763    1
X1                 X5                 X7                   5.740    1
X0                 X7                 X8                   5.714    1
X4                 X6                 X9                   5.650    1
X0                 X1                 X2                   5.520    1
X0                 X3                 X4                   5.472    1
X4                 X5                 X9                   5.104    1
X0                 X1                 X7                   4.897    1
X2                 X6                 X8                   4.871    1
X6                 X7                 X9                   4.800    1
X1                 X4                 X8                   4.725    1
X2                 X4                 X7                   4.622    1
X3                 X5                 X6                   4.430    1
X1                 X2                 X6                   4.413    1
X1                 X2                 X7                   4.322    1
X1                 X6                 X8                   4.188    1
X1                 X2                 X9                   4.034    1
X1                 X5                 X9                   4.011    1
X2                 X5                 X6                   3.972    1
X2                 X3                 X7                   3.919    1
X1                 X7                 X9                   3.895    1
X2                 X4                 X5                   3.822    1
X0                 X5                 X8                   3.818    1
X5                 X6                 X9                   3.700    1
X1                 X2                 X5                   3.537    1
X1                 X6                 X9                   3.487    1
X0                 X3                 X6                   3.403    1
X0                 X4                 X9                   3.338    1
X0                 X4                 X5                   3.259    1
X0                 X1                 X6                   3.259    1
X4                 X5                 X6                   3.254    1
X0                 X5                 X9                   3.075    1
X5                 X6                 X8                   3.006    1
X3                 X4                 X6                   3.001    1
X5                 X7                 X9                   3.001    1
X1                 X8                 X9                   2.968    1
X3                 X7                 X8                   2.945    1
X0                 X3                 X8                   2.933    1
X5                 X8                 X9                   2.895    1
X4                 X5                 X7                   2.817    1
X0                 X1                 X4                   2.810    1
X5                 X6                 X7                   2.742    1
X3                 X4                 X8                   2.717    1
X5                 X7                 X8                   0        1
X4                 X8                 X9                   0        1
X2                 X3                 X6                   0        1
X4                 X7                 X8                   0        1
X0                 X1                 X8                   0        1
X4                 X5                 X8                   0        1
X0                 X4                 X8                   0        1
X1                 X7                 X8                   0        1
X2                 X6                 X9                   0        1
X1                 X2                 X8                   0        1
X1                 X5                 X8                   0        1
X1                 X4                 X7                   0        1
