Input File: reformatted-data/train/hibachi-res_GaussianNB_DecisionTreeClassifier-s77708_0.106.txt
Computation options used: -p 999 -r 1437135697 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X2                 X5                 X8                 17.637     0.917
X1                 X2                 X8                 16.938     0.953
X6                 X8                 X9                 16.519     0.965
X1                 X4                 X6                 16.350     0.971
X2                 X8                 X9                 15.896     0.987
X2                 X6                 X8                 14.622     0.998
X0                 X1                 X7                 14.430     0.998
X3                 X8                 X9                 14.010     0.999
X2                 X7                 X8                 13.5       1
X2                 X5                 X7                 13.270     1
X3                 X4                 X5                 13.229     1
X2                 X4                 X6                 13.089     1
X0                 X1                 X2                 12.731     1
X1                 X2                 X7                 12.677     1
X2                 X6                 X7                 12.085     1
X0                 X1                 X4                 12.084     1
X3                 X7                 X9                 11.956     1
X0                 X1                 X8                 11.953     1
X0                 X1                 X9                 11.914     1
X0                 X4                 X5                 11.803     1
X2                 X4                 X8                 11.578     1
X0                 X1                 X3                 11.019     1
X0                 X4                 X7                 10.842     1
X1                 X3                 X4                 10.489     1
X0                 X4                 X9                 10.309     1
X0                 X6                 X9                 10.198     1
X2                 X4                 X5                  9.986     1
X1                 X4                 X7                  9.986     1
X0                 X3                 X8                  9.867     1
X3                 X7                 X8                  9.107     1
X3                 X6                 X7                  9.100     1
X6                 X7                 X8                  9.072     1
X4                 X5                 X6                  9.067     1
X3                 X4                 X8                  8.958     1
X1                 X3                 X7                  8.956     1
X4                 X5                 X7                  8.834     1
X2                 X3                 X8                  8.664     1
X0                 X1                 X5                  8.298     1
X6                 X7                 X9                  8.284     1
X4                 X5                 X8                  8.275     1
X1                 X3                 X6                  8.164     1
X0                 X3                 X4                  8.154     1
X5                 X8                 X9                  8.009     1
X0                 X3                 X7                  7.709     1
X3                 X5                 X9                  7.660     1
X5                 X7                 X9                  7.521     1
X1                 X4                 X9                  7.461     1
X0                 X2                 X7                  7.456     1
X0                 X2                 X8                  7.298     1
X5                 X6                 X9                  7.252     1
X0                 X4                 X6                  7.112     1
X0                 X1                 X6                  7.046     1
X1                 X3                 X9                  7.029     1
X2                 X6                 X9                  6.978     1
X1                 X4                 X5                  6.943     1
X1                 X7                 X8                  6.881     1
X0                 X2                 X3                  6.786     1
X4                 X5                 X9                  6.651     1
X4                 X6                 X9                  6.648     1
X7                 X8                 X9                  6.637     1
X2                 X3                 X5                  6.487     1
X2                 X3                 X7                  6.451     1
X3                 X5                 X8                  6.432     1
X1                 X6                 X9                  6.269     1
X0                 X3                 X5                  6.068     1
X0                 X6                 X7                  6.055     1
X4                 X7                 X8                  6.051     1
X1                 X2                 X6                  6.035     1
X2                 X7                 X9                  6.033     1
X1                 X3                 X5                  5.996     1
X1                 X5                 X7                  5.984     1
X4                 X6                 X7                  5.692     1
X5                 X6                 X8                  5.65      1
X3                 X5                 X7                  5.407     1
X3                 X4                 X7                  5.326     1
X1                 X6                 X8                  5.217     1
X0                 X2                 X4                  5.199     1
X3                 X4                 X9                  5.099     1
X1                 X4                 X8                  4.669     1
X0                 X7                 X8                  4.544     1
X1                 X3                 X8                  4.448     1
X3                 X6                 X8                  4.348     1
X3                 X4                 X6                  4.234     1
X1                 X6                 X7                  4.176     1
X5                 X7                 X8                  4.160     1
X0                 X2                 X6                  4.095     1
X0                 X2                 X5                  4.061     1
X1                 X2                 X9                  3.765     1
X0                 X5                 X7                  3.760     1
X4                 X7                 X9                  3.718     1
X1                 X2                 X5                  3.639     1
X0                 X3                 X9                  3.524     1
X0                 X4                 X8                  3.480     1
X0                 X5                 X6                  3.419     1
X0                 X5                 X8                  3.340     1
X3                 X6                 X9                  3.329     1
X5                 X6                 X7                  3.309     1
X2                 X3                 X9                  3.305     1
X0                 X2                 X9                  3.245     1
X3                 X5                 X6                  3.198     1
X4                 X6                 X8                  3.175     1
X2                 X5                 X9                  3.147     1
X1                 X8                 X9                  3.147     1
X2                 X5                 X6                  2.945     1
X1                 X2                 X3                  2.853     1
X2                 X3                 X4                  2.843     1
X4                 X8                 X9                  2.840     1
X0                 X5                 X9                  2.825     1
X2                 X3                 X6                  2.809     1
X1                 X7                 X9                  0         1
X0                 X3                 X6                  0         1
X0                 X6                 X8                  0         1
X0                 X7                 X9                  0         1
X0                 X8                 X9                  0         1
X1                 X5                 X9                  0         1
X1                 X5                 X8                  0         1
X2                 X4                 X7                  0         1
X1                 X2                 X4                  0         1
X2                 X4                 X9                  0         1
X1                 X5                 X6                  0         1
