Input File: reformatted-data/train/hibachi-res_GaussianNB_LogisticRegression-s98448_0.563.txt
Computation options used: -p 999 -r 1329957458 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X0                 X2                 X3                 17.435     0.779
X3                 X4                 X6                 15.503     0.943
X0                 X6                 X8                 14.785     0.968
X3                 X4                 X8                 13.968     0.986
X0                 X1                 X2                 13.789     0.99
X3                 X5                 X8                 12.046     1
X0                 X3                 X6                 11.762     1
X5                 X6                 X7                 11.330     1
X1                 X3                 X4                 10.101     1
X0                 X3                 X7                  9.931     1
X0                 X2                 X4                  9.563     1
X2                 X6                 X9                  9.112     1
X0                 X6                 X7                  8.783     1
X1                 X5                 X6                  8.237     1
X3                 X7                 X8                  8.138     1
X0                 X3                 X4                  8.127     1
X1                 X3                 X6                  8.042     1
X3                 X5                 X9                  7.752     1
X4                 X6                 X8                  7.728     1
X3                 X4                 X7                  7.658     1
X5                 X7                 X8                  7.506     1
X6                 X7                 X8                  7.463     1
X4                 X8                 X9                  7.440     1
X1                 X3                 X8                  7.377     1
X0                 X2                 X9                  7.352     1
X4                 X6                 X7                  7.234     1
X1                 X4                 X9                  7.141     1
X0                 X5                 X7                  7.063     1
X0                 X2                 X7                  7.032     1
X4                 X6                 X9                  7.011     1
X0                 X5                 X6                  6.924     1
X4                 X7                 X8                  6.859     1
X1                 X6                 X8                  6.820     1
X0                 X3                 X8                  6.714     1
X0                 X7                 X9                  6.616     1
X3                 X6                 X7                  6.091     1
X4                 X5                 X9                  6.051     1
X3                 X5                 X7                  5.991     1
X7                 X8                 X9                  5.903     1
X2                 X4                 X7                  5.718     1
X0                 X2                 X8                  5.631     1
X0                 X1                 X7                  5.591     1
X3                 X6                 X9                  5.542     1
X1                 X2                 X4                  5.526     1
X4                 X5                 X7                  5.522     1
X0                 X4                 X8                  5.366     1
X0                 X2                 X6                  5.353     1
X0                 X3                 X5                  5.349     1
X3                 X4                 X9                  5.269     1
X1                 X5                 X7                  5.234     1
X1                 X5                 X8                  5.22      1
X1                 X2                 X9                  5.011     1
X0                 X5                 X9                  4.962     1
X1                 X8                 X9                  4.919     1
X5                 X8                 X9                  4.917     1
X4                 X7                 X9                  4.855     1
X3                 X4                 X5                  4.766     1
X2                 X3                 X5                  4.550     1
X2                 X5                 X8                  4.458     1
X1                 X2                 X3                  4.438     1
X1                 X4                 X6                  4.304     1
X0                 X1                 X8                  4.265     1
X5                 X6                 X8                  4.236     1
X0                 X4                 X5                  4.217     1
X1                 X3                 X5                  4.196     1
X3                 X8                 X9                  4.164     1
X0                 X3                 X9                  4.089     1
X2                 X3                 X8                  4.019     1
X0                 X4                 X7                  4.005     1
X1                 X2                 X7                  3.949     1
X2                 X3                 X9                  3.930     1
X2                 X3                 X4                  3.874     1
X0                 X7                 X8                  3.862     1
X1                 X6                 X9                  3.848     1
X1                 X4                 X8                  3.734     1
X4                 X5                 X6                  3.707     1
X2                 X4                 X9                  3.658     1
X2                 X3                 X7                  3.649     1
X2                 X4                 X5                  3.631     1
X1                 X2                 X6                  3.611     1
X1                 X7                 X8                  3.606     1
X0                 X1                 X4                  3.596     1
X2                 X5                 X9                  3.471     1
X0                 X1                 X6                  3.436     1
X0                 X4                 X9                  3.366     1
X3                 X7                 X9                  3.295     1
X2                 X7                 X9                  3.218     1
X5                 X6                 X9                  3.168     1
X5                 X7                 X9                  3.118     1
X0                 X1                 X5                  3.093     1
X1                 X3                 X9                  3.079     1
X1                 X4                 X7                  3.040     1
X6                 X7                 X9                  3.036     1
X0                 X1                 X3                  3.013     1
X2                 X3                 X6                  2.967     1
X1                 X3                 X7                  2.876     1
X0                 X8                 X9                  2.768     1
X2                 X4                 X8                  2.764     1
X2                 X5                 X6                  2.737     1
X3                 X5                 X6                  2.727     1
X0                 X4                 X6                  2.724     1
X1                 X2                 X8                  0         1
X6                 X8                 X9                  0         1
X1                 X2                 X5                  0         1
X1                 X4                 X5                  0         1
X3                 X6                 X8                  0         1
X1                 X5                 X9                  0         1
X1                 X6                 X7                  0         1
X0                 X6                 X9                  0         1
X1                 X7                 X9                  0         1
X0                 X5                 X8                  0         1
X2                 X4                 X6                  0         1
X2                 X8                 X9                  0         1
X0                 X1                 X9                  0         1
X0                 X2                 X5                  0         1
X2                 X7                 X8                  0         1
X2                 X5                 X7                  0         1
X4                 X5                 X8                  0         1
X2                 X6                 X7                  0         1
X2                 X6                 X8                  0         1
