Input File: reformated-data/hibachi-res_GaussianNB_RandomForestClassifier-s98047_0.066.txt
Computation options used: -p 999 -r 742020656 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X4                 X7                 X9                 26.529     0.128
X1                 X4                 X5                 17.885     0.925
X1                 X2                 X4                 16.015     0.987
X1                 X3                 X4                 15.578     0.99
X2                 X6                 X7                 14.687     0.996
X2                 X3                 X8                 12.926     1
X0                 X4                 X5                 12.805     1
X1                 X2                 X6                 12.581     1
X1                 X3                 X5                 12.237     1
X1                 X2                 X3                 12.121     1
X2                 X7                 X9                 12.065     1
X3                 X5                 X8                 11.808     1
X2                 X4                 X6                 11.791     1
X1                 X2                 X7                 11.778     1
X0                 X7                 X9                 11.753     1
X0                 X8                 X9                 10.922     1
X1                 X8                 X9                 10.868     1
X0                 X4                 X6                 10.786     1
X5                 X7                 X8                 10.509     1
X3                 X4                 X6                 10.328     1
X2                 X3                 X6                 10.087     1
X3                 X6                 X7                 10.071     1
X3                 X5                 X6                 10.039     1
X0                 X4                 X9                  9.794     1
X2                 X4                 X9                  9.747     1
X3                 X4                 X8                  9.712     1
X3                 X4                 X9                  9.599     1
X5                 X6                 X7                  9.550     1
X0                 X2                 X9                  9.435     1
X3                 X5                 X7                  9.395     1
X2                 X3                 X5                  9.385     1
X2                 X6                 X9                  9.274     1
X1                 X2                 X5                  9.268     1
X0                 X5                 X6                  9.268     1
X0                 X3                 X9                  9.040     1
X2                 X3                 X9                  8.919     1
X1                 X4                 X6                  8.856     1
X5                 X7                 X9                  8.818     1
X4                 X6                 X9                  8.799     1
X1                 X4                 X7                  8.740     1
X1                 X6                 X7                  8.630     1
X1                 X2                 X8                  8.415     1
X6                 X7                 X9                  8.287     1
X3                 X4                 X5                  8.27      1
X1                 X5                 X6                  8.265     1
X0                 X3                 X5                  7.913     1
X3                 X7                 X9                  7.822     1
X0                 X6                 X9                  7.766     1
X0                 X6                 X7                  7.429     1
X2                 X8                 X9                  7.331     1
X5                 X8                 X9                  7.236     1
X4                 X8                 X9                  7.124     1
X1                 X2                 X9                  7.113     1
X0                 X4                 X8                  6.951     1
X1                 X4                 X8                  6.767     1
X2                 X6                 X8                  6.650     1
X4                 X7                 X8                  6.464     1
X4                 X6                 X7                  6.426     1
X0                 X3                 X6                  6.235     1
X2                 X4                 X8                  6.231     1
X0                 X5                 X7                  6.199     1
X7                 X8                 X9                  6.030     1
X0                 X2                 X7                  6.029     1
X6                 X8                 X9                  5.965     1
X0                 X5                 X9                  5.785     1
X2                 X3                 X4                  5.734     1
X3                 X6                 X9                  5.447     1
X1                 X5                 X8                  5.208     1
X0                 X1                 X5                  5.183     1
X0                 X2                 X6                  5.174     1
X4                 X6                 X8                  5.076     1
X3                 X6                 X8                  5.051     1
X4                 X5                 X6                  4.764     1
X0                 X1                 X9                  4.682     1
X0                 X1                 X3                  4.655     1
X0                 X1                 X2                  4.581     1
X3                 X7                 X8                  4.400     1
X1                 X7                 X9                  4.086     1
X2                 X4                 X5                  4.045     1
X0                 X2                 X4                  3.961     1
X2                 X5                 X6                  3.876     1
X2                 X5                 X9                  3.769     1
X4                 X5                 X7                  3.744     1
X1                 X3                 X8                  3.740     1
X1                 X3                 X6                  3.716     1
X5                 X6                 X9                  3.698     1
X0                 X2                 X3                  3.632     1
X6                 X7                 X8                  3.576     1
X0                 X3                 X4                  3.361     1
X0                 X6                 X8                  3.328     1
X1                 X7                 X8                  3.327     1
X4                 X5                 X9                  3.307     1
X1                 X3                 X7                  3.276     1
X2                 X5                 X8                  3.252     1
X1                 X6                 X9                  3.239     1
X0                 X1                 X8                  3.203     1
X4                 X5                 X8                  3.197     1
X1                 X5                 X9                  3.174     1
X5                 X6                 X8                  3.144     1
X1                 X5                 X7                  3.115     1
X1                 X4                 X9                  3.107     1
X0                 X7                 X8                  3.091     1
X2                 X3                 X7                  3.041     1
X3                 X5                 X9                  2.983     1
X2                 X5                 X7                  2.953     1
X0                 X1                 X6                  2.931     1
X0                 X1                 X7                  2.798     1
X1                 X3                 X9                  2.774     1
X3                 X4                 X7                  2.713     1
X0                 X5                 X8                  0         1
X0                 X1                 X4                  0         1
X2                 X4                 X7                  0         1
X2                 X7                 X8                  0         1
X1                 X6                 X8                  0         1
X0                 X2                 X5                  0         1
X0                 X2                 X8                  0         1
X0                 X3                 X7                  0         1
X0                 X3                 X8                  0         1
X0                 X4                 X7                  0         1
X3                 X8                 X9                  0         1
