Input File: reformatted-data/train/hibachi-res_GaussianNB_XGBClassifier-s20609_0.064.txt
Computation options used: -p 999 -r 1331436474 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X5                 X8                 X9                 17.395     0.779
X1                 X4                 X5                 15.854     0.918
X5                 X7                 X8                 14.612     0.977
X2                 X4                 X6                 14.510     0.979
X2                 X3                 X7                 14.300     0.981
X3                 X5                 X8                 13.308     0.993
X1                 X2                 X4                 12.916     0.995
X4                 X7                 X8                 12.472     0.999
X1                 X4                 X6                 11.546     1
X2                 X4                 X7                 11.051     1
X0                 X5                 X8                 10.947     1
X0                 X1                 X9                 10.931     1
X5                 X6                 X8                 10.901     1
X1                 X2                 X6                 10.728     1
X2                 X8                 X9                 10.629     1
X0                 X5                 X6                 10.412     1
X2                 X5                 X7                 10.206     1
X3                 X8                 X9                 10.025     1
X2                 X3                 X8                  9.987     1
X0                 X1                 X6                  9.205     1
X5                 X6                 X7                  9.110     1
X3                 X7                 X9                  8.157     1
X1                 X8                 X9                  8.092     1
X2                 X3                 X9                  7.852     1
X0                 X6                 X8                  7.851     1
X3                 X7                 X8                  7.723     1
X3                 X4                 X7                  7.709     1
X1                 X5                 X8                  7.429     1
X2                 X4                 X9                  7.384     1
X2                 X4                 X5                  7.379     1
X1                 X3                 X4                  7.162     1
X2                 X5                 X8                  7.155     1
X1                 X4                 X7                  7.110     1
X1                 X2                 X3                  7.089     1
X7                 X8                 X9                  6.887     1
X0                 X2                 X4                  6.859     1
X0                 X3                 X5                  6.737     1
X1                 X6                 X8                  6.583     1
X4                 X8                 X9                  6.457     1
X1                 X4                 X9                  6.453     1
X2                 X7                 X8                  6.385     1
X0                 X1                 X8                  6.213     1
X1                 X2                 X9                  5.763     1
X1                 X5                 X7                  5.506     1
X1                 X2                 X7                  5.474     1
X1                 X3                 X9                  5.410     1
X1                 X5                 X6                  5.313     1
X3                 X4                 X9                  5.159     1
X4                 X5                 X6                  5.140     1
X2                 X6                 X7                  5.109     1
X3                 X6                 X7                  4.927     1
X3                 X6                 X9                  4.780     1
X0                 X1                 X2                  4.729     1
X3                 X4                 X6                  4.438     1
X0                 X4                 X8                  4.411     1
X0                 X3                 X8                  4.390     1
X6                 X7                 X8                  4.316     1
X1                 X7                 X8                  4.216     1
X4                 X6                 X9                  4.151     1
X1                 X3                 X8                  3.947     1
X0                 X6                 X9                  3.801     1
X1                 X3                 X6                  3.799     1
X2                 X5                 X9                  3.784     1
X2                 X6                 X9                  3.754     1
X1                 X6                 X9                  3.743     1
X0                 X3                 X9                  3.718     1
X0                 X4                 X7                  3.664     1
X2                 X3                 X4                  3.653     1
X0                 X2                 X8                  3.637     1
X0                 X3                 X6                  3.613     1
X4                 X5                 X8                  3.607     1
X1                 X2                 X5                  3.599     1
X1                 X6                 X7                  3.528     1
X0                 X8                 X9                  3.513     1
X3                 X5                 X6                  3.463     1
X1                 X2                 X8                  3.425     1
X2                 X5                 X6                  3.421     1
X0                 X2                 X9                  3.417     1
X0                 X5                 X7                  3.288     1
X2                 X4                 X8                  3.268     1
X0                 X7                 X9                  3.196     1
X0                 X2                 X6                  3.182     1
X4                 X6                 X8                  3.161     1
X3                 X6                 X8                  3.143     1
X0                 X2                 X5                  3.105     1
X0                 X7                 X8                  3.059     1
X1                 X3                 X5                  3.040     1
X0                 X4                 X5                  3.030     1
X0                 X3                 X4                  3.017     1
X0                 X3                 X7                  3.000     1
X0                 X4                 X9                  2.861     1
X6                 X8                 X9                  2.855     1
X1                 X4                 X8                  2.819     1
X0                 X5                 X9                  2.723     1
X0                 X2                 X7                  2.709     1
X1                 X3                 X7                  0         1
X1                 X5                 X9                  0         1
X6                 X7                 X9                  0         1
X1                 X7                 X9                  0         1
X0                 X1                 X3                  0         1
X5                 X7                 X9                  0         1
X0                 X1                 X4                  0         1
X5                 X6                 X9                  0         1
X0                 X1                 X5                  0         1
X0                 X1                 X7                  0         1
X0                 X2                 X3                  0         1
X4                 X7                 X9                  0         1
X2                 X3                 X5                  0         1
X2                 X3                 X6                  0         1
X0                 X6                 X7                  0         1
X4                 X6                 X7                  0         1
X4                 X5                 X9                  0         1
X4                 X5                 X7                  0         1
X2                 X6                 X8                  0         1
X0                 X4                 X6                  0         1
X2                 X7                 X9                  0         1
X3                 X4                 X5                  0         1
X3                 X4                 X8                  0         1
X3                 X5                 X7                  0         1
X3                 X5                 X9                  0         1
