Input File: reformated-data/hibachi-res_GradientBoostingClassifier_DecisionTreeClassifier-s23495_0.445.txt
Computation options used: -p 999 -r 744424057 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X0                 X1                 X9                 968.561    0.001
X1                 X4                 X7                  25.361    0.184
X2                 X4                 X7                  23.866    0.296
X2                 X3                 X4                  22.531    0.421
X0                 X2                 X4                  20.581    0.639
X4                 X5                 X7                  18.979    0.82
X4                 X6                 X8                  18.918    0.824
X1                 X4                 X9                  17.812    0.912
X1                 X2                 X4                  17.068    0.957
X4                 X8                 X9                  16.820    0.968
X1                 X3                 X6                  16.01     0.98
X4                 X7                 X9                  15.744    0.985
X1                 X3                 X9                  14.493    0.996
X1                 X4                 X5                  14.452    0.996
X1                 X2                 X3                  14.304    0.996
X0                 X5                 X8                  13.901    0.997
X0                 X2                 X9                  13.869    0.997
X4                 X5                 X8                  13.426    0.999
X4                 X5                 X6                  13.393    0.999
X2                 X4                 X9                  13.293    0.999
X2                 X5                 X6                  13.021    1
X1                 X2                 X6                  12.821    1
X2                 X4                 X8                  12.798    1
X5                 X7                 X9                  12.683    1
X3                 X4                 X5                  12.625    1
X1                 X3                 X4                  12.572    1
X2                 X4                 X5                  12.242    1
X0                 X4                 X9                  12.069    1
X0                 X4                 X8                  12.059    1
X1                 X3                 X5                  12.015    1
X3                 X4                 X7                  11.474    1
X2                 X8                 X9                  11.329    1
X2                 X5                 X8                  11.322    1
X6                 X7                 X9                  11.153    1
X0                 X4                 X6                  11.102    1
X3                 X5                 X7                  10.722    1
X0                 X1                 X2                  10.620    1
X2                 X6                 X8                  10.569    1
X0                 X2                 X7                  10.452    1
X2                 X3                 X5                  10.384    1
X2                 X5                 X7                  10.369    1
X1                 X5                 X7                  10.270    1
X4                 X7                 X8                  10.242    1
X2                 X4                 X6                  10.022    1
X1                 X3                 X7                  10.015    1
X0                 X3                 X5                   9.582    1
X0                 X1                 X4                   9.574    1
X3                 X7                 X9                   9.401    1
X2                 X7                 X9                   9.347    1
X1                 X4                 X6                   9.136    1
X1                 X3                 X8                   9.087    1
X5                 X8                 X9                   9.054    1
X4                 X6                 X7                   8.839    1
X2                 X3                 X8                   8.401    1
X0                 X1                 X3                   8.362    1
X4                 X6                 X9                   8.219    1
X0                 X3                 X7                   8.209    1
X0                 X3                 X9                   8.098    1
X0                 X8                 X9                   8.002    1
X1                 X5                 X6                   7.581    1
X1                 X2                 X5                   7.539    1
X3                 X5                 X6                   7.522    1
X3                 X6                 X8                   7.363    1
X1                 X4                 X8                   7.298    1
X0                 X1                 X6                   7.055    1
X0                 X2                 X5                   7.011    1
X1                 X6                 X8                   6.931    1
X3                 X5                 X8                   6.819    1
X3                 X5                 X9                   6.595    1
X0                 X4                 X5                   6.430    1
X0                 X4                 X7                   6.382    1
X3                 X6                 X7                   6.276    1
X5                 X6                 X7                   6.211    1
X5                 X6                 X8                   6.144    1
X1                 X6                 X9                   6.138    1
X4                 X5                 X9                   5.996    1
X2                 X3                 X7                   5.793    1
X0                 X1                 X8                   5.675    1
X3                 X6                 X9                   5.673    1
X3                 X4                 X6                   5.541    1
X0                 X3                 X8                   5.495    1
X1                 X2                 X9                   5.265    1
X1                 X2                 X8                   5.252    1
X2                 X6                 X9                   5.041    1
X5                 X6                 X9                   5.010    1
X3                 X4                 X8                   4.947    1
X7                 X8                 X9                   4.932    1
X2                 X3                 X6                   4.820    1
X1                 X6                 X7                   4.666    1
X0                 X2                 X8                   4.482    1
X1                 X2                 X7                   4.409    1
X3                 X8                 X9                   4.326    1
X0                 X5                 X6                   4.184    1
X0                 X2                 X3                   4.081    1
X6                 X7                 X8                   4.069    1
X3                 X7                 X8                   3.885    1
X1                 X7                 X9                   3.759    1
X0                 X5                 X7                   3.676    1
X2                 X5                 X9                   3.585    1
X0                 X7                 X9                   3.500    1
X2                 X7                 X8                   3.448    1
X2                 X6                 X7                   3.43     1
X1                 X8                 X9                   3.286    1
X1                 X5                 X9                   3.268    1
X5                 X7                 X8                   3.225    1
X0                 X2                 X6                   3.199    1
X0                 X5                 X9                   3.134    1
X0                 X6                 X7                   3.067    1
X0                 X6                 X9                   2.988    1
X6                 X8                 X9                   2.943    1
X0                 X3                 X4                   2.877    1
X0                 X7                 X8                   2.846    1
X2                 X3                 X9                   2.729    1
X0                 X3                 X6                   0        1
X1                 X7                 X8                   0        1
X3                 X4                 X9                   0        1
X0                 X6                 X8                   0        1
X0                 X1                 X7                   0        1
X1                 X5                 X8                   0        1
X0                 X1                 X5                   0        1
