Input File: reformatted-data/train/hibachi-res_GradientBoostingClassifier_KNeighborsClassifier-s95529_0.506.txt
Computation options used: -p 999 -r 1335218049 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X2                 X5                 X8                 447.891    0.001
X2                 X5                 X9                  97.646    0.001
X2                 X5                 X6                  92.824    0.001
X2                 X5                 X7                  89.929    0.001
X1                 X2                 X5                  89.645    0.001
X2                 X3                 X5                  88.568    0.001
X2                 X4                 X5                  84.718    0.001
X0                 X2                 X5                  79.583    0.001
X0                 X2                 X6                  22.737    0.259
X2                 X6                 X8                  20.455    0.493
X4                 X5                 X6                  19.511    0.598
X2                 X3                 X6                  17.478    0.83
X2                 X7                 X8                  17.341    0.841
X3                 X7                 X9                  14.890    0.978
X5                 X6                 X8                  14.339    0.986
X5                 X6                 X7                  14.184    0.992
X1                 X6                 X8                  14.178    0.992
X0                 X1                 X3                  13.942    0.993
X0                 X3                 X6                  13.704    0.994
X0                 X2                 X8                  13.615    0.994
X2                 X3                 X7                  13.154    0.998
X1                 X2                 X7                  12.963    0.998
X4                 X5                 X8                  12.941    0.998
X1                 X3                 X7                  12.479    0.999
X2                 X4                 X6                  12.244    1
X0                 X4                 X5                  11.970    1
X0                 X1                 X8                  11.963    1
X1                 X2                 X6                  11.491    1
X3                 X7                 X8                  11.349    1
X2                 X6                 X7                  10.883    1
X4                 X5                 X7                  10.797    1
X1                 X3                 X8                  10.791    1
X0                 X6                 X8                  10.789    1
X5                 X8                 X9                  10.336    1
X4                 X5                 X9                  10.059    1
X0                 X8                 X9                  10.041    1
X4                 X8                 X9                  10.027    1
X0                 X7                 X8                   9.997    1
X1                 X7                 X8                   9.798    1
X0                 X1                 X4                   9.606    1
X3                 X4                 X7                   9.556    1
X0                 X2                 X7                   9.360    1
X3                 X8                 X9                   9.324    1
X0                 X3                 X9                   9.045    1
X0                 X2                 X4                   8.751    1
X2                 X4                 X7                   8.739    1
X1                 X8                 X9                   8.734    1
X0                 X1                 X2                   8.523    1
X0                 X5                 X9                   8.143    1
X3                 X5                 X7                   8.094    1
X1                 X4                 X5                   8.027    1
X0                 X1                 X5                   7.679    1
X1                 X3                 X9                   7.665    1
X2                 X4                 X8                   7.613    1
X0                 X4                 X6                   7.294    1
X0                 X1                 X6                   7.288    1
X0                 X4                 X8                   6.685    1
X5                 X6                 X9                   6.679    1
X3                 X5                 X9                   6.644    1
X3                 X6                 X7                   6.515    1
X6                 X7                 X8                   6.451    1
X0                 X1                 X7                   6.377    1
X3                 X4                 X8                   6.311    1
X0                 X6                 X9                   6.281    1
X1                 X4                 X9                   6.267    1
X4                 X6                 X8                   6.185    1
X1                 X2                 X9                   6.134    1
X1                 X4                 X8                   6.118    1
X0                 X2                 X3                   6.003    1
X5                 X7                 X8                   5.904    1
X1                 X5                 X8                   5.585    1
X1                 X5                 X6                   5.376    1
X0                 X1                 X9                   5.346    1
X1                 X3                 X5                   5.330    1
X0                 X3                 X8                   5.314    1
X3                 X6                 X8                   5.077    1
X1                 X3                 X4                   5.011    1
X1                 X2                 X3                   4.514    1
X0                 X5                 X7                   4.383    1
X0                 X4                 X9                   4.272    1
X3                 X5                 X6                   4.207    1
X1                 X5                 X9                   4.126    1
X1                 X6                 X7                   4.067    1
X2                 X6                 X9                   4.043    1
X6                 X7                 X9                   3.977    1
X2                 X7                 X9                   3.967    1
X6                 X8                 X9                   3.767    1
X1                 X2                 X8                   3.693    1
X3                 X5                 X8                   3.625    1
X1                 X2                 X4                   3.62     1
X0                 X5                 X8                   3.605    1
X4                 X7                 X8                   3.555    1
X2                 X3                 X9                   3.548    1
X5                 X7                 X9                   3.543    1
X0                 X5                 X6                   3.504    1
X0                 X2                 X9                   3.457    1
X1                 X7                 X9                   3.452    1
X0                 X3                 X7                   3.181    1
X2                 X3                 X8                   3.098    1
X7                 X8                 X9                   3.085    1
X0                 X7                 X9                   2.947    1
X1                 X4                 X6                   2.935    1
X3                 X6                 X9                   2.910    1
X2                 X8                 X9                   2.823    1
X0                 X4                 X7                   2.805    1
X4                 X6                 X9                   2.735    1
X0                 X3                 X4                   0        1
X0                 X3                 X5                   0        1
X0                 X6                 X7                   0        1
X1                 X3                 X6                   0        1
X1                 X4                 X7                   0        1
X1                 X5                 X7                   0        1
X1                 X6                 X9                   0        1
X2                 X3                 X4                   0        1
X4                 X7                 X9                   0        1
X2                 X4                 X9                   0        1
X4                 X6                 X7                   0        1
X3                 X4                 X5                   0        1
X3                 X4                 X6                   0        1
X3                 X4                 X9                   0        1
