Input File: reformatted-data/train/hibachi-res_GradientBoostingClassifier_MLPClassifier-s33712_0.240.txt
Computation options used: -p 999 -r 1336562609 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X0                 X4                 X9                 170.998    0.001
X0                 X4                 X5                 162.008    0.001
X0                 X3                 X4                 154.21     0.001
X0                 X4                 X6                 153.532    0.001
X0                 X1                 X4                 150.44     0.001
X0                 X2                 X4                 144.206    0.001
X0                 X4                 X7                 142.519    0.001
X0                 X4                 X8                 142.365    0.001
X2                 X7                 X9                  28.777    0.029
X0                 X7                 X9                  21.003    0.347
X2                 X4                 X7                  20.199    0.434
X0                 X5                 X9                  18.076    0.691
X0                 X6                 X9                  17.625    0.738
X4                 X5                 X7                  16.749    0.836
X1                 X2                 X7                  16.243    0.882
X0                 X5                 X6                  15.935    0.908
X0                 X8                 X9                  15.931    0.908
X0                 X3                 X9                  15.637    0.919
X2                 X4                 X5                  15.119    0.935
X2                 X4                 X9                  14.640    0.966
X0                 X1                 X9                  14.627    0.966
X0                 X2                 X9                  14.365    0.972
X6                 X7                 X8                  14.116    0.982
X1                 X3                 X7                  13.445    0.991
X4                 X5                 X9                  13.296    0.991
X2                 X3                 X4                  13.191    0.992
X1                 X2                 X4                  12.556    0.997
X4                 X6                 X7                  12.388    0.999
X2                 X6                 X7                  12.185    0.999
X0                 X6                 X7                  11.703    0.999
X4                 X5                 X8                  11.600    0.999
X0                 X1                 X7                  11.130    0.999
X4                 X7                 X9                  11.084    0.999
X2                 X3                 X9                  10.988    0.999
X1                 X5                 X7                  10.870    1
X1                 X7                 X9                  10.667    1
X1                 X5                 X6                  10.552    1
X1                 X4                 X7                  10.315    1
X6                 X7                 X9                  10.224    1
X4                 X8                 X9                  10.145    1
X2                 X5                 X7                   9.982    1
X2                 X4                 X6                   9.784    1
X5                 X6                 X9                   9.629    1
X3                 X6                 X7                   9.572    1
X1                 X2                 X9                   9.451    1
X2                 X6                 X9                   9.440    1
X2                 X4                 X8                   9.401    1
X2                 X5                 X6                   9.392    1
X0                 X1                 X3                   9.255    1
X5                 X6                 X8                   9.131    1
X3                 X7                 X9                   8.990    1
X1                 X4                 X9                   8.265    1
X1                 X5                 X9                   8.074    1
X2                 X5                 X9                   8.050    1
X0                 X6                 X8                   7.910    1
X1                 X3                 X8                   7.865    1
X4                 X7                 X8                   7.836    1
X1                 X6                 X7                   7.715    1
X0                 X2                 X5                   7.593    1
X0                 X2                 X7                   7.526    1
X5                 X6                 X7                   7.506    1
X1                 X4                 X8                   7.327    1
X1                 X6                 X8                   7.233    1
X2                 X7                 X8                   7.190    1
X0                 X1                 X5                   7.173    1
X0                 X1                 X8                   7.132    1
X1                 X7                 X8                   7.092    1
X3                 X4                 X7                   6.979    1
X1                 X4                 X5                   6.672    1
X3                 X5                 X9                   6.482    1
X3                 X5                 X8                   6.223    1
X1                 X3                 X4                   6.119    1
X3                 X4                 X9                   6.113    1
X3                 X4                 X6                   6.101    1
X7                 X8                 X9                   5.798    1
X0                 X3                 X5                   5.723    1
X4                 X5                 X6                   5.064    1
X3                 X4                 X5                   4.918    1
X2                 X3                 X7                   4.875    1
X3                 X7                 X8                   4.322    1
X1                 X4                 X6                   4.315    1
X3                 X6                 X8                   4.298    1
X0                 X5                 X7                   4.288    1
X6                 X8                 X9                   4.063    1
X2                 X3                 X5                   3.965    1
X1                 X5                 X8                   3.83     1
X0                 X2                 X6                   3.748    1
X1                 X2                 X6                   3.657    1
X5                 X7                 X8                   3.527    1
X1                 X3                 X5                   3.487    1
X1                 X2                 X3                   3.460    1
X4                 X6                 X8                   3.408    1
X0                 X3                 X7                   3.250    1
X5                 X7                 X9                   3.192    1
X1                 X3                 X6                   3.180    1
X2                 X6                 X8                   3.171    1
X2                 X3                 X6                   3.169    1
X2                 X8                 X9                   3.071    1
X0                 X7                 X8                   2.961    1
X0                 X2                 X8                   2.909    1
X0                 X5                 X8                   2.893    1
X5                 X8                 X9                   2.829    1
X3                 X5                 X6                   2.804    1
X3                 X6                 X9                   2.779    1
X1                 X2                 X5                   2.776    1
X4                 X6                 X9                   0        1
X3                 X8                 X9                   0        1
X3                 X5                 X7                   0        1
X3                 X4                 X8                   0        1
X2                 X5                 X8                   0        1
X2                 X3                 X8                   0        1
X1                 X8                 X9                   0        1
X1                 X6                 X9                   0        1
X1                 X3                 X9                   0        1
X1                 X2                 X8                   0        1
X0                 X3                 X8                   0        1
X0                 X3                 X6                   0        1
X0                 X2                 X3                   0        1
X0                 X1                 X6                   0        1
X0                 X1                 X2                   0        1
