Input File: reformatted-data/train/hibachi-res_GradientBoostingClassifier_RandomForestClassifier-s35883_0.340.txt
Computation options used: -p 999 -r 1337100433 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X2                 X5                 X8                 494.964    0.001
X4                 X5                 X7                  23.886    0.107
X4                 X5                 X9                  18.656    0.581
X0                 X3                 X6                  18.131    0.646
X5                 X7                 X9                  16.840    0.794
X3                 X5                 X9                  16.341    0.85
X1                 X4                 X7                  15.673    0.898
X0                 X2                 X5                  15.574    0.905
X2                 X7                 X8                  15.514    0.906
X5                 X8                 X9                  15.446    0.911
X2                 X3                 X8                  14.765    0.958
X0                 X3                 X7                  14.540    0.967
X5                 X7                 X8                  14.349    0.971
X3                 X5                 X7                  14.329    0.972
X2                 X8                 X9                  12.480    0.998
X0                 X5                 X7                  12.139    1
X0                 X5                 X9                  11.864    1
X1                 X5                 X7                  11.709    1
X2                 X5                 X7                  11.537    1
X3                 X6                 X7                  11.373    1
X1                 X5                 X9                  11.114    1
X3                 X8                 X9                  10.810    1
X2                 X4                 X8                  10.802    1
X0                 X3                 X5                  10.462    1
X4                 X7                 X8                   9.792    1
X0                 X5                 X8                   9.413    1
X0                 X4                 X9                   9.389    1
X0                 X5                 X6                   9.239    1
X1                 X2                 X4                   9.204    1
X0                 X2                 X8                   8.695    1
X2                 X7                 X9                   8.552    1
X3                 X4                 X8                   8.537    1
X3                 X4                 X7                   8.336    1
X2                 X3                 X7                   8.262    1
X0                 X1                 X6                   8.016    1
X3                 X7                 X8                   7.959    1
X1                 X2                 X5                   7.790    1
X0                 X1                 X3                   7.721    1
X4                 X8                 X9                   7.664    1
X0                 X1                 X4                   7.662    1
X2                 X4                 X9                   7.571    1
X0                 X4                 X5                   7.465    1
X4                 X7                 X9                   7.357    1
X3                 X4                 X9                   7.239    1
X1                 X8                 X9                   7.165    1
X1                 X3                 X5                   6.935    1
X0                 X3                 X4                   6.911    1
X2                 X4                 X5                   6.786    1
X3                 X6                 X8                   6.686    1
X0                 X1                 X5                   6.653    1
X1                 X4                 X6                   6.558    1
X1                 X4                 X9                   6.319    1
X2                 X4                 X7                   6.311    1
X4                 X5                 X8                   6.303    1
X0                 X4                 X7                   6.288    1
X2                 X3                 X5                   6.225    1
X7                 X8                 X9                   6.051    1
X1                 X7                 X8                   5.744    1
X1                 X3                 X9                   5.725    1
X0                 X3                 X8                   5.389    1
X3                 X5                 X8                   5.241    1
X1                 X4                 X8                   5.139    1
X2                 X5                 X9                   5.060    1
X1                 X5                 X6                   4.932    1
X1                 X3                 X8                   4.901    1
X6                 X8                 X9                   4.754    1
X1                 X3                 X4                   4.735    1
X5                 X6                 X8                   4.714    1
X2                 X5                 X6                   4.676    1
X1                 X4                 X5                   4.605    1
X4                 X6                 X8                   4.527    1
X1                 X2                 X7                   3.976    1
X1                 X3                 X7                   3.928    1
X0                 X2                 X3                   3.920    1
X0                 X2                 X7                   3.888    1
X4                 X6                 X9                   3.780    1
X6                 X7                 X8                   3.709    1
X0                 X3                 X9                   3.658    1
X4                 X5                 X6                   3.630    1
X2                 X3                 X4                   3.613    1
X1                 X3                 X6                   3.554    1
X0                 X2                 X6                   3.506    1
X0                 X1                 X2                   3.469    1
X1                 X2                 X8                   3.446    1
X2                 X6                 X8                   3.440    1
X1                 X2                 X3                   3.431    1
X3                 X7                 X9                   3.197    1
X5                 X6                 X7                   3.151    1
X1                 X7                 X9                   3.091    1
X2                 X3                 X9                   3.069    1
X3                 X4                 X6                   2.974    1
X3                 X5                 X6                   2.958    1
X6                 X7                 X9                   2.937    1
X1                 X2                 X6                   2.865    1
X2                 X6                 X7                   2.832    1
X0                 X6                 X7                   2.831    1
X0                 X6                 X8                   2.809    1
X1                 X6                 X8                   2.750    1
X0                 X4                 X6                   2.734    1
X0                 X2                 X9                   0        1
X0                 X2                 X4                   0        1
X5                 X6                 X9                   0        1
X0                 X1                 X9                   0        1
X0                 X1                 X8                   0        1
X0                 X4                 X8                   0        1
X0                 X1                 X7                   0        1
X2                 X6                 X9                   0        1
X0                 X6                 X9                   0        1
X0                 X7                 X8                   0        1
X4                 X6                 X7                   0        1
X0                 X7                 X9                   0        1
X0                 X8                 X9                   0        1
X3                 X4                 X5                   0        1
X1                 X2                 X9                   0        1
X3                 X6                 X9                   0        1
X1                 X5                 X8                   0        1
X1                 X6                 X7                   0        1
X1                 X6                 X9                   0        1
X2                 X3                 X6                   0        1
X2                 X4                 X6                   0        1
