Input File: reformatted-data/train/hibachi-res_GradientBoostingClassifier_XGBClassifier-s93248_0.459.txt
Computation options used: -p 999 -r 1338041625 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X0                 X3                 X8                 466.582    0.001
X3                 X4                 X6                  21.076    0.306
X4                 X5                 X8                  19.123    0.537
X5                 X6                 X8                  19.015    0.549
X2                 X4                 X8                  15.161    0.946
X2                 X4                 X7                  14.017    0.987
X0                 X1                 X3                  13.519    0.994
X4                 X5                 X7                  12.725    0.998
X3                 X7                 X9                  12.256    0.999
X0                 X3                 X5                  12.182    0.999
X2                 X3                 X5                  11.61     1
X2                 X3                 X4                  11.567    1
X5                 X7                 X8                  11.262    1
X1                 X5                 X7                  10.898    1
X2                 X5                 X8                  10.862    1
X2                 X3                 X6                  10.810    1
X4                 X7                 X9                  10.624    1
X3                 X6                 X9                  10.596    1
X1                 X2                 X4                  10.559    1
X3                 X5                 X8                  10.533    1
X0                 X2                 X3                  10.138    1
X0                 X1                 X4                   9.547    1
X1                 X3                 X6                   9.211    1
X3                 X4                 X9                   9.187    1
X0                 X1                 X8                   8.454    1
X2                 X3                 X8                   8.444    1
X0                 X4                 X8                   8.442    1
X3                 X5                 X6                   8.302    1
X1                 X4                 X7                   8.302    1
X0                 X3                 X4                   8.257    1
X1                 X3                 X8                   8.185    1
X1                 X3                 X4                   8.146    1
X3                 X6                 X7                   8.010    1
X1                 X4                 X8                   7.934    1
X3                 X4                 X8                   7.891    1
X3                 X8                 X9                   7.860    1
X2                 X4                 X9                   7.827    1
X2                 X8                 X9                   7.731    1
X1                 X2                 X3                   7.724    1
X1                 X4                 X9                   7.628    1
X5                 X6                 X7                   7.551    1
X1                 X3                 X5                   7.533    1
X0                 X4                 X7                   7.343    1
X0                 X4                 X5                   7.236    1
X0                 X8                 X9                   7.220    1
X4                 X5                 X6                   7.154    1
X3                 X4                 X7                   7.097    1
X4                 X7                 X8                   6.964    1
X1                 X4                 X6                   6.958    1
X1                 X7                 X8                   6.763    1
X3                 X6                 X8                   6.660    1
X1                 X4                 X5                   6.591    1
X1                 X6                 X9                   6.542    1
X3                 X4                 X5                   6.308    1
X2                 X5                 X7                   6.158    1
X1                 X7                 X9                   6.135    1
X1                 X5                 X6                   6.120    1
X2                 X3                 X9                   6.099    1
X0                 X5                 X6                   6.070    1
X2                 X4                 X6                   6.048    1
X3                 X5                 X7                   6.029    1
X5                 X7                 X9                   5.651    1
X0                 X6                 X7                   5.548    1
X2                 X5                 X9                   5.527    1
X2                 X7                 X8                   5.415    1
X0                 X2                 X4                   5.362    1
X1                 X3                 X7                   5.340    1
X2                 X7                 X9                   5.300    1
X0                 X3                 X6                   5.289    1
X1                 X5                 X8                   5.203    1
X0                 X4                 X6                   5.030    1
X7                 X8                 X9                   4.994    1
X1                 X2                 X8                   4.761    1
X0                 X2                 X6                   4.607    1
X5                 X8                 X9                   4.582    1
X4                 X6                 X8                   4.477    1
X0                 X2                 X8                   4.404    1
X4                 X6                 X7                   4.381    1
X4                 X6                 X9                   4.326    1
X2                 X6                 X9                   4.213    1
X1                 X2                 X7                   4.167    1
X0                 X7                 X9                   4.035    1
X0                 X2                 X9                   3.839    1
X2                 X6                 X7                   3.800    1
X0                 X3                 X9                   3.788    1
X2                 X3                 X7                   3.735    1
X2                 X4                 X5                   3.709    1
X0                 X3                 X7                   3.651    1
X0                 X5                 X9                   3.64     1
X0                 X1                 X2                   3.578    1
X0                 X1                 X6                   3.446    1
X1                 X5                 X9                   3.285    1
X1                 X6                 X7                   3.251    1
X2                 X6                 X8                   3.165    1
X6                 X7                 X9                   3.115    1
X0                 X1                 X5                   3.097    1
X4                 X8                 X9                   3.091    1
X1                 X2                 X5                   3.064    1
X0                 X5                 X8                   3.052    1
X0                 X2                 X7                   2.971    1
X0                 X7                 X8                   2.925    1
X0                 X6                 X8                   2.861    1
X2                 X5                 X6                   0        1
X6                 X7                 X8                   0        1
X5                 X6                 X9                   0        1
X0                 X1                 X7                   0        1
X6                 X8                 X9                   0        1
X0                 X1                 X9                   0        1
X1                 X8                 X9                   0        1
X0                 X2                 X5                   0        1
X1                 X6                 X8                   0        1
X4                 X5                 X9                   0        1
X1                 X3                 X9                   0        1
X1                 X2                 X9                   0        1
X1                 X2                 X6                   0        1
X3                 X7                 X8                   0        1
X0                 X4                 X9                   0        1
X0                 X5                 X7                   0        1
X3                 X5                 X9                   0        1
X0                 X6                 X9                   0        1
