Input File: reformatted-data/train/hibachi-res_KNeighborsClassifier_DecisionTreeClassifier-s66842_0.322.txt
Computation options used: -p 999 -r 1339234922 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X2                 X6                 X9                 496.128    0.001
X2                 X6                 X8                 496.087    0.001
X2                 X3                 X6                 496.084    0.001
X2                 X4                 X6                 496.046    0.001
X2                 X5                 X6                 496.007    0.001
X1                 X2                 X6                 495.873    0.001
X2                 X6                 X7                 472.166    0.001
X0                 X2                 X6                 469.265    0.001
X2                 X3                 X9                  20.282    0.434
X1                 X3                 X9                  15.413    0.947
X3                 X4                 X9                  15.096    0.963
X2                 X3                 X5                  15.029    0.964
X2                 X4                 X7                  14.844    0.968
X2                 X3                 X7                  14.595    0.974
X3                 X7                 X9                  14.588    0.974
X2                 X5                 X7                  14.441    0.977
X0                 X2                 X7                  14.253    0.98
X1                 X2                 X9                  13.843    0.987
X2                 X8                 X9                  13.828    0.987
X3                 X7                 X8                  13.710    0.99
X0                 X3                 X9                  13.593    0.991
X1                 X8                 X9                  13.524    0.993
X5                 X6                 X7                  13.389    0.994
X2                 X7                 X9                  13.284    0.994
X5                 X7                 X9                  13.126    0.994
X2                 X7                 X8                  12.668    0.996
X0                 X7                 X8                  12.397    0.996
X2                 X4                 X9                  12.370    0.996
X0                 X2                 X3                  12.055    0.996
X0                 X1                 X9                  12.003    0.996
X3                 X6                 X7                  11.845    0.997
X4                 X8                 X9                  11.836    0.997
X3                 X5                 X9                  11.505    0.998
X0                 X8                 X9                  11.448    0.999
X2                 X3                 X8                  11.317    0.999
X0                 X4                 X6                  11.206    0.999
X4                 X6                 X7                  10.918    0.999
X3                 X6                 X8                  10.642    0.999
X4                 X7                 X8                  10.617    0.999
X1                 X2                 X7                  10.567    0.999
X0                 X2                 X8                   9.962    1
X0                 X4                 X5                   9.597    1
X1                 X3                 X8                   9.117    1
X5                 X8                 X9                   9.111    1
X6                 X8                 X9                   8.998    1
X1                 X2                 X5                   8.688    1
X3                 X8                 X9                   8.637    1
X5                 X6                 X8                   8.395    1
X3                 X6                 X9                   7.969    1
X1                 X3                 X5                   7.881    1
X3                 X4                 X8                   7.576    1
X4                 X7                 X9                   7.503    1
X1                 X3                 X4                   7.470    1
X1                 X4                 X6                   7.389    1
X2                 X4                 X8                   7.334    1
X3                 X4                 X6                   7.263    1
X3                 X5                 X8                   7.015    1
X0                 X6                 X8                   7.009    1
X0                 X5                 X6                   6.934    1
X2                 X3                 X4                   6.921    1
X4                 X6                 X9                   6.887    1
X0                 X6                 X9                   6.797    1
X0                 X1                 X4                   6.783    1
X3                 X4                 X7                   6.780    1
X6                 X7                 X8                   6.648    1
X0                 X2                 X5                   6.399    1
X3                 X4                 X5                   6.379    1
X2                 X5                 X9                   6.287    1
X1                 X4                 X9                   6.235    1
X0                 X2                 X9                   6.210    1
X1                 X5                 X9                   6.193    1
X5                 X6                 X9                   6.042    1
X3                 X5                 X6                   5.905    1
X4                 X5                 X9                   5.380    1
X0                 X5                 X9                   5.319    1
X1                 X6                 X9                   5.243    1
X0                 X3                 X8                   5.201    1
X0                 X3                 X4                   5.158    1
X5                 X7                 X8                   5.095    1
X0                 X4                 X8                   5.063    1
X3                 X5                 X7                   4.675    1
X0                 X1                 X8                   4.595    1
X0                 X7                 X9                   4.407    1
X0                 X1                 X2                   4.212    1
X1                 X7                 X9                   4.166    1
X0                 X3                 X7                   4.110    1
X4                 X5                 X7                   3.977    1
X1                 X6                 X8                   3.977    1
X0                 X4                 X7                   3.893    1
X1                 X7                 X8                   3.878    1
X1                 X2                 X4                   3.869    1
X0                 X1                 X6                   3.776    1
X4                 X5                 X6                   3.669    1
X1                 X6                 X7                   3.593    1
X0                 X3                 X5                   3.580    1
X1                 X5                 X7                   3.543    1
X0                 X4                 X9                   3.500    1
X4                 X6                 X8                   3.462    1
X1                 X4                 X8                   3.453    1
X7                 X8                 X9                   3.423    1
X1                 X2                 X8                   3.292    1
X1                 X3                 X7                   3.291    1
X1                 X5                 X8                   3.275    1
X0                 X3                 X6                   3.250    1
X0                 X6                 X7                   3.205    1
X1                 X4                 X7                   3.039    1
X2                 X5                 X8                   3.024    1
X0                 X5                 X7                   0        1
X1                 X4                 X5                   0        1
X1                 X3                 X6                   0        1
X0                 X5                 X8                   0        1
X1                 X5                 X6                   0        1
X0                 X2                 X4                   0        1
X0                 X1                 X7                   0        1
X4                 X5                 X8                   0        1
X0                 X1                 X5                   0        1
X0                 X1                 X3                   0        1
X6                 X7                 X9                   0        1
X2                 X4                 X5                   0        1
X1                 X2                 X3                   0        1
