Input File: reformatted-data/train/hibachi-res_KNeighborsClassifier_ExtraTreesClassifier-s4509_0.154.txt
Computation options used: -p 999 -r 1339755939 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X5                 X8                 X9                 15.228     0.959
X0                 X4                 X6                 13.715     0.991
X2                 X3                 X7                 13.167     0.995
X0                 X5                 X7                 12.731     0.997
X0                 X7                 X8                 12.717     0.997
X5                 X7                 X9                 11.808     0.999
X4                 X7                 X9                 11.118     1
X0                 X1                 X2                 10.839     1
X1                 X2                 X7                 10.585     1
X0                 X3                 X6                 10.574     1
X1                 X2                 X9                 10.386     1
X3                 X4                 X5                 10.16      1
X4                 X8                 X9                 10.099     1
X0                 X3                 X4                  9.862     1
X0                 X1                 X7                  9.339     1
X0                 X3                 X5                  8.897     1
X0                 X8                 X9                  8.866     1
X0                 X1                 X4                  8.838     1
X3                 X4                 X9                  8.832     1
X0                 X2                 X3                  8.637     1
X3                 X8                 X9                  8.577     1
X1                 X6                 X7                  8.422     1
X3                 X6                 X7                  8.016     1
X1                 X4                 X8                  7.774     1
X3                 X4                 X6                  7.567     1
X1                 X5                 X7                  7.440     1
X3                 X7                 X8                  7.430     1
X3                 X5                 X6                  7.357     1
X1                 X2                 X3                  7.329     1
X0                 X4                 X7                  7.212     1
X0                 X6                 X8                  7.135     1
X0                 X3                 X8                  7.121     1
X5                 X6                 X9                  7.055     1
X4                 X5                 X6                  6.966     1
X3                 X6                 X8                  6.914     1
X3                 X5                 X8                  6.900     1
X0                 X1                 X3                  6.868     1
X1                 X3                 X5                  6.796     1
X0                 X7                 X9                  6.754     1
X1                 X2                 X5                  6.601     1
X1                 X7                 X9                  6.478     1
X0                 X1                 X9                  6.380     1
X0                 X2                 X4                  6.229     1
X4                 X6                 X9                  6.071     1
X1                 X3                 X4                  5.910     1
X4                 X5                 X7                  5.826     1
X2                 X5                 X8                  5.727     1
X1                 X2                 X8                  5.649     1
X4                 X6                 X8                  5.438     1
X0                 X5                 X9                  5.433     1
X2                 X3                 X8                  5.357     1
X2                 X7                 X9                  5.264     1
X0                 X2                 X5                  5.259     1
X2                 X3                 X4                  5.213     1
X6                 X7                 X9                  5.177     1
X3                 X4                 X7                  5.148     1
X1                 X6                 X9                  5.058     1
X4                 X5                 X8                  5.048     1
X1                 X3                 X9                  5.021     1
X2                 X5                 X7                  5.008     1
X3                 X5                 X7                  4.869     1
X0                 X1                 X5                  4.756     1
X0                 X3                 X7                  4.746     1
X0                 X3                 X9                  4.736     1
X2                 X4                 X6                  4.735     1
X1                 X4                 X9                  4.728     1
X0                 X4                 X8                  4.636     1
X1                 X7                 X8                  4.570     1
X5                 X6                 X7                  4.501     1
X4                 X7                 X8                  4.371     1
X1                 X5                 X6                  4.297     1
X6                 X7                 X8                  4.149     1
X1                 X6                 X8                  4.132     1
X6                 X8                 X9                  4.010     1
X2                 X3                 X5                  3.916     1
X2                 X6                 X9                  3.807     1
X2                 X4                 X5                  3.787     1
X0                 X4                 X5                  3.666     1
X2                 X6                 X8                  3.657     1
X2                 X4                 X9                  3.607     1
X3                 X4                 X8                  3.604     1
X2                 X5                 X9                  3.594     1
X1                 X4                 X6                  3.536     1
X2                 X4                 X7                  3.502     1
X0                 X4                 X9                  3.494     1
X2                 X7                 X8                  3.490     1
X5                 X7                 X8                  3.486     1
X4                 X6                 X7                  3.455     1
X7                 X8                 X9                  3.394     1
X0                 X5                 X8                  3.379     1
X0                 X1                 X8                  3.364     1
X1                 X4                 X5                  3.309     1
X2                 X8                 X9                  3.283     1
X1                 X2                 X4                  3.215     1
X0                 X2                 X8                  3.046     1
X1                 X5                 X9                  3.007     1
X0                 X2                 X9                  2.951     1
X2                 X4                 X8                  2.810     1
X2                 X6                 X7                  2.804     1
X1                 X2                 X6                  2.779     1
X0                 X6                 X9                  0         1
X1                 X5                 X8                  0         1
X1                 X8                 X9                  0         1
X1                 X4                 X7                  0         1
X0                 X1                 X6                  0         1
X2                 X3                 X6                  0         1
X0                 X2                 X6                  0         1
X5                 X6                 X8                  0         1
X0                 X6                 X7                  0         1
X0                 X2                 X7                  0         1
X3                 X5                 X9                  0         1
X2                 X3                 X9                  0         1
X2                 X5                 X6                  0         1
X4                 X5                 X9                  0         1
X1                 X3                 X8                  0         1
X0                 X5                 X6                  0         1
X1                 X3                 X7                  0         1
X3                 X7                 X9                  0         1
X1                 X3                 X6                  0         1
X3                 X6                 X9                  0         1
