Input File: reformatted-data/train/hibachi-res_KNeighborsClassifier_RandomForestClassifier-s76916_0.056.txt
Computation options used: -p 999 -r 1343234988 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X6                 X8                 X9                 21.239     0.337
X1                 X5                 X9                 16.448     0.891
X0                 X1                 X3                 15.752     0.929
X0                 X3                 X9                 14.318     0.982
X3                 X7                 X9                 14.249     0.983
X3                 X5                 X8                 13.672     0.991
X3                 X8                 X9                 12.888     0.997
X0                 X1                 X4                 12.790     0.997
X1                 X3                 X8                 12.699     0.997
X3                 X5                 X9                 12.255     0.998
X5                 X8                 X9                 12.159     0.998
X1                 X2                 X9                 11.114     1
X1                 X6                 X9                 11.114     1
X0                 X4                 X8                 11.101     1
X1                 X3                 X9                 10.131     1
X1                 X4                 X5                  9.970     1
X2                 X3                 X7                  8.837     1
X4                 X5                 X6                  8.489     1
X1                 X3                 X7                  8.226     1
X2                 X3                 X9                  7.99      1
X1                 X4                 X9                  7.804     1
X5                 X7                 X9                  7.680     1
X5                 X6                 X9                  7.672     1
X3                 X6                 X9                  7.611     1
X1                 X2                 X6                  7.528     1
X2                 X4                 X5                  7.445     1
X1                 X7                 X9                  7.277     1
X0                 X1                 X9                  7.055     1
X2                 X6                 X9                  7.031     1
X1                 X4                 X6                  6.918     1
X0                 X3                 X6                  6.806     1
X1                 X4                 X8                  6.761     1
X1                 X2                 X5                  6.685     1
X5                 X6                 X8                  6.617     1
X3                 X4                 X8                  6.468     1
X4                 X5                 X9                  6.392     1
X0                 X1                 X5                  6.382     1
X3                 X4                 X9                  6.315     1
X0                 X4                 X5                  6.177     1
X0                 X3                 X8                  6.133     1
X2                 X5                 X9                  5.916     1
X2                 X7                 X9                  5.844     1
X4                 X7                 X9                  5.590     1
X1                 X6                 X8                  5.517     1
X0                 X1                 X7                  5.485     1
X4                 X7                 X8                  5.480     1
X0                 X2                 X3                  5.449     1
X0                 X1                 X6                  5.010     1
X6                 X7                 X8                  4.976     1
X4                 X6                 X8                  4.923     1
X0                 X5                 X7                  4.895     1
X1                 X5                 X6                  4.793     1
X0                 X7                 X8                  4.779     1
X0                 X3                 X7                  4.499     1
X0                 X4                 X6                  4.434     1
X3                 X6                 X8                  4.314     1
X1                 X2                 X3                  4.290     1
X0                 X1                 X8                  4.207     1
X0                 X2                 X4                  4.162     1
X0                 X5                 X8                  4.154     1
X1                 X7                 X8                  4.111     1
X2                 X8                 X9                  3.963     1
X1                 X3                 X5                  3.848     1
X1                 X8                 X9                  3.836     1
X3                 X7                 X8                  3.802     1
X0                 X2                 X5                  3.743     1
X0                 X5                 X6                  3.608     1
X0                 X2                 X7                  3.595     1
X2                 X5                 X7                  3.566     1
X4                 X5                 X7                  3.463     1
X2                 X3                 X4                  3.438     1
X4                 X8                 X9                  3.405     1
X0                 X2                 X9                  3.375     1
X0                 X5                 X9                  3.341     1
X0                 X7                 X9                  3.327     1
X4                 X5                 X8                  3.250     1
X2                 X7                 X8                  3.201     1
X1                 X3                 X4                  3.186     1
X0                 X6                 X8                  3.168     1
X0                 X4                 X9                  3.092     1
X1                 X3                 X6                  3.048     1
X5                 X6                 X7                  3.045     1
X1                 X6                 X7                  3.005     1
X0                 X2                 X6                  2.986     1
X5                 X7                 X8                  2.847     1
X1                 X5                 X8                  2.834     1
X7                 X8                 X9                  2.800     1
X0                 X6                 X7                  2.793     1
X3                 X4                 X5                  2.788     1
X2                 X3                 X8                  2.774     1
X0                 X1                 X2                  2.755     1
X3                 X5                 X7                  2.744     1
X1                 X5                 X7                  0         1
X4                 X6                 X9                  0         1
X1                 X4                 X7                  0         1
X1                 X2                 X8                  0         1
X1                 X2                 X7                  0         1
X1                 X2                 X4                  0         1
X0                 X8                 X9                  0         1
X0                 X6                 X9                  0         1
X0                 X4                 X7                  0         1
X0                 X3                 X5                  0         1
X0                 X3                 X4                  0         1
X6                 X7                 X9                  0         1
X0                 X2                 X8                  0         1
X4                 X6                 X7                  0         1
X2                 X3                 X5                  0         1
X2                 X3                 X6                  0         1
X2                 X4                 X6                  0         1
X2                 X4                 X7                  0         1
X2                 X4                 X8                  0         1
X2                 X4                 X9                  0         1
X2                 X5                 X6                  0         1
X2                 X5                 X8                  0         1
X3                 X6                 X7                  0         1
X2                 X6                 X7                  0         1
X2                 X6                 X8                  0         1
X3                 X5                 X6                  0         1
X3                 X4                 X6                  0         1
X3                 X4                 X7                  0         1
