Input File: reformatted-data/train/hibachi-res_KNeighborsClassifier_XGBClassifier-s60797_0.171.txt
Computation options used: -p 999 -r 1343907268 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X6                 X7                 X8                 18.345     0.666
X1                 X8                 X9                 18.157     0.692
X1                 X2                 X5                 16.666     0.867
X2                 X3                 X5                 15.564     0.93
X0                 X4                 X5                 15.071     0.956
X0                 X4                 X9                 14.466     0.97
X0                 X5                 X6                 14.302     0.974
X2                 X3                 X7                 13.770     0.987
X0                 X1                 X8                 13.079     0.997
X0                 X4                 X8                 12.916     0.998
X4                 X5                 X6                 12.565     0.999
X0                 X2                 X7                 12.479     1
X1                 X5                 X8                 12.477     1
X3                 X5                 X8                 12.157     1
X0                 X1                 X5                 12.108     1
X7                 X8                 X9                 11.867     1
X4                 X7                 X9                 11.666     1
X0                 X3                 X7                 11.617     1
X1                 X3                 X7                 11.061     1
X4                 X5                 X9                 11.021     1
X2                 X5                 X6                 10.640     1
X0                 X8                 X9                 10.433     1
X0                 X7                 X8                 10.218     1
X4                 X5                 X8                 10.203     1
X0                 X6                 X8                 10.153     1
X3                 X5                 X7                  9.988     1
X2                 X5                 X8                  9.864     1
X1                 X3                 X5                  9.69      1
X5                 X6                 X8                  9.520     1
X2                 X8                 X9                  9.508     1
X1                 X3                 X6                  9.487     1
X0                 X2                 X9                  9.377     1
X0                 X5                 X7                  9.270     1
X1                 X6                 X8                  9.222     1
X1                 X2                 X3                  9.061     1
X2                 X6                 X9                  8.817     1
X3                 X5                 X9                  8.701     1
X1                 X2                 X4                  8.614     1
X3                 X7                 X9                  8.512     1
X2                 X6                 X8                  8.435     1
X3                 X8                 X9                  8.124     1
X4                 X6                 X9                  8.042     1
X2                 X5                 X7                  7.954     1
X3                 X5                 X6                  7.725     1
X1                 X3                 X8                  7.572     1
X2                 X3                 X6                  7.453     1
X2                 X7                 X9                  7.391     1
X2                 X3                 X4                  7.269     1
X3                 X4                 X6                  7.173     1
X2                 X3                 X8                  7.139     1
X0                 X4                 X7                  6.993     1
X1                 X5                 X7                  6.965     1
X1                 X5                 X6                  6.958     1
X2                 X5                 X9                  6.953     1
X2                 X4                 X5                  6.828     1
X3                 X7                 X8                  6.722     1
X5                 X6                 X7                  6.603     1
X1                 X2                 X6                  6.520     1
X1                 X7                 X9                  6.393     1
X1                 X2                 X8                  6.305     1
X0                 X2                 X8                  6.108     1
X3                 X4                 X9                  6.052     1
X1                 X3                 X9                  5.962     1
X0                 X1                 X4                  5.960     1
X1                 X4                 X6                  5.955     1
X5                 X8                 X9                  5.953     1
X0                 X2                 X3                  5.774     1
X0                 X1                 X7                  5.747     1
X0                 X1                 X2                  5.623     1
X4                 X7                 X8                  5.521     1
X1                 X7                 X8                  5.318     1
X0                 X6                 X9                  5.123     1
X0                 X3                 X9                  5.077     1
X4                 X8                 X9                  4.961     1
X3                 X6                 X7                  4.954     1
X6                 X7                 X9                  4.845     1
X5                 X6                 X9                  4.823     1
X0                 X1                 X3                  4.733     1
X4                 X6                 X7                  4.721     1
X0                 X1                 X6                  4.712     1
X0                 X3                 X4                  4.678     1
X2                 X7                 X8                  4.330     1
X3                 X4                 X5                  4.318     1
X0                 X3                 X6                  4.252     1
X4                 X5                 X7                  4.185     1
X1                 X2                 X7                  4.138     1
X0                 X6                 X7                  4.138     1
X0                 X5                 X9                  4.081     1
X5                 X7                 X8                  4.051     1
X1                 X5                 X9                  3.965     1
X1                 X4                 X9                  3.945     1
X2                 X4                 X9                  3.851     1
X0                 X5                 X8                  3.816     1
X2                 X6                 X7                  3.734     1
X1                 X4                 X8                  3.731     1
X3                 X6                 X8                  3.713     1
X2                 X4                 X8                  3.702     1
X0                 X3                 X5                  3.698     1
X0                 X2                 X4                  3.663     1
X0                 X2                 X5                  3.561     1
X2                 X4                 X7                  3.559     1
X2                 X3                 X9                  3.526     1
X4                 X6                 X8                  3.473     1
X5                 X7                 X9                  3.386     1
X1                 X4                 X5                  3.351     1
X3                 X4                 X8                  3.346     1
X3                 X4                 X7                  3.306     1
X6                 X8                 X9                  3.188     1
X2                 X4                 X6                  2.989     1
X0                 X2                 X6                  2.943     1
X0                 X4                 X6                  2.87      1
X0                 X1                 X9                  2.795     1
X1                 X4                 X7                  0         1
X1                 X6                 X7                  0         1
X0                 X7                 X9                  0         1
X0                 X3                 X8                  0         1
X3                 X6                 X9                  0         1
X1                 X3                 X4                  0         1
X1                 X2                 X9                  0         1
X1                 X6                 X9                  0         1
