Input File: reformatted-data/train/hibachi-res_LogisticRegression_BernoulliNB-s90764_0.400.txt
Computation options used: -p 999 -r 1344562741 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X3                 X5                 X6                 94.411     0.001
X3                 X6                 X8                 66.197     0.001
X1                 X3                 X6                 62.629     0.001
X0                 X3                 X6                 47.590     0.001
X3                 X4                 X6                 46.466     0.001
X3                 X6                 X7                 42.994     0.001
X3                 X6                 X9                 41.484     0.001
X2                 X3                 X6                 39.858     0.001
X1                 X6                 X8                 17.247     0.767
X1                 X4                 X9                 15.177     0.953
X2                 X4                 X9                 15.172     0.953
X2                 X4                 X5                 12.394     1
X4                 X6                 X8                 12.240     1
X5                 X7                 X9                 11.552     1
X1                 X3                 X4                 11.407     1
X0                 X4                 X5                 11.368     1
X3                 X4                 X7                 11.282     1
X0                 X5                 X7                 11.090     1
X1                 X3                 X9                 10.980     1
X4                 X6                 X7                 10.916     1
X1                 X4                 X8                 10.850     1
X2                 X5                 X9                 10.673     1
X0                 X4                 X9                 10.596     1
X1                 X2                 X8                 10.205     1
X2                 X6                 X8                 10.131     1
X5                 X6                 X9                  9.392     1
X4                 X7                 X9                  9.267     1
X3                 X5                 X8                  9.132     1
X0                 X1                 X4                  9.036     1
X2                 X4                 X8                  8.872     1
X0                 X3                 X8                  8.205     1
X1                 X4                 X7                  7.992     1
X4                 X6                 X9                  7.956     1
X5                 X8                 X9                  7.931     1
X3                 X5                 X9                  7.580     1
X6                 X8                 X9                  7.429     1
X0                 X4                 X7                  7.392     1
X0                 X7                 X9                  7.102     1
X3                 X8                 X9                  7.068     1
X0                 X2                 X7                  7.053     1
X2                 X5                 X8                  6.996     1
X1                 X2                 X3                  6.969     1
X1                 X2                 X5                  6.945     1
X3                 X4                 X8                  6.722     1
X0                 X6                 X9                  6.642     1
X0                 X3                 X9                  6.632     1
X0                 X1                 X5                  6.617     1
X0                 X2                 X4                  6.609     1
X6                 X7                 X8                  6.573     1
X0                 X4                 X6                  6.383     1
X3                 X4                 X5                  6.378     1
X1                 X2                 X6                  6.231     1
X6                 X7                 X9                  6.100     1
X2                 X5                 X7                  6.092     1
X0                 X5                 X8                  6.042     1
X3                 X7                 X9                  5.996     1
X2                 X3                 X8                  5.888     1
X2                 X7                 X8                  5.796     1
X1                 X2                 X4                  5.778     1
X4                 X5                 X9                  5.769     1
X0                 X3                 X7                  5.681     1
X3                 X7                 X8                  5.485     1
X1                 X3                 X8                  5.334     1
X1                 X4                 X5                  5.285     1
X0                 X1                 X8                  5.238     1
X1                 X2                 X9                  4.965     1
X1                 X4                 X6                  4.830     1
X1                 X8                 X9                  4.819     1
X0                 X2                 X6                  4.759     1
X0                 X5                 X6                  4.720     1
X0                 X1                 X3                  4.624     1
X3                 X5                 X7                  4.612     1
X2                 X4                 X6                  4.558     1
X2                 X6                 X7                  4.523     1
X2                 X8                 X9                  4.508     1
X2                 X3                 X4                  4.405     1
X5                 X6                 X7                  4.326     1
X5                 X6                 X8                  4.302     1
X0                 X6                 X7                  4.176     1
X0                 X5                 X9                  4.101     1
X1                 X6                 X9                  4.065     1
X0                 X3                 X4                  4.044     1
X3                 X4                 X9                  3.997     1
X4                 X8                 X9                  3.941     1
X0                 X4                 X8                  3.936     1
X0                 X3                 X5                  3.860     1
X4                 X5                 X8                  3.793     1
X2                 X3                 X5                  3.781     1
X2                 X3                 X7                  3.763     1
X1                 X5                 X8                  3.683     1
X1                 X3                 X5                  3.548     1
X1                 X5                 X6                  3.494     1
X0                 X2                 X8                  3.374     1
X0                 X6                 X8                  3.314     1
X2                 X6                 X9                  3.256     1
X1                 X5                 X7                  3.183     1
X2                 X4                 X7                  3.098     1
X4                 X5                 X6                  3.079     1
X4                 X5                 X7                  2.998     1
X1                 X5                 X9                  2.947     1
X1                 X7                 X8                  2.908     1
X0                 X2                 X9                  2.841     1
X2                 X7                 X9                  2.782     1
X0                 X1                 X9                  2.754     1
X4                 X7                 X8                  0         1
X5                 X7                 X8                  0         1
X7                 X8                 X9                  0         1
X2                 X5                 X6                  0         1
X2                 X3                 X9                  0         1
X1                 X7                 X9                  0         1
X1                 X6                 X7                  0         1
X1                 X3                 X7                  0         1
X1                 X2                 X7                  0         1
X0                 X8                 X9                  0         1
X0                 X7                 X8                  0         1
X0                 X2                 X5                  0         1
X0                 X2                 X3                  0         1
X0                 X1                 X7                  0         1
X0                 X1                 X6                  0         1
X0                 X1                 X2                  0         1
