Input File: reformatted-data/train/hibachi-res_LogisticRegression_DecisionTreeClassifier-s23847_0.110.txt
Computation options used: -p 999 -r 1344966109 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X3                 X4                 X8                 15.940     0.926
X4                 X6                 X8                 14.348     0.988
X4                 X5                 X7                 13.689     0.995
X0                 X3                 X9                 13.267     0.998
X0                 X4                 X8                 13.202     0.999
X2                 X3                 X6                 12.502     0.999
X0                 X4                 X5                 12.479     0.999
X4                 X6                 X7                 12.170     0.999
X0                 X1                 X8                 12.104     0.999
X6                 X7                 X9                 11.769     1
X5                 X8                 X9                 11.629     1
X1                 X4                 X5                 11.560     1
X0                 X3                 X4                 11.481     1
X1                 X4                 X7                 11.019     1
X3                 X4                 X5                 10.693     1
X0                 X6                 X8                 10.467     1
X2                 X3                 X7                 10.195     1
X2                 X5                 X9                 10.150     1
X0                 X5                 X9                  9.813     1
X2                 X3                 X8                  9.504     1
X1                 X2                 X6                  9.290     1
X2                 X3                 X9                  8.896     1
X5                 X7                 X9                  8.829     1
X4                 X7                 X9                  8.593     1
X1                 X5                 X7                  8.537     1
X5                 X6                 X8                  8.520     1
X4                 X5                 X9                  8.436     1
X1                 X3                 X5                  8.326     1
X2                 X6                 X8                  8.298     1
X0                 X5                 X8                  8.183     1
X5                 X6                 X7                  7.917     1
X4                 X7                 X8                  7.874     1
X4                 X8                 X9                  7.842     1
X0                 X1                 X3                  7.711     1
X0                 X6                 X7                  7.624     1
X1                 X3                 X8                  7.544     1
X3                 X6                 X7                  7.430     1
X0                 X7                 X9                  7.265     1
X2                 X4                 X5                  7.263     1
X0                 X1                 X4                  7.165     1
X3                 X5                 X9                  7.121     1
X0                 X2                 X4                  7.110     1
X1                 X4                 X8                  7.046     1
X0                 X7                 X8                  6.847     1
X2                 X6                 X7                  6.846     1
X1                 X7                 X8                  6.786     1
X4                 X5                 X8                  6.755     1
X3                 X7                 X8                  6.738     1
X2                 X4                 X8                  6.526     1
X0                 X5                 X6                  6.427     1
X0                 X4                 X7                  6.392     1
X1                 X6                 X9                  5.954     1
X6                 X7                 X8                  5.949     1
X2                 X7                 X8                  5.919     1
X2                 X4                 X7                  5.915     1
X2                 X5                 X6                  5.890     1
X0                 X2                 X8                  5.578     1
X1                 X3                 X4                  5.381     1
X0                 X1                 X6                  5.347     1
X1                 X2                 X4                  5.325     1
X3                 X5                 X6                  5.210     1
X6                 X8                 X9                  5.199     1
X1                 X2                 X3                  5.178     1
X3                 X4                 X9                  5.099     1
X1                 X7                 X9                  5.052     1
X0                 X3                 X8                  4.949     1
X3                 X5                 X8                  4.948     1
X2                 X4                 X9                  4.785     1
X0                 X3                 X7                  4.655     1
X0                 X2                 X6                  4.447     1
X0                 X1                 X5                  4.429     1
X4                 X5                 X6                  4.392     1
X0                 X8                 X9                  4.267     1
X2                 X4                 X6                  4.259     1
X3                 X6                 X8                  3.995     1
X3                 X4                 X7                  3.924     1
X1                 X3                 X9                  3.846     1
X0                 X5                 X7                  3.774     1
X0                 X2                 X5                  3.728     1
X0                 X3                 X6                  3.726     1
X3                 X5                 X7                  3.704     1
X2                 X8                 X9                  3.605     1
X1                 X6                 X8                  3.510     1
X1                 X5                 X8                  3.458     1
X1                 X2                 X8                  3.448     1
X2                 X3                 X4                  3.422     1
X1                 X5                 X9                  3.404     1
X0                 X2                 X3                  3.263     1
X5                 X7                 X8                  3.237     1
X3                 X6                 X9                  3.206     1
X0                 X1                 X7                  3.195     1
X2                 X6                 X9                  3.180     1
X2                 X3                 X5                  3.102     1
X1                 X3                 X6                  3.046     1
X1                 X6                 X7                  3.032     1
X3                 X7                 X9                  3.000     1
X1                 X5                 X6                  2.993     1
X1                 X2                 X7                  2.974     1
X0                 X3                 X5                  2.967     1
X7                 X8                 X9                  2.849     1
X0                 X6                 X9                  2.836     1
X0                 X4                 X6                  2.804     1
X0                 X2                 X9                  2.784     1
X3                 X4                 X6                  2.763     1
X0                 X1                 X2                  0         1
X0                 X1                 X9                  0         1
X0                 X2                 X7                  0         1
X0                 X4                 X9                  0         1
X5                 X6                 X9                  0         1
X1                 X2                 X5                  0         1
X1                 X2                 X9                  0         1
X1                 X3                 X7                  0         1
X1                 X4                 X6                  0         1
X1                 X4                 X9                  0         1
X4                 X6                 X9                  0         1
X1                 X8                 X9                  0         1
X2                 X5                 X7                  0         1
X2                 X5                 X8                  0         1
X2                 X7                 X9                  0         1
X3                 X8                 X9                  0         1
