Input File: reformated-data/hibachi-res_LogisticRegression_DecisionTreeClassifier-s7880_0.095.txt
Computation options used: -p 999 -r 762474775 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X3                 X6                 X7                 37.775     0.002
X0                 X3                 X5                 26.220     0.165
X0                 X3                 X6                 24.856     0.237
X0                 X3                 X7                 23.388     0.361
X3                 X5                 X6                 22.856     0.418
X0                 X4                 X6                 18.557     0.857
X0                 X4                 X5                 17.922     0.897
X2                 X5                 X6                 17.470     0.924
X0                 X2                 X5                 17.385     0.931
X3                 X5                 X9                 16.538     0.964
X1                 X3                 X7                 15.889     0.983
X0                 X4                 X7                 15.491     0.991
X2                 X3                 X6                 15.123     0.995
X0                 X4                 X9                 15.012     0.995
X0                 X2                 X3                 14.566     0.997
X0                 X3                 X4                 14.520     0.997
X3                 X6                 X9                 13.953     0.999
X0                 X5                 X7                 13.450     1
X3                 X5                 X7                 13.444     1
X3                 X7                 X8                 13.255     1
X2                 X3                 X8                 12.533     1
X3                 X7                 X9                 12.495     1
X1                 X5                 X6                 12.456     1
X4                 X6                 X8                 12.077     1
X5                 X8                 X9                 11.995     1
X3                 X4                 X7                 11.949     1
X0                 X6                 X7                 11.606     1
X2                 X3                 X7                 11.326     1
X0                 X1                 X7                 11.275     1
X1                 X3                 X8                 11.167     1
X0                 X2                 X7                 10.879     1
X2                 X5                 X8                 10.684     1
X0                 X7                 X9                 10.607     1
X0                 X1                 X6                 10.548     1
X5                 X6                 X7                 10.535     1
X5                 X6                 X8                 10.495     1
X3                 X4                 X6                 10.476     1
X1                 X3                 X6                 10.386     1
X0                 X7                 X8                 10.353     1
X0                 X4                 X8                 10.036     1
X6                 X7                 X8                  9.987     1
X1                 X6                 X7                  9.984     1
X1                 X8                 X9                  9.794     1
X4                 X7                 X9                  9.7       1
X0                 X6                 X9                  9.377     1
X0                 X1                 X4                  9.314     1
X1                 X2                 X9                  9.251     1
X0                 X5                 X9                  9.123     1
X1                 X5                 X8                  8.999     1
X0                 X2                 X6                  8.972     1
X1                 X4                 X5                  8.888     1
X1                 X3                 X5                  8.787     1
X4                 X5                 X9                  8.767     1
X3                 X6                 X8                  8.726     1
X0                 X3                 X9                  8.674     1
X2                 X7                 X8                  8.333     1
X0                 X8                 X9                  8.142     1
X0                 X5                 X8                  8.134     1
X4                 X6                 X7                  8.105     1
X3                 X5                 X8                  7.941     1
X1                 X4                 X9                  7.909     1
X0                 X3                 X8                  7.621     1
X1                 X2                 X6                  7.541     1
X0                 X5                 X6                  7.329     1
X1                 X6                 X8                  7.170     1
X0                 X6                 X8                  6.988     1
X1                 X5                 X9                  6.883     1
X1                 X3                 X9                  6.707     1
X3                 X4                 X9                  6.674     1
X0                 X2                 X8                  6.519     1
X6                 X7                 X9                  6.381     1
X2                 X4                 X6                  6.365     1
X0                 X1                 X3                  6.238     1
X2                 X3                 X4                  5.944     1
X4                 X5                 X7                  5.720     1
X5                 X7                 X8                  5.460     1
X0                 X2                 X4                  5.446     1
X2                 X4                 X7                  5.386     1
X2                 X6                 X7                  5.341     1
X2                 X4                 X9                  5.040     1
X6                 X8                 X9                  5.007     1
X3                 X4                 X5                  4.521     1
X1                 X4                 X7                  4.439     1
X0                 X1                 X5                  4.404     1
X0                 X1                 X8                  4.257     1
X2                 X3                 X5                  4.121     1
X4                 X5                 X8                  3.970     1
X3                 X8                 X9                  3.820     1
X4                 X5                 X6                  3.788     1
X1                 X2                 X8                  3.767     1
X2                 X4                 X5                  3.695     1
X2                 X3                 X9                  3.538     1
X1                 X4                 X8                  3.491     1
X0                 X2                 X9                  3.273     1
X5                 X7                 X9                  3.193     1
X1                 X4                 X6                  3.119     1
X2                 X6                 X8                  2.905     1
X1                 X3                 X4                  2.838     1
X2                 X5                 X9                  2.833     1
X1                 X6                 X9                  2.785     1
X2                 X8                 X9                  2.778     1
X1                 X7                 X8                  2.756     1
X1                 X5                 X7                  2.744     1
X4                 X7                 X8                  0         1
X4                 X8                 X9                  0         1
X5                 X6                 X9                  0         1
X7                 X8                 X9                  0         1
X4                 X6                 X9                  0         1
X3                 X4                 X8                  0         1
X2                 X7                 X9                  0         1
X2                 X6                 X9                  0         1
X2                 X5                 X7                  0         1
X2                 X4                 X8                  0         1
X1                 X7                 X9                  0         1
X1                 X2                 X7                  0         1
X1                 X2                 X5                  0         1
X1                 X2                 X4                  0         1
X1                 X2                 X3                  0         1
X0                 X1                 X9                  0         1
X0                 X1                 X2                  0         1
