Input File: reformatted-data/train/hibachi-res_LogisticRegression_ExtraTreesClassifier-s26411_0.069.txt
Computation options used: -p 999 -r 1345503933 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X0                 X3                 X4                 22.510     0.232
X1                 X6                 X8                 17.774     0.758
X0                 X6                 X8                 13.059     0.998
X6                 X8                 X9                 12.750     1
X0                 X5                 X6                 12.614     1
X1                 X4                 X9                 11.708     1
X0                 X5                 X8                 11.089     1
X5                 X6                 X8                 11.056     1
X2                 X3                 X4                 10.892     1
X1                 X2                 X4                 10.669     1
X4                 X7                 X9                 10.375     1
X6                 X7                 X9                 10.370     1
X0                 X6                 X7                  9.951     1
X0                 X7                 X8                  9.654     1
X3                 X5                 X9                  9.643     1
X0                 X2                 X7                  9.509     1
X0                 X1                 X8                  9.453     1
X2                 X4                 X7                  9.427     1
X0                 X3                 X9                  9.057     1
X1                 X5                 X8                  9.010     1
X3                 X4                 X9                  9.000     1
X5                 X8                 X9                  8.5       1
X3                 X5                 X7                  8.380     1
X3                 X4                 X7                  8.368     1
X5                 X7                 X9                  7.885     1
X4                 X8                 X9                  7.800     1
X0                 X2                 X8                  7.796     1
X2                 X4                 X8                  7.607     1
X4                 X5                 X8                  7.594     1
X2                 X5                 X6                  7.529     1
X0                 X4                 X7                  7.500     1
X1                 X4                 X6                  7.422     1
X2                 X6                 X8                  7.410     1
X4                 X6                 X9                  7.395     1
X1                 X4                 X8                  7.384     1
X0                 X3                 X6                  7.264     1
X1                 X2                 X8                  7.245     1
X7                 X8                 X9                  7.218     1
X0                 X1                 X3                  7.162     1
X0                 X2                 X4                  6.956     1
X5                 X7                 X8                  6.896     1
X6                 X7                 X8                  6.790     1
X3                 X8                 X9                  6.760     1
X0                 X1                 X2                  6.724     1
X0                 X4                 X6                  6.550     1
X0                 X7                 X9                  6.522     1
X0                 X6                 X9                  6.477     1
X0                 X4                 X9                  6.386     1
X1                 X6                 X9                  6.329     1
X2                 X4                 X5                  6.220     1
X0                 X4                 X8                  6.207     1
X4                 X7                 X8                  6.195     1
X0                 X3                 X8                  6.125     1
X1                 X4                 X7                  5.989     1
X2                 X3                 X9                  5.920     1
X2                 X6                 X9                  5.920     1
X0                 X5                 X7                  5.886     1
X1                 X4                 X5                  5.845     1
X4                 X6                 X7                  5.741     1
X3                 X6                 X9                  5.597     1
X1                 X2                 X6                  5.522     1
X0                 X2                 X6                  5.315     1
X3                 X5                 X8                  5.134     1
X5                 X6                 X9                  5.116     1
X0                 X1                 X7                  4.931     1
X0                 X4                 X5                  4.887     1
X5                 X6                 X7                  4.732     1
X1                 X3                 X7                  4.681     1
X1                 X3                 X9                  4.681     1
X2                 X4                 X6                  4.637     1
X2                 X4                 X9                  4.544     1
X3                 X5                 X6                  4.244     1
X1                 X3                 X6                  4.230     1
X4                 X5                 X9                  4.192     1
X0                 X8                 X9                  4.012     1
X2                 X3                 X6                  3.900     1
X2                 X7                 X8                  3.894     1
X0                 X1                 X9                  3.839     1
X0                 X1                 X6                  3.811     1
X1                 X7                 X9                  3.688     1
X2                 X8                 X9                  3.679     1
X4                 X5                 X6                  3.622     1
X2                 X3                 X7                  3.519     1
X1                 X8                 X9                  3.478     1
X1                 X5                 X6                  3.405     1
X1                 X3                 X4                  3.371     1
X4                 X6                 X8                  3.351     1
X0                 X1                 X4                  3.339     1
X3                 X6                 X7                  3.173     1
X3                 X4                 X8                  2.988     1
X3                 X6                 X8                  2.911     1
X1                 X3                 X8                  2.885     1
X0                 X3                 X7                  2.804     1
X0                 X2                 X5                  2.783     1
X2                 X5                 X8                  2.781     1
X2                 X3                 X8                  2.709     1
X1                 X3                 X5                  0         1
X0                 X2                 X9                  0         1
X2                 X3                 X5                  0         1
X1                 X7                 X8                  0         1
X0                 X2                 X3                  0         1
X1                 X5                 X7                  0         1
X1                 X2                 X3                  0         1
X1                 X6                 X7                  0         1
X0                 X1                 X5                  0         1
X1                 X5                 X9                  0         1
X1                 X2                 X5                  0         1
X0                 X3                 X5                  0         1
X1                 X2                 X7                  0         1
X1                 X2                 X9                  0         1
X0                 X5                 X9                  0         1
X4                 X5                 X7                  0         1
X2                 X5                 X7                  0         1
X3                 X7                 X9                  0         1
X3                 X7                 X8                  0         1
X2                 X5                 X9                  0         1
X2                 X6                 X7                  0         1
X2                 X7                 X9                  0         1
X3                 X4                 X5                  0         1
X3                 X4                 X6                  0         1
