Input File: reformatted-data/train/hibachi-res_LogisticRegression_MLPClassifier-s54501_0.115.txt
Computation options used: -p 999 -r 1460430199 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X0                 X6                 X9                 34.398     0.011
X0                 X4                 X6                 33.943     0.013
X2                 X4                 X8                 21.656     0.519
X0                 X2                 X9                 18.336     0.894
X0                 X1                 X6                 18.135     0.91
X1                 X2                 X6                 17.961     0.924
X2                 X8                 X9                 16.951     0.968
X0                 X2                 X5                 14.985     0.997
X1                 X6                 X7                 14.878     0.997
X2                 X5                 X8                 14.627     0.999
X3                 X7                 X8                 14.599     0.999
X0                 X2                 X7                 14.417     0.999
X0                 X5                 X8                 14.290     0.999
X0                 X4                 X8                 13.706     0.999
X2                 X6                 X8                 13.483     0.999
X0                 X2                 X8                 13.099     1
X2                 X5                 X7                 13.034     1
X4                 X7                 X8                 12.618     1
X1                 X2                 X3                 12.479     1
X1                 X2                 X7                 12.442     1
X0                 X2                 X4                 12.422     1
X0                 X5                 X9                 12.369     1
X1                 X2                 X5                 12.292     1
X2                 X6                 X7                 12.238     1
X2                 X4                 X6                 12.148     1
X0                 X2                 X3                 11.699     1
X5                 X7                 X8                 11.613     1
X4                 X5                 X7                 11.355     1
X3                 X4                 X5                 11.110     1
X1                 X2                 X9                 11.045     1
X6                 X7                 X8                 10.712     1
X0                 X3                 X7                 10.667     1
X2                 X7                 X9                 10.602     1
X1                 X5                 X7                 10.585     1
X0                 X1                 X7                 10.407     1
X4                 X7                 X9                 10.317     1
X6                 X8                 X9                 10.308     1
X0                 X4                 X5                 10.132     1
X1                 X4                 X6                 10.121     1
X0                 X1                 X8                 10.051     1
X1                 X5                 X9                 10.013     1
X2                 X3                 X8                  9.619     1
X4                 X5                 X8                  9.369     1
X3                 X4                 X8                  9.326     1
X1                 X2                 X4                  9.240     1
X1                 X7                 X8                  9.170     1
X0                 X1                 X2                  9.055     1
X0                 X1                 X3                  9.019     1
X1                 X7                 X9                  8.868     1
X1                 X4                 X9                  8.505     1
X0                 X5                 X7                  8.463     1
X2                 X7                 X8                  8.453     1
X1                 X4                 X5                  8.197     1
X0                 X7                 X8                  8.166     1
X1                 X3                 X7                  8.027     1
X0                 X3                 X8                  7.991     1
X3                 X4                 X7                  7.987     1
X2                 X6                 X9                  7.744     1
X0                 X1                 X4                  7.708     1
X5                 X7                 X9                  7.622     1
X1                 X6                 X8                  7.603     1
X0                 X3                 X9                  7.562     1
X3                 X7                 X9                  7.429     1
X1                 X4                 X8                  7.369     1
X1                 X6                 X9                  7.266     1
X1                 X5                 X6                  7.242     1
X1                 X3                 X8                  7.186     1
X1                 X5                 X8                  7.173     1
X4                 X6                 X8                  7.051     1
X4                 X8                 X9                  6.985     1
X0                 X1                 X9                  6.926     1
X7                 X8                 X9                  6.883     1
X0                 X3                 X6                  6.858     1
X3                 X4                 X6                  6.826     1
X2                 X3                 X9                  6.703     1
X5                 X6                 X8                  6.588     1
X2                 X3                 X6                  6.361     1
X0                 X2                 X6                  6.304     1
X2                 X3                 X7                  6.181     1
X1                 X3                 X9                  6.101     1
X1                 X2                 X8                  5.825     1
X1                 X4                 X7                  5.749     1
X2                 X5                 X6                  5.630     1
X2                 X5                 X9                  5.502     1
X4                 X6                 X9                  5.389     1
X5                 X8                 X9                  5.079     1
X2                 X3                 X5                  5.006     1
X3                 X5                 X8                  4.760     1
X0                 X1                 X5                  4.518     1
X1                 X3                 X4                  4.365     1
X2                 X4                 X5                  4.081     1
X3                 X5                 X7                  4.021     1
X4                 X6                 X7                  3.968     1
X2                 X3                 X4                  3.884     1
X6                 X7                 X9                  3.861     1
X2                 X4                 X7                  3.724     1
X1                 X3                 X5                  3.683     1
X3                 X8                 X9                  3.676     1
X3                 X6                 X8                  3.654     1
X5                 X6                 X9                  3.438     1
X0                 X6                 X8                  3.435     1
X0                 X7                 X9                  3.374     1
X0                 X4                 X7                  3.357     1
X1                 X3                 X6                  3.214     1
X4                 X5                 X9                  3.117     1
X0                 X6                 X7                  3.057     1
X2                 X4                 X9                  2.995     1
X3                 X6                 X7                  2.994     1
X1                 X8                 X9                  2.912     1
X4                 X5                 X6                  2.898     1
X0                 X3                 X4                  2.886     1
X3                 X4                 X9                  2.878     1
X3                 X6                 X9                  2.813     1
X0                 X4                 X9                  2.736     1
X0                 X5                 X6                  0         1
X5                 X6                 X7                  0         1
X3                 X5                 X6                  0         1
X0                 X3                 X5                  0         1
X0                 X8                 X9                  0         1
X3                 X5                 X9                  0         1
