Input File: reformatted-data/train/hibachi-res_LogisticRegression_RandomForestClassifier-s46163_0.073.txt
Computation options used: -p 999 -r 1348999789 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X2                 X6                 X8                 20.616     0.399
X4                 X8                 X9                 18.879     0.603
X5                 X8                 X9                 17.463     0.779
X0                 X2                 X8                 17.269     0.8
X2                 X5                 X9                 15.878     0.924
X0                 X2                 X5                 15.152     0.955
X2                 X3                 X8                 15.040     0.962
X3                 X5                 X8                 14.961     0.962
X2                 X7                 X8                 13.619     0.996
X0                 X4                 X9                 13.530     0.996
X2                 X8                 X9                 13.076     0.996
X0                 X8                 X9                 12.668     0.999
X0                 X6                 X7                 12.622     0.999
X1                 X2                 X3                 12.589     0.999
X3                 X6                 X8                 12.580     0.999
X6                 X7                 X8                 12.481     0.999
X4                 X5                 X7                 12.383     0.999
X3                 X6                 X7                 12.342     0.999
X0                 X5                 X9                 12.243     0.999
X0                 X4                 X8                 12.033     0.999
X0                 X2                 X3                 11.980     0.999
X0                 X2                 X9                 11.950     0.999
X1                 X7                 X8                 11.621     1
X5                 X6                 X8                 11.478     1
X2                 X3                 X4                 11.264     1
X4                 X6                 X8                 11.153     1
X2                 X3                 X5                 11.134     1
X1                 X8                 X9                 11.069     1
X2                 X5                 X8                 11.050     1
X1                 X5                 X6                 10.911     1
X7                 X8                 X9                 10.888     1
X0                 X4                 X6                 10.785     1
X3                 X8                 X9                 10.743     1
X1                 X2                 X8                 10.127     1
X3                 X4                 X8                  9.862     1
X0                 X6                 X8                  9.833     1
X0                 X1                 X4                  9.823     1
X0                 X7                 X9                  9.539     1
X0                 X5                 X7                  9.137     1
X1                 X4                 X8                  9.090     1
X2                 X3                 X9                  8.838     1
X0                 X3                 X8                  8.647     1
X0                 X1                 X9                  8.476     1
X0                 X5                 X8                  8.413     1
X2                 X5                 X7                  7.925     1
X0                 X3                 X5                  7.751     1
X5                 X6                 X7                  7.719     1
X0                 X3                 X9                  7.618     1
X3                 X5                 X9                  7.459     1
X3                 X5                 X7                  7.402     1
X0                 X1                 X3                  7.246     1
X3                 X4                 X6                  7.192     1
X1                 X2                 X6                  6.680     1
X0                 X1                 X5                  6.646     1
X2                 X7                 X9                  6.488     1
X3                 X5                 X6                  6.452     1
X2                 X4                 X8                  6.434     1
X0                 X2                 X7                  6.405     1
X2                 X6                 X9                  6.340     1
X1                 X6                 X7                  6.199     1
X1                 X6                 X8                  6.196     1
X1                 X2                 X5                  6.115     1
X0                 X3                 X7                  6.018     1
X4                 X5                 X9                  5.963     1
X0                 X1                 X6                  5.805     1
X0                 X2                 X4                  5.789     1
X0                 X3                 X4                  5.672     1
X6                 X7                 X9                  5.573     1
X1                 X4                 X6                  5.269     1
X1                 X3                 X4                  4.871     1
X6                 X8                 X9                  4.850     1
X2                 X3                 X6                  4.798     1
X1                 X5                 X8                  4.624     1
X2                 X6                 X7                  4.550     1
X1                 X2                 X7                  4.484     1
X2                 X4                 X6                  4.346     1
X5                 X7                 X8                  4.316     1
X1                 X4                 X5                  4.237     1
X5                 X6                 X9                  4.206     1
X1                 X4                 X9                  4.167     1
X1                 X3                 X9                  4.121     1
X1                 X7                 X9                  4.121     1
X4                 X7                 X9                  4.055     1
X0                 X3                 X6                  4.022     1
X5                 X7                 X9                  3.969     1
X3                 X4                 X7                  3.955     1
X0                 X7                 X8                  3.881     1
X3                 X4                 X5                  3.799     1
X2                 X3                 X7                  3.751     1
X1                 X3                 X5                  3.643     1
X2                 X4                 X9                  3.629     1
X0                 X5                 X6                  3.465     1
X0                 X4                 X7                  3.450     1
X0                 X1                 X2                  3.298     1
X2                 X4                 X5                  3.282     1
X4                 X5                 X6                  3.255     1
X0                 X1                 X7                  3.249     1
X1                 X5                 X7                  3.174     1
X4                 X6                 X9                  3.135     1
X1                 X2                 X9                  3.101     1
X0                 X6                 X9                  3.058     1
X1                 X3                 X6                  2.804     1
X1                 X4                 X7                  2.709     1
X3                 X4                 X9                  0         1
X2                 X5                 X6                  0         1
X0                 X1                 X8                  0         1
X0                 X2                 X6                  0         1
X0                 X4                 X5                  0         1
X1                 X2                 X4                  0         1
X1                 X3                 X7                  0         1
X1                 X3                 X8                  0         1
X4                 X7                 X8                  0         1
X2                 X4                 X7                  0         1
X3                 X6                 X9                  0         1
X4                 X6                 X7                  0         1
X1                 X5                 X9                  0         1
X4                 X5                 X8                  0         1
X1                 X6                 X9                  0         1
X3                 X7                 X8                  0         1
X3                 X7                 X9                  0         1
