Input File: reformated-data/hibachi-res_LogisticRegression_XGBClassifier-s2502_0.084.txt
Computation options used: -p 999 -r 769718592 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X3                 X4                 X8                 26.905     0.118
X7                 X8                 X9                 26.177     0.15
X2                 X3                 X4                 21.400     0.548
X3                 X4                 X7                 19.391     0.808
X3                 X7                 X8                 19.129     0.833
X0                 X3                 X8                 17.482     0.948
X0                 X1                 X7                 17.261     0.955
X2                 X4                 X7                 15.706     0.992
X2                 X3                 X8                 14.714     0.998
X4                 X7                 X9                 14.608     0.998
X4                 X5                 X9                 14.412     0.999
X0                 X2                 X3                 13.664     1
X6                 X7                 X8                 13.616     1
X4                 X8                 X9                 13.146     1
X0                 X5                 X8                 12.352     1
X1                 X6                 X8                 12.265     1
X2                 X4                 X9                 12.125     1
X1                 X3                 X4                 12.111     1
X1                 X2                 X3                 12.042     1
X1                 X7                 X8                 11.715     1
X0                 X5                 X7                 11.686     1
X3                 X6                 X8                 11.631     1
X3                 X4                 X9                 11.483     1
X0                 X6                 X7                 11.478     1
X1                 X4                 X8                 11.127     1
X1                 X2                 X5                 11.018     1
X0                 X3                 X4                 11.010     1
X3                 X7                 X9                 10.978     1
X2                 X5                 X9                 10.621     1
X5                 X6                 X7                 10.560     1
X1                 X4                 X5                 10.541     1
X4                 X5                 X7                 10.526     1
X0                 X7                 X8                 10.480     1
X1                 X3                 X8                  9.849     1
X1                 X5                 X7                  9.800     1
X3                 X6                 X7                  9.737     1
X2                 X3                 X6                  9.577     1
X1                 X2                 X4                  9.546     1
X2                 X3                 X7                  9.526     1
X3                 X4                 X6                  9.499     1
X0                 X1                 X9                  9.246     1
X0                 X4                 X7                  9.037     1
X0                 X3                 X7                  8.959     1
X0                 X2                 X7                  8.925     1
X2                 X5                 X6                  8.754     1
X3                 X8                 X9                  8.546     1
X1                 X6                 X9                  8.389     1
X5                 X7                 X8                  8.043     1
X1                 X8                 X9                  7.921     1
X3                 X5                 X8                  7.783     1
X1                 X2                 X8                  7.636     1
X4                 X7                 X8                  7.255     1
X0                 X4                 X8                  7.182     1
X0                 X6                 X8                  7.141     1
X1                 X2                 X9                  7.087     1
X0                 X1                 X2                  7.047     1
X1                 X4                 X6                  7.043     1
X2                 X7                 X9                  6.962     1
X4                 X6                 X7                  6.961     1
X1                 X7                 X9                  6.911     1
X0                 X2                 X9                  6.872     1
X0                 X3                 X5                  6.843     1
X6                 X8                 X9                  6.797     1
X1                 X4                 X9                  6.653     1
X0                 X2                 X4                  6.605     1
X1                 X2                 X6                  6.455     1
X3                 X5                 X7                  6.422     1
X2                 X4                 X8                  6.312     1
X2                 X7                 X8                  6.24      1
X1                 X6                 X7                  6.209     1
X4                 X6                 X8                  6.183     1
X0                 X3                 X6                  5.931     1
X6                 X7                 X9                  5.757     1
X4                 X5                 X8                  5.715     1
X2                 X4                 X5                  5.630     1
X2                 X3                 X9                  5.588     1
X0                 X1                 X3                  5.503     1
X0                 X2                 X5                  5.488     1
X1                 X2                 X7                  5.441     1
X0                 X1                 X8                  5.191     1
X1                 X3                 X9                  5.026     1
X3                 X4                 X5                  4.948     1
X0                 X7                 X9                  4.912     1
X1                 X5                 X9                  4.837     1
X0                 X4                 X5                  4.674     1
X2                 X8                 X9                  4.311     1
X0                 X6                 X9                  4.263     1
X4                 X6                 X9                  4.255     1
X0                 X5                 X9                  4.199     1
X1                 X4                 X7                  4.130     1
X4                 X5                 X6                  3.816     1
X0                 X8                 X9                  3.701     1
X0                 X1                 X4                  3.686     1
X5                 X8                 X9                  3.555     1
X5                 X6                 X9                  3.535     1
X2                 X3                 X5                  3.299     1
X1                 X3                 X7                  3.153     1
X1                 X3                 X6                  3.108     1
X2                 X4                 X6                  3.040     1
X0                 X3                 X9                  3.038     1
X3                 X5                 X9                  3.033     1
X0                 X2                 X8                  3.002     1
X3                 X6                 X9                  2.943     1
X2                 X6                 X7                  2.809     1
X2                 X5                 X7                  2.761     1
X0                 X5                 X6                  0         1
X0                 X4                 X9                  0         1
X2                 X5                 X8                  0         1
X5                 X7                 X9                  0         1
X2                 X6                 X8                  0         1
X5                 X6                 X8                  0         1
X2                 X6                 X9                  0         1
X0                 X1                 X5                  0         1
X0                 X1                 X6                  0         1
X0                 X2                 X6                  0         1
X1                 X3                 X5                  0         1
X0                 X4                 X6                  0         1
X1                 X5                 X8                  0         1
X1                 X5                 X6                  0         1
X3                 X5                 X6                  0         1
