Input File: reformatted-data/train/hibachi-res_MLPClassifier_BernoulliNB-s16241_0.609.txt
Computation options used: -p 999 -r 1350209893 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X0                 X2                 X3                 275.216    0.001
X0                 X3                 X9                 210.016    0.001
X0                 X3                 X6                 200.942    0.001
X0                 X3                 X5                 194.905    0.001
X0                 X3                 X8                 190.628    0.001
X0                 X3                 X4                 179.028    0.001
X0                 X1                 X3                 176.638    0.001
X0                 X3                 X7                 153.758    0.001
X0                 X2                 X7                 121.89     0.001
X0                 X2                 X5                  63.747    0.001
X0                 X2                 X4                  59.701    0.001
X0                 X2                 X8                  58.982    0.001
X0                 X2                 X6                  57.595    0.001
X0                 X2                 X9                  57.229    0.001
X0                 X1                 X2                  54.854    0.001
X1                 X6                 X8                  18.335    0.685
X5                 X6                 X9                  15.362    0.954
X0                 X1                 X7                  14.697    0.973
X3                 X6                 X9                  13.407    0.994
X3                 X4                 X6                  13.287    0.994
X5                 X6                 X8                  13.250    0.995
X0                 X5                 X7                  11.978    1
X1                 X7                 X9                  11.955    1
X5                 X7                 X9                  11.903    1
X1                 X3                 X4                  10.724    1
X1                 X2                 X8                  10.279    1
X3                 X6                 X8                  10.222    1
X5                 X8                 X9                  10.029    1
X0                 X1                 X8                   9.638    1
X1                 X8                 X9                   9.510    1
X2                 X4                 X7                   9.454    1
X2                 X6                 X8                   9.423    1
X2                 X3                 X7                   8.720    1
X4                 X5                 X6                   8.716    1
X4                 X7                 X9                   8.671    1
X3                 X5                 X6                   8.568    1
X2                 X4                 X8                   8.308    1
X1                 X4                 X7                   8.218    1
X0                 X6                 X7                   7.929    1
X4                 X5                 X7                   7.757    1
X2                 X7                 X8                   7.631    1
X2                 X3                 X9                   7.623    1
X3                 X4                 X5                   7.566    1
X0                 X4                 X9                   7.463    1
X0                 X4                 X7                   7.297    1
X2                 X4                 X9                   7.294    1
X1                 X3                 X9                   7.083    1
X1                 X4                 X6                   6.893    1
X0                 X1                 X9                   6.772    1
X2                 X5                 X8                   6.696    1
X4                 X6                 X8                   6.665    1
X2                 X3                 X6                   6.562    1
X3                 X5                 X9                   6.398    1
X2                 X4                 X5                   6.329    1
X0                 X1                 X4                   6.023    1
X0                 X6                 X8                   5.752    1
X4                 X6                 X9                   5.642    1
X1                 X4                 X9                   5.608    1
X0                 X8                 X9                   5.589    1
X6                 X8                 X9                   5.519    1
X3                 X6                 X7                   5.331    1
X6                 X7                 X8                   5.014    1
X2                 X3                 X5                   4.988    1
X1                 X2                 X9                   4.874    1
X4                 X6                 X7                   4.744    1
X0                 X7                 X8                   4.612    1
X2                 X6                 X9                   4.595    1
X2                 X3                 X4                   4.553    1
X3                 X5                 X8                   4.515    1
X1                 X3                 X6                   4.344    1
X2                 X5                 X7                   4.210    1
X0                 X4                 X6                   4.209    1
X1                 X4                 X8                   4.066    1
X3                 X4                 X8                   3.980    1
X1                 X6                 X7                   3.916    1
X4                 X8                 X9                   3.901    1
X1                 X2                 X7                   3.818    1
X0                 X1                 X6                   3.786    1
X3                 X5                 X7                   3.522    1
X2                 X5                 X6                   3.486    1
X0                 X5                 X9                   3.473    1
X0                 X6                 X9                   3.396    1
X1                 X5                 X7                   3.392    1
X3                 X4                 X9                   3.391    1
X3                 X8                 X9                   3.386    1
X0                 X5                 X8                   3.315    1
X1                 X5                 X6                   3.267    1
X1                 X5                 X9                   3.244    1
X4                 X5                 X9                   3.238    1
X5                 X6                 X7                   3.229    1
X2                 X8                 X9                   3.225    1
X1                 X3                 X7                   3.196    1
X1                 X3                 X5                   3.178    1
X1                 X7                 X8                   3.163    1
X2                 X6                 X7                   3.132    1
X1                 X4                 X5                   3.053    1
X0                 X5                 X6                   3        1
X3                 X4                 X7                   2.973    1
X1                 X2                 X4                   2.907    1
X2                 X7                 X9                   2.893    1
X6                 X7                 X9                   2.873    1
X0                 X4                 X8                   2.857    1
X0                 X1                 X5                   2.856    1
X1                 X6                 X9                   2.720    1
X7                 X8                 X9                   0        1
X0                 X4                 X5                   0        1
X0                 X7                 X9                   0        1
X1                 X2                 X3                   0        1
X1                 X2                 X5                   0        1
X1                 X2                 X6                   0        1
X5                 X7                 X8                   0        1
X1                 X3                 X8                   0        1
X1                 X5                 X8                   0        1
X2                 X3                 X8                   0        1
X2                 X4                 X6                   0        1
X4                 X7                 X8                   0        1
X2                 X5                 X9                   0        1
X3                 X7                 X8                   0        1
X3                 X7                 X9                   0        1
X4                 X5                 X8                   0        1
