Input File: reformated-data/hibachi-res_MLPClassifier_GaussianNB-s26703_0.592.txt
Computation options used: -p 999 -r 773113606 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X0                 X4                 X7                 402.957    0.001
X0                 X7                 X8                 246.054    0.001
X0                 X4                 X8                 162.411    0.001
X0                 X3                 X7                 108.594    0.001
X0                 X1                 X7                 107.328    0.001
X0                 X2                 X7                 105.999    0.001
X0                 X6                 X7                  89.544    0.001
X0                 X5                 X7                  85.973    0.001
X0                 X7                 X9                  83.644    0.001
X0                 X6                 X8                  58.241    0.001
X0                 X3                 X8                  55.467    0.001
X0                 X2                 X8                  52.165    0.001
X0                 X1                 X8                  49.902    0.001
X0                 X8                 X9                  48.739    0.001
X0                 X5                 X8                  43.807    0.001
X4                 X5                 X7                  22.147    0.413
X0                 X4                 X9                  17.495    0.918
X3                 X4                 X6                  16.927    0.955
X6                 X7                 X9                  15.942    0.985
X0                 X4                 X5                  14.749    0.998
X7                 X8                 X9                  14.245    1
X5                 X7                 X8                  13.507    1
X3                 X4                 X5                  13.077    1
X1                 X6                 X7                  12.978    1
X0                 X2                 X4                  12.252    1
X3                 X5                 X8                  12.144    1
X2                 X6                 X9                  11.894    1
X5                 X7                 X9                  11.307    1
X4                 X7                 X8                  10.662    1
X3                 X6                 X8                  10.586    1
X1                 X6                 X8                  10.201    1
X2                 X8                 X9                   9.533    1
X6                 X7                 X8                   9.527    1
X3                 X7                 X8                   9.436    1
X3                 X4                 X7                   9.406    1
X2                 X7                 X9                   9.393    1
X2                 X4                 X8                   9.310    1
X3                 X6                 X7                   9.283    1
X2                 X3                 X9                   9.198    1
X1                 X2                 X8                   9.123    1
X1                 X5                 X7                   8.832    1
X3                 X5                 X6                   8.725    1
X3                 X7                 X9                   8.678    1
X0                 X1                 X4                   8.660    1
X1                 X3                 X7                   8.208    1
X4                 X7                 X9                   8.162    1
X3                 X4                 X8                   8.082    1
X4                 X6                 X9                   8.055    1
X2                 X3                 X7                   7.985    1
X0                 X4                 X6                   7.958    1
X3                 X6                 X9                   7.681    1
X1                 X4                 X5                   7.640    1
X2                 X4                 X9                   7.625    1
X5                 X6                 X9                   7.618    1
X1                 X6                 X9                   7.403    1
X4                 X8                 X9                   7.395    1
X0                 X2                 X9                   7.349    1
X2                 X3                 X5                   7.211    1
X3                 X5                 X7                   7.208    1
X3                 X8                 X9                   7.194    1
X0                 X3                 X4                   7.169    1
X1                 X7                 X8                   7.123    1
X3                 X4                 X9                   6.857    1
X2                 X3                 X4                   6.716    1
X6                 X8                 X9                   6.634    1
X0                 X2                 X6                   6.614    1
X2                 X5                 X9                   6.544    1
X4                 X5                 X6                   6.508    1
X1                 X8                 X9                   6.497    1
X4                 X5                 X9                   6.453    1
X1                 X3                 X4                   6.397    1
X0                 X6                 X9                   6.337    1
X1                 X7                 X9                   6.320    1
X1                 X4                 X9                   6.241    1
X1                 X4                 X8                   5.920    1
X1                 X3                 X6                   5.307    1
X0                 X2                 X5                   5.246    1
X1                 X3                 X8                   4.972    1
X2                 X7                 X8                   4.913    1
X5                 X6                 X8                   4.624    1
X0                 X2                 X3                   4.511    1
X5                 X6                 X7                   4.495    1
X2                 X4                 X6                   4.414    1
X2                 X3                 X8                   4.388    1
X4                 X5                 X8                   4.369    1
X0                 X5                 X9                   4.086    1
X2                 X3                 X6                   3.938    1
X1                 X2                 X9                   3.934    1
X0                 X5                 X6                   3.877    1
X0                 X1                 X3                   3.736    1
X1                 X3                 X9                   3.677    1
X2                 X6                 X8                   3.674    1
X0                 X1                 X5                   3.657    1
X1                 X5                 X9                   3.622    1
X1                 X4                 X6                   3.607    1
X1                 X3                 X5                   3.538    1
X3                 X5                 X9                   3.535    1
X1                 X5                 X8                   3.454    1
X1                 X2                 X6                   3.405    1
X2                 X5                 X7                   3.361    1
X0                 X1                 X2                   3.268    1
X5                 X8                 X9                   3.250    1
X2                 X6                 X7                   3.246    1
X4                 X6                 X7                   3.219    1
X1                 X4                 X7                   3.044    1
X0                 X3                 X5                   3.021    1
X2                 X5                 X6                   2.973    1
X2                 X4                 X5                   2.957    1
X1                 X2                 X5                   2.711    1
X4                 X6                 X8                   0        1
X0                 X3                 X6                   0        1
X0                 X3                 X9                   0        1
X1                 X2                 X3                   0        1
X1                 X2                 X4                   0        1
X0                 X1                 X9                   0        1
X0                 X1                 X6                   0        1
X1                 X2                 X7                   0        1
X2                 X5                 X8                   0        1
X2                 X4                 X7                   0        1
X1                 X5                 X6                   0        1
