Input File: reformatted-data/train/hibachi-res_MLPClassifier_GaussianNB-s76063_0.595.txt
Computation options used: -p 999 -r 1352478838 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X4                 X6                 X7                 496.27     0.001
X0                 X6                 X7                 191.88     0.001
X1                 X6                 X7                 191.066    0.001
X0                 X4                 X7                 182.077    0.001
X5                 X6                 X7                 178.924    0.001
X3                 X4                 X7                 176.412    0.001
X6                 X7                 X9                 171.393    0.001
X2                 X6                 X7                 169.605    0.001
X6                 X7                 X8                 169.547    0.001
X2                 X4                 X7                 168.296    0.001
X4                 X7                 X8                 167.53     0.001
X4                 X7                 X9                 163.219    0.001
X4                 X5                 X7                 161.679    0.001
X1                 X4                 X7                 156.326    0.001
X3                 X6                 X7                 154.314    0.001
X0                 X3                 X8                  20.213    0.415
X0                 X3                 X4                  18.788    0.556
X0                 X3                 X6                  18.582    0.585
X2                 X4                 X8                  16.023    0.873
X1                 X6                 X8                  14.618    0.944
X1                 X6                 X9                  14.136    0.968
X4                 X6                 X8                  13.721    0.977
X0                 X3                 X9                  13.451    0.983
X3                 X6                 X9                  12.809    0.991
X2                 X3                 X4                  12.198    0.999
X1                 X2                 X6                  12.160    0.999
X1                 X5                 X6                  11.067    0.999
X0                 X1                 X3                  10.647    1
X1                 X4                 X6                  10.552    1
X0                 X5                 X7                  10.386    1
X3                 X4                 X5                  10.350    1
X0                 X1                 X6                  10.237    1
X1                 X3                 X6                   9.767    1
X0                 X2                 X3                   9.382    1
X3                 X4                 X6                   9.208    1
X0                 X4                 X5                   8.847    1
X3                 X4                 X8                   8.721    1
X2                 X7                 X8                   8.659    1
X4                 X6                 X9                   8.465    1
X0                 X3                 X5                   8.300    1
X3                 X5                 X6                   8.216    1
X2                 X6                 X8                   8.210    1
X1                 X5                 X8                   7.948    1
X1                 X4                 X8                   7.885    1
X0                 X1                 X7                   7.667    1
X4                 X5                 X6                   7.662    1
X2                 X6                 X9                   7.364    1
X1                 X7                 X9                   7.187    1
X5                 X6                 X8                   7.166    1
X0                 X4                 X9                   7.165    1
X2                 X3                 X8                   7.120    1
X2                 X7                 X9                   7.104    1
X4                 X5                 X8                   7.042    1
X0                 X3                 X7                   6.985    1
X1                 X4                 X5                   6.852    1
X5                 X7                 X8                   6.507    1
X1                 X2                 X7                   6.357    1
X4                 X5                 X9                   6.221    1
X1                 X2                 X8                   6.059    1
X5                 X8                 X9                   5.935    1
X5                 X6                 X9                   5.701    1
X3                 X7                 X9                   5.674    1
X2                 X3                 X9                   5.328    1
X0                 X2                 X4                   5.153    1
X2                 X8                 X9                   4.861    1
X0                 X2                 X9                   4.828    1
X1                 X2                 X5                   4.787    1
X2                 X4                 X9                   4.780    1
X0                 X6                 X8                   4.766    1
X2                 X4                 X6                   4.619    1
X2                 X3                 X6                   4.596    1
X0                 X4                 X8                   4.270    1
X0                 X2                 X8                   4.208    1
X2                 X5                 X6                   4.049    1
X0                 X1                 X9                   4.027    1
X0                 X4                 X6                   3.960    1
X3                 X7                 X8                   3.917    1
X0                 X2                 X6                   3.854    1
X4                 X8                 X9                   3.828    1
X0                 X8                 X9                   3.810    1
X3                 X5                 X7                   3.697    1
X0                 X5                 X8                   3.665    1
X1                 X2                 X3                   3.601    1
X0                 X2                 X5                   3.535    1
X0                 X7                 X8                   3.515    1
X3                 X4                 X9                   3.427    1
X3                 X5                 X9                   3.426    1
X0                 X1                 X2                   3.181    1
X0                 X1                 X8                   3.048    1
X1                 X5                 X9                   3.023    1
X3                 X8                 X9                   2.953    1
X3                 X5                 X8                   2.851    1
X0                 X5                 X6                   2.818    1
X0                 X1                 X4                   2.800    1
X1                 X7                 X8                   2.722    1
X1                 X2                 X9                   0        1
X1                 X2                 X4                   0        1
X0                 X7                 X9                   0        1
X0                 X6                 X9                   0        1
X0                 X5                 X9                   0        1
X0                 X2                 X7                   0        1
X5                 X7                 X9                   0        1
X0                 X1                 X5                   0        1
X6                 X8                 X9                   0        1
X7                 X8                 X9                   0        1
X1                 X3                 X4                   0        1
X1                 X3                 X5                   0        1
X1                 X3                 X7                   0        1
X1                 X3                 X8                   0        1
X1                 X3                 X9                   0        1
X1                 X4                 X9                   0        1
X1                 X5                 X7                   0        1
X3                 X6                 X8                   0        1
X1                 X8                 X9                   0        1
X2                 X3                 X5                   0        1
X2                 X3                 X7                   0        1
X2                 X4                 X5                   0        1
X2                 X5                 X7                   0        1
X2                 X5                 X8                   0        1
X2                 X5                 X9                   0        1
