Input File: reformated-data/hibachi-res_MLPClassifier_GradientBoostingClassifier-s40781_0.503.txt
Computation options used: -p 999 -r 774071605 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X2                 X6                 X8                 254.076    0.001
X2                 X8                 X9                  17.959    0.921
X2                 X3                 X6                  16.826    0.967
X0                 X3                 X8                  16.022    0.989
X4                 X5                 X9                  15.639    0.993
X3                 X8                 X9                  14.196    0.999
X2                 X5                 X9                  13.710    1
X3                 X4                 X6                  13.708    1
X2                 X5                 X7                  13.706    1
X1                 X4                 X6                  13.551    1
X1                 X2                 X6                  13.317    1
X3                 X5                 X9                  13.062    1
X1                 X2                 X5                  12.961    1
X0                 X3                 X6                  12.522    1
X2                 X6                 X7                  12.366    1
X2                 X3                 X9                  12.203    1
X3                 X4                 X9                  12.139    1
X3                 X5                 X8                  12.132    1
X1                 X6                 X8                  11.858    1
X1                 X4                 X8                  11.671    1
X0                 X2                 X3                  11.628    1
X2                 X5                 X8                  11.539    1
X4                 X5                 X7                  11.427    1
X1                 X2                 X4                  11.228    1
X2                 X3                 X5                  11.224    1
X2                 X5                 X6                  10.873    1
X5                 X6                 X8                  10.786    1
X3                 X6                 X8                  10.525    1
X4                 X8                 X9                  10.496    1
X0                 X2                 X5                  10.432    1
X1                 X3                 X6                  10.367    1
X2                 X7                 X9                  10.342    1
X0                 X5                 X7                  10.245    1
X0                 X5                 X8                  10.222    1
X0                 X2                 X7                   9.953    1
X0                 X4                 X8                   9.936    1
X0                 X1                 X6                   9.692    1
X0                 X4                 X6                   9.521    1
X1                 X4                 X9                   9.412    1
X2                 X6                 X9                   9.392    1
X1                 X7                 X8                   9.381    1
X1                 X2                 X3                   9.001    1
X0                 X3                 X7                   8.923    1
X1                 X3                 X8                   8.553    1
X4                 X6                 X9                   8.532    1
X0                 X6                 X7                   8.464    1
X0                 X3                 X5                   8.447    1
X1                 X6                 X9                   8.377    1
X0                 X2                 X8                   8.273    1
X1                 X6                 X7                   8.256    1
X6                 X7                 X9                   8.216    1
X0                 X3                 X4                   8.197    1
X3                 X7                 X8                   8.189    1
X4                 X7                 X9                   8.09     1
X0                 X2                 X6                   7.936    1
X3                 X4                 X8                   7.809    1
X2                 X4                 X5                   7.604    1
X0                 X4                 X9                   7.595    1
X0                 X6                 X8                   7.580    1
X2                 X4                 X7                   7.529    1
X0                 X5                 X9                   7.359    1
X3                 X6                 X9                   7.260    1
X1                 X2                 X7                   7.137    1
X3                 X6                 X7                   7.054    1
X3                 X5                 X6                   6.983    1
X6                 X7                 X8                   6.832    1
X5                 X8                 X9                   6.802    1
X0                 X1                 X7                   6.801    1
X0                 X4                 X7                   6.782    1
X0                 X3                 X9                   6.765    1
X4                 X5                 X8                   6.760    1
X4                 X6                 X8                   6.695    1
X1                 X2                 X8                   6.528    1
X0                 X7                 X9                   6.476    1
X1                 X5                 X7                   6.241    1
X0                 X1                 X2                   6.143    1
X0                 X1                 X8                   6.029    1
X2                 X7                 X8                   5.888    1
X2                 X3                 X8                   5.205    1
X3                 X4                 X5                   5.082    1
X5                 X7                 X8                   4.966    1
X1                 X5                 X6                   4.949    1
X5                 X6                 X7                   4.863    1
X1                 X5                 X8                   4.837    1
X0                 X4                 X5                   4.706    1
X5                 X6                 X9                   4.704    1
X0                 X2                 X9                   4.605    1
X1                 X2                 X9                   4.594    1
X1                 X4                 X7                   4.221    1
X0                 X7                 X8                   4.169    1
X4                 X7                 X8                   3.859    1
X2                 X4                 X8                   3.766    1
X6                 X8                 X9                   3.721    1
X0                 X1                 X5                   3.667    1
X1                 X3                 X5                   3.563    1
X3                 X7                 X9                   3.432    1
X0                 X1                 X3                   3.419    1
X2                 X4                 X9                   3.407    1
X4                 X5                 X6                   3.371    1
X0                 X2                 X4                   3.270    1
X5                 X7                 X9                   3.196    1
X3                 X5                 X7                   3.027    1
X0                 X8                 X9                   2.985    1
X7                 X8                 X9                   2.970    1
X0                 X1                 X4                   2.964    1
X2                 X4                 X6                   2.911    1
X1                 X3                 X4                   2.882    1
X2                 X3                 X7                   2.858    1
X0                 X6                 X9                   2.848    1
X2                 X3                 X4                   0        1
X1                 X8                 X9                   0        1
X1                 X7                 X9                   0        1
X1                 X5                 X9                   0        1
X3                 X4                 X7                   0        1
X1                 X4                 X5                   0        1
X1                 X3                 X9                   0        1
X0                 X1                 X9                   0        1
X1                 X3                 X7                   0        1
X4                 X6                 X7                   0        1
X0                 X5                 X6                   0        1
