Input File: reformatted-data/train/hibachi-res_MLPClassifier_LogisticRegression-s61764_0.638.txt
Computation options used: -p 999 -r 1354613327 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X0                 X3                 X9                 228.022    0.001
X0                 X3                 X7                 202.951    0.001
X0                 X3                 X4                 202.141    0.001
X0                 X3                 X8                 198.092    0.001
X0                 X2                 X3                 161.764    0.001
X0                 X1                 X3                 160.951    0.001
X0                 X3                 X6                 155.698    0.001
X0                 X3                 X5                 155.117    0.001
X1                 X5                 X9                  22.347    0.209
X2                 X5                 X6                  22.14     0.223
X1                 X6                 X7                  21.499    0.279
X1                 X5                 X8                  19.615    0.499
X1                 X3                 X6                  16.666    0.832
X5                 X8                 X9                  16.346    0.859
X1                 X2                 X3                  16.226    0.873
X1                 X2                 X6                  15.788    0.913
X1                 X2                 X5                  15.139    0.948
X1                 X2                 X9                  15.002    0.954
X1                 X5                 X7                  14.888    0.956
X1                 X6                 X8                  13.387    0.992
X2                 X3                 X6                  12.208    0.997
X2                 X3                 X5                  12.173    0.997
X1                 X4                 X5                  11.909    0.999
X1                 X2                 X8                  11.860    0.999
X3                 X8                 X9                  11.798    0.999
X0                 X2                 X5                  11.784    0.999
X2                 X5                 X9                  11.721    0.999
X2                 X6                 X8                  11.579    0.999
X3                 X5                 X8                  11.454    0.999
X2                 X7                 X9                  11.297    0.999
X2                 X5                 X8                  11.219    1
X2                 X3                 X8                  10.8      1
X0                 X2                 X8                  10.210    1
X1                 X4                 X6                  10.178    1
X0                 X4                 X6                   9.931    1
X1                 X2                 X7                   9.905    1
X5                 X6                 X9                   9.836    1
X0                 X1                 X7                   9.778    1
X1                 X6                 X9                   9.529    1
X4                 X6                 X8                   9.420    1
X1                 X5                 X6                   8.958    1
X4                 X5                 X8                   8.866    1
X0                 X5                 X6                   8.694    1
X1                 X3                 X8                   8.656    1
X3                 X6                 X7                   8.584    1
X5                 X7                 X9                   8.241    1
X2                 X3                 X7                   8.097    1
X0                 X5                 X8                   8.092    1
X1                 X3                 X9                   8.009    1
X5                 X6                 X7                   7.739    1
X0                 X7                 X8                   7.687    1
X0                 X5                 X9                   7.679    1
X1                 X2                 X4                   7.580    1
X2                 X6                 X9                   7.548    1
X3                 X4                 X7                   7.328    1
X3                 X4                 X6                   7.274    1
X1                 X3                 X5                   7.244    1
X5                 X6                 X8                   7.206    1
X2                 X3                 X9                   7.086    1
X0                 X1                 X2                   6.874    1
X2                 X6                 X7                   6.867    1
X3                 X7                 X9                   6.719    1
X1                 X8                 X9                   6.680    1
X1                 X4                 X7                   6.470    1
X0                 X6                 X7                   6.282    1
X0                 X7                 X9                   6.119    1
X2                 X5                 X7                   6.045    1
X3                 X6                 X8                   6.045    1
X6                 X8                 X9                   6.001    1
X4                 X6                 X9                   5.998    1
X2                 X4                 X5                   5.929    1
X3                 X4                 X8                   5.827    1
X1                 X7                 X8                   5.738    1
X3                 X5                 X9                   5.705    1
X5                 X7                 X8                   5.397    1
X3                 X7                 X8                   5.273    1
X4                 X5                 X7                   4.910    1
X0                 X5                 X7                   4.902    1
X3                 X5                 X6                   4.870    1
X0                 X4                 X7                   4.778    1
X1                 X7                 X9                   4.631    1
X2                 X8                 X9                   4.602    1
X2                 X4                 X8                   4.596    1
X0                 X2                 X4                   4.347    1
X4                 X7                 X9                   4.270    1
X1                 X3                 X4                   4.228    1
X2                 X3                 X4                   4.145    1
X0                 X1                 X6                   4.095    1
X6                 X7                 X9                   4.034    1
X0                 X2                 X9                   4.019    1
X3                 X6                 X9                   3.889    1
X7                 X8                 X9                   3.867    1
X0                 X4                 X9                   3.609    1
X0                 X2                 X6                   3.575    1
X0                 X1                 X5                   3.336    1
X0                 X8                 X9                   3.270    1
X0                 X4                 X8                   3.198    1
X0                 X1                 X9                   3.197    1
X3                 X4                 X9                   3.183    1
X2                 X4                 X6                   3.182    1
X1                 X4                 X8                   3.137    1
X0                 X6                 X9                   3.095    1
X6                 X7                 X8                   3.041    1
X4                 X5                 X9                   2.993    1
X4                 X7                 X8                   2.975    1
X2                 X4                 X9                   2.939    1
X0                 X6                 X8                   2.881    1
X1                 X4                 X9                   0        1
X1                 X3                 X7                   0        1
X0                 X1                 X4                   0        1
X2                 X4                 X7                   0        1
X0                 X1                 X8                   0        1
X4                 X8                 X9                   0        1
X2                 X7                 X8                   0        1
X3                 X4                 X5                   0        1
X4                 X6                 X7                   0        1
X0                 X4                 X5                   0        1
X4                 X5                 X6                   0        1
X3                 X5                 X7                   0        1
X0                 X2                 X7                   0        1
