Input File: reformated-data/hibachi-res_RandomForestClassifier_BernoulliNB-s5159_0.580.txt
Computation options used: -p 999 -r 778559074 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X4                 X8                 X9                 972.549    0.001
X4                 X5                 X8                 393.068    0.001
X4                 X6                 X8                 392.715    0.001
X2                 X4                 X8                 392.283    0.001
X1                 X4                 X8                 392.195    0.001
X0                 X4                 X8                 392.074    0.001
X3                 X4                 X8                 392.07     0.001
X4                 X7                 X8                 392.033    0.001
X3                 X8                 X9                 305.464    0.001
X7                 X8                 X9                 304.809    0.001
X2                 X8                 X9                 304.787    0.001
X0                 X8                 X9                 304.157    0.001
X1                 X8                 X9                 303.977    0.001
X5                 X8                 X9                 303.488    0.001
X6                 X8                 X9                 302.723    0.001
X1                 X3                 X8                  21.198    0.531
X2                 X6                 X8                  20.388    0.615
X1                 X5                 X6                  17.852    0.894
X3                 X6                 X8                  17.139    0.942
X2                 X5                 X8                  16.747    0.95
X1                 X5                 X8                  16.576    0.954
X1                 X2                 X3                  16.376    0.961
X4                 X5                 X7                  15.359    0.988
X0                 X1                 X3                  15.212    0.991
X0                 X1                 X5                  15.040    0.994
X1                 X3                 X6                  14.892    0.996
X2                 X3                 X8                  13.141    1
X0                 X2                 X4                  13.087    1
X1                 X4                 X7                  12.947    1
X1                 X2                 X8                  12.283    1
X5                 X6                 X8                  11.922    1
X3                 X4                 X7                  11.594    1
X3                 X5                 X7                  11.462    1
X2                 X5                 X6                  11.350    1
X2                 X3                 X5                  11.23     1
X0                 X3                 X6                  10.995    1
X1                 X3                 X5                  10.891    1
X3                 X6                 X7                  10.843    1
X1                 X2                 X9                  10.799    1
X4                 X5                 X6                  10.727    1
X0                 X1                 X9                  10.577    1
X0                 X4                 X5                  10.521    1
X0                 X1                 X6                  10.482    1
X2                 X7                 X9                  10.404    1
X1                 X6                 X7                  10.396    1
X0                 X1                 X7                  10.347    1
X2                 X4                 X7                  10.046    1
X2                 X3                 X6                   9.439    1
X1                 X4                 X6                   9.199    1
X0                 X3                 X4                   8.925    1
X3                 X7                 X9                   8.737    1
X1                 X6                 X8                   8.715    1
X3                 X4                 X6                   8.624    1
X0                 X6                 X8                   8.388    1
X2                 X4                 X6                   8.247    1
X2                 X5                 X7                   7.957    1
X4                 X7                 X9                   7.527    1
X3                 X5                 X6                   7.377    1
X0                 X4                 X7                   7.338    1
X1                 X5                 X7                   7.199    1
X4                 X6                 X7                   6.991    1
X1                 X4                 X5                   6.975    1
X3                 X6                 X9                   6.896    1
X5                 X7                 X9                   6.851    1
X3                 X7                 X8                   6.792    1
X0                 X6                 X9                   6.425    1
X1                 X2                 X6                   6.378    1
X0                 X1                 X8                   6.289    1
X3                 X4                 X9                   6.156    1
X6                 X7                 X8                   6.123    1
X0                 X1                 X4                   6.052    1
X1                 X3                 X7                   6.021    1
X0                 X3                 X5                   5.923    1
X2                 X4                 X5                   5.862    1
X1                 X2                 X5                   5.800    1
X1                 X3                 X9                   5.763    1
X0                 X4                 X9                   5.721    1
X3                 X4                 X5                   5.687    1
X0                 X5                 X7                   5.470    1
X0                 X4                 X6                   5.409    1
X3                 X5                 X8                   5.184    1
X2                 X6                 X7                   5.174    1
X1                 X3                 X4                   5.102    1
X5                 X6                 X7                   4.464    1
X1                 X4                 X9                   4.338    1
X0                 X5                 X8                   4.050    1
X1                 X5                 X9                   3.851    1
X1                 X7                 X9                   3.838    1
X0                 X2                 X6                   3.585    1
X2                 X6                 X9                   3.453    1
X2                 X3                 X7                   3.452    1
X0                 X5                 X9                   3.419    1
X2                 X3                 X4                   3.380    1
X1                 X6                 X9                   3.363    1
X3                 X5                 X9                   3.346    1
X0                 X5                 X6                   3.300    1
X0                 X3                 X9                   3.290    1
X0                 X2                 X9                   3.182    1
X0                 X7                 X9                   3.116    1
X0                 X2                 X7                   3.069    1
X0                 X3                 X7                   3.060    1
X4                 X6                 X9                   3.045    1
X0                 X1                 X2                   3.030    1
X2                 X5                 X9                   2.808    1
X0                 X2                 X8                   2.718    1
X0                 X7                 X8                   0        1
X0                 X6                 X7                   0        1
X1                 X2                 X7                   0        1
X1                 X7                 X8                   0        1
X2                 X3                 X9                   0        1
X0                 X3                 X8                   0        1
X2                 X4                 X9                   0        1
X4                 X5                 X9                   0        1
X5                 X6                 X9                   0        1
X5                 X7                 X8                   0        1
X2                 X7                 X8                   0        1
X0                 X2                 X5                   0        1
X6                 X7                 X9                   0        1
X0                 X2                 X3                   0        1
X1                 X2                 X4                   0        1
