Input File: reformatted-data/train/hibachi-res_RandomForestClassifier_GaussianNB-s36842_0.587.txt
Computation options used: -p 999 -r 1471018609 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X3                 X4                 X8                 497.388    0.001
X3                 X4                 X7                 491.249    0.001
X3                 X4                 X9                 301.451    0.001
X1                 X3                 X4                 277.689    0.001
X3                 X4                 X5                 270.564    0.001
X2                 X3                 X4                 265.304    0.001
X0                 X3                 X4                 263.176    0.001
X3                 X4                 X6                 249.595    0.001
X3                 X7                 X8                 183.106    0.001
X3                 X8                 X9                  91.793    0.001
X1                 X3                 X7                  91.253    0.001
X1                 X3                 X8                  90.593    0.001
X2                 X3                 X8                  89.543    0.001
X0                 X3                 X8                  84.826    0.001
X3                 X6                 X7                  83.763    0.001
X0                 X3                 X7                  83.414    0.001
X3                 X6                 X8                  82.111    0.001
X2                 X3                 X7                  79.980    0.001
X3                 X5                 X8                  73.990    0.001
X3                 X5                 X7                  69.992    0.001
X3                 X7                 X9                  66.289    0.001
X7                 X8                 X9                  21.378    0.47
X2                 X8                 X9                  20.752    0.541
X2                 X3                 X9                  18.626    0.792
X1                 X4                 X7                  17.040    0.934
X1                 X3                 X9                  15.165    0.986
X1                 X2                 X9                  12.981    1
X5                 X6                 X9                  12.741    1
X2                 X3                 X5                  12.729    1
X3                 X5                 X9                  12.218    1
X2                 X6                 X9                  11.626    1
X1                 X2                 X3                  11.149    1
X1                 X5                 X7                  10.843    1
X3                 X6                 X9                  10.653    1
X2                 X5                 X8                  10.287    1
X2                 X3                 X6                  10.158    1
X1                 X4                 X9                   9.908    1
X0                 X2                 X8                   9.869    1
X2                 X7                 X9                   9.773    1
X1                 X3                 X5                   9.740    1
X6                 X7                 X9                   9.706    1
X4                 X7                 X9                   9.571    1
X0                 X8                 X9                   9.562    1
X0                 X1                 X9                   9.465    1
X5                 X6                 X7                   9.194    1
X0                 X3                 X9                   9.090    1
X0                 X2                 X9                   8.978    1
X5                 X7                 X8                   8.464    1
X0                 X1                 X7                   8.152    1
X1                 X5                 X9                   8.121    1
X1                 X4                 X6                   8.105    1
X0                 X6                 X9                   8.072    1
X5                 X6                 X8                   8.072    1
X0                 X3                 X5                   8.059    1
X1                 X4                 X5                   8.053    1
X2                 X7                 X8                   7.930    1
X5                 X8                 X9                   7.709    1
X1                 X2                 X4                   7.655    1
X0                 X7                 X8                   7.654    1
X2                 X6                 X7                   7.511    1
X0                 X4                 X9                   7.387    1
X0                 X2                 X7                   7.385    1
X2                 X5                 X7                   7.069    1
X0                 X1                 X4                   7.04     1
X4                 X6                 X7                   7.031    1
X0                 X3                 X6                   6.814    1
X0                 X1                 X5                   6.749    1
X1                 X2                 X5                   6.522    1
X2                 X4                 X9                   6.492    1
X0                 X4                 X6                   6.400    1
X0                 X2                 X3                   6.304    1
X1                 X4                 X8                   6.073    1
X0                 X2                 X5                   5.877    1
X5                 X7                 X9                   5.807    1
X0                 X5                 X8                   5.565    1
X3                 X5                 X6                   5.462    1
X4                 X7                 X8                   5.381    1
X1                 X7                 X9                   5.350    1
X1                 X5                 X8                   5.287    1
X0                 X4                 X7                   5.201    1
X2                 X4                 X7                   5.131    1
X0                 X5                 X7                   4.854    1
X2                 X6                 X8                   4.395    1
X1                 X8                 X9                   4.318    1
X1                 X2                 X7                   4.310    1
X4                 X5                 X7                   4.186    1
X0                 X4                 X5                   3.977    1
X4                 X5                 X8                   3.907    1
X0                 X2                 X6                   3.905    1
X1                 X2                 X8                   3.883    1
X0                 X1                 X3                   3.845    1
X2                 X4                 X8                   3.784    1
X0                 X6                 X7                   3.656    1
X2                 X5                 X6                   3.631    1
X1                 X3                 X6                   3.610    1
X0                 X7                 X9                   3.333    1
X0                 X1                 X8                   3.259    1
X1                 X6                 X8                   3.208    1
X4                 X6                 X8                   3.021    1
X2                 X5                 X9                   2.899    1
X0                 X1                 X2                   2.890    1
X1                 X7                 X8                   2.871    1
X1                 X5                 X6                   2.816    1
X6                 X7                 X8                   2.725    1
X6                 X8                 X9                   0        1
X0                 X1                 X6                   0        1
X0                 X2                 X4                   0        1
X0                 X4                 X8                   0        1
X0                 X5                 X6                   0        1
X0                 X5                 X9                   0        1
X0                 X6                 X8                   0        1
X1                 X2                 X6                   0        1
X4                 X8                 X9                   0        1
X1                 X6                 X7                   0        1
X4                 X6                 X9                   0        1
X1                 X6                 X9                   0        1
X4                 X5                 X9                   0        1
X2                 X4                 X5                   0        1
X2                 X4                 X6                   0        1
X4                 X5                 X6                   0        1
