Input File: reformated-data/hibachi-res_RandomForestClassifier_GaussianNB-s48015_0.579.txt
Computation options used: -p 999 -r 782307035 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X5                 X6                 X7                 972.675    0.001
X6                 X7                 X8                 369.135    0.001
X6                 X7                 X9                 365.992    0.001
X0                 X6                 X7                 365.557    0.001
X3                 X6                 X7                 365.137    0.001
X4                 X6                 X7                 364.86     0.001
X2                 X6                 X7                 364.348    0.001
X1                 X6                 X7                 357.597    0.001
X5                 X6                 X9                 333.251    0.001
X2                 X5                 X6                 332.927    0.001
X5                 X6                 X8                 332.846    0.001
X3                 X5                 X6                 332.751    0.001
X0                 X5                 X6                 332.01     0.001
X4                 X5                 X6                 319.446    0.001
X1                 X5                 X6                 315.977    0.001
X1                 X4                 X9                  23.487    0.304
X0                 X2                 X3                  23.011    0.354
X3                 X4                 X9                  18.135    0.873
X1                 X2                 X9                  17.483    0.918
X1                 X5                 X9                  16.373    0.974
X4                 X6                 X8                  15.612    0.987
X4                 X5                 X9                  14.810    0.995
X1                 X6                 X9                  14.509    0.997
X1                 X3                 X6                  14.419    0.997
X1                 X6                 X8                  14.259    0.998
X3                 X5                 X9                  13.172    1
X2                 X3                 X9                  12.792    1
X1                 X3                 X4                  12.652    1
X0                 X1                 X2                  12.596    1
X0                 X1                 X6                  12.478    1
X0                 X4                 X6                  12.333    1
X0                 X5                 X9                  11.934    1
X1                 X2                 X3                  11.755    1
X0                 X1                 X7                  10.82     1
X3                 X4                 X8                  10.443    1
X0                 X2                 X9                  10.262    1
X1                 X8                 X9                  10.197    1
X1                 X3                 X9                   9.989    1
X0                 X5                 X7                   9.787    1
X4                 X6                 X9                   9.680    1
X0                 X2                 X8                   9.409    1
X0                 X1                 X4                   9.155    1
X0                 X4                 X7                   9.024    1
X5                 X8                 X9                   8.957    1
X7                 X8                 X9                   8.937    1
X0                 X7                 X8                   8.885    1
X0                 X3                 X9                   8.433    1
X2                 X3                 X5                   8.342    1
X0                 X3                 X7                   8.325    1
X1                 X3                 X5                   8.230    1
X1                 X2                 X6                   8.199    1
X0                 X4                 X9                   8.121    1
X0                 X3                 X5                   8.083    1
X3                 X4                 X5                   7.892    1
X4                 X5                 X8                   7.860    1
X0                 X4                 X5                   7.759    1
X0                 X1                 X9                   7.566    1
X1                 X4                 X6                   7.194    1
X0                 X7                 X9                   7.134    1
X1                 X4                 X5                   7.092    1
X3                 X7                 X8                   7.038    1
X0                 X6                 X8                   6.878    1
X0                 X3                 X6                   6.862    1
X0                 X1                 X3                   6.811    1
X1                 X2                 X4                   6.767    1
X2                 X4                 X9                   6.642    1
X2                 X7                 X8                   6.629    1
X6                 X8                 X9                   6.610    1
X0                 X4                 X8                   6.512    1
X5                 X7                 X9                   6.478    1
X5                 X7                 X8                   6.464    1
X3                 X5                 X8                   6.459    1
X1                 X7                 X9                   6.428    1
X4                 X7                 X9                   6.021    1
X0                 X3                 X4                   5.805    1
X2                 X5                 X9                   5.796    1
X2                 X4                 X6                   5.628    1
X1                 X2                 X7                   5.544    1
X3                 X8                 X9                   5.423    1
X4                 X7                 X8                   5.403    1
X2                 X3                 X7                   5.358    1
X1                 X4                 X7                   5.347    1
X2                 X5                 X7                   5.169    1
X0                 X2                 X4                   5.004    1
X1                 X3                 X8                   4.570    1
X1                 X4                 X8                   4.524    1
X1                 X7                 X8                   4.267    1
X3                 X5                 X7                   4.231    1
X2                 X3                 X8                   4.213    1
X0                 X2                 X5                   4.184    1
X2                 X3                 X4                   4.052    1
X1                 X5                 X8                   3.994    1
X2                 X4                 X5                   3.935    1
X0                 X5                 X8                   3.684    1
X2                 X3                 X6                   3.645    1
X2                 X5                 X8                   3.498    1
X1                 X5                 X7                   3.492    1
X3                 X6                 X8                   3.453    1
X0                 X2                 X7                   3.308    1
X3                 X6                 X9                   3.257    1
X0                 X6                 X9                   3.191    1
X0                 X2                 X6                   3.146    1
X4                 X5                 X7                   3.109    1
X2                 X6                 X8                   3.002    1
X1                 X2                 X5                   2.996    1
X2                 X6                 X9                   2.975    1
X0                 X1                 X5                   2.819    1
X1                 X3                 X7                   2.796    1
X0                 X3                 X8                   2.759    1
X1                 X2                 X8                   2.713    1
X2                 X7                 X9                   0        1
X2                 X8                 X9                   0        1
X4                 X8                 X9                   0        1
X0                 X1                 X8                   0        1
X3                 X4                 X7                   0        1
X2                 X4                 X8                   0        1
X0                 X8                 X9                   0        1
X3                 X7                 X9                   0        1
X2                 X4                 X7                   0        1
X3                 X4                 X6                   0        1
