Input File: reformatted-data/train/hibachi-res_RandomForestClassifier_GradientBoostingClassifier-s8642_0.435.txt
Computation options used: -p 999 -r 1472043836 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X0                 X6                 X7                 400.929    0.001
X1                 X6                 X7                 140.873    0.001
X6                 X7                 X9                  47.842    0.001
X6                 X7                 X8                  45.265    0.001
X3                 X6                 X7                  45.092    0.001
X2                 X6                 X7                  40.905    0.001
X5                 X6                 X7                  38.196    0.002
X4                 X6                 X7                  32.698    0.012
X2                 X3                 X4                  24.659    0.195
X2                 X7                 X8                  18.941    0.796
X2                 X3                 X8                  18.387    0.836
X2                 X3                 X6                  17.522    0.905
X2                 X3                 X9                  15.922    0.974
X2                 X3                 X5                  15.716    0.977
X1                 X3                 X7                  14.111    0.998
X1                 X3                 X6                  13.771    1
X0                 X3                 X7                  13.164    1
X2                 X3                 X7                  13.157    1
X1                 X2                 X3                  12.406    1
X1                 X4                 X6                  12.358    1
X1                 X2                 X7                  12.257    1
X1                 X2                 X9                  12.015    1
X0                 X2                 X3                  11.301    1
X2                 X4                 X7                  10.935    1
X0                 X7                 X9                  10.701    1
X1                 X4                 X9                  10.609    1
X0                 X4                 X7                  10.606    1
X2                 X4                 X9                  10.288    1
X1                 X6                 X8                  10.187    1
X3                 X7                 X8                  10.004    1
X1                 X3                 X8                   9.941    1
X4                 X6                 X8                   9.076    1
X0                 X8                 X9                   9.045    1
X1                 X3                 X4                   8.991    1
X1                 X2                 X4                   8.919    1
X4                 X5                 X8                   8.72     1
X1                 X4                 X7                   8.659    1
X0                 X5                 X7                   8.501    1
X3                 X5                 X6                   8.392    1
X4                 X5                 X6                   8.370    1
X3                 X4                 X7                   8.188    1
X5                 X7                 X8                   8.139    1
X2                 X4                 X8                   7.969    1
X0                 X5                 X9                   7.848    1
X2                 X5                 X7                   7.728    1
X1                 X2                 X5                   7.723    1
X1                 X2                 X8                   7.713    1
X2                 X4                 X5                   7.627    1
X3                 X5                 X7                   7.497    1
X4                 X5                 X9                   7.462    1
X3                 X4                 X8                   7.202    1
X6                 X8                 X9                   7.180    1
X0                 X1                 X7                   6.946    1
X0                 X7                 X8                   6.843    1
X4                 X7                 X8                   6.728    1
X0                 X2                 X7                   6.609    1
X0                 X1                 X3                   6.603    1
X3                 X8                 X9                   6.595    1
X3                 X6                 X8                   6.525    1
X1                 X5                 X7                   6.474    1
X1                 X2                 X6                   6.269    1
X1                 X4                 X8                   6.226    1
X2                 X5                 X6                   6.009    1
X0                 X3                 X4                   5.865    1
X1                 X8                 X9                   5.794    1
X5                 X7                 X9                   5.742    1
X4                 X7                 X9                   5.707    1
X2                 X5                 X9                   5.701    1
X0                 X1                 X5                   5.571    1
X5                 X6                 X9                   5.314    1
X0                 X1                 X8                   5.298    1
X1                 X7                 X8                   5.226    1
X1                 X5                 X6                   5.208    1
X3                 X4                 X6                   5.138    1
X0                 X3                 X8                   5.051    1
X2                 X6                 X8                   4.918    1
X4                 X6                 X9                   4.732    1
X5                 X6                 X8                   4.569    1
X4                 X5                 X7                   4.563    1
X3                 X4                 X5                   4.551    1
X1                 X6                 X9                   4.542    1
X0                 X2                 X5                   4.168    1
X0                 X3                 X9                   4.086    1
X1                 X3                 X9                   4.051    1
X0                 X6                 X9                   4.039    1
X0                 X1                 X4                   3.962    1
X0                 X3                 X5                   3.836    1
X0                 X2                 X4                   3.729    1
X0                 X4                 X9                   3.704    1
X1                 X4                 X5                   3.696    1
X0                 X4                 X8                   3.672    1
X0                 X6                 X8                   3.631    1
X0                 X3                 X6                   3.428    1
X0                 X1                 X2                   3.424    1
X0                 X2                 X9                   3.346    1
X0                 X1                 X6                   3.318    1
X2                 X6                 X9                   3.298    1
X4                 X8                 X9                   3.277    1
X0                 X1                 X9                   3.260    1
X1                 X5                 X8                   3.236    1
X0                 X4                 X5                   3.179    1
X2                 X4                 X6                   3.073    1
X0                 X5                 X8                   2.997    1
X3                 X4                 X9                   2.727    1
X7                 X8                 X9                   0        1
X5                 X8                 X9                   0        1
X0                 X2                 X6                   0        1
X0                 X2                 X8                   0        1
X0                 X4                 X6                   0        1
X0                 X5                 X6                   0        1
X1                 X3                 X5                   0        1
X1                 X5                 X9                   0        1
X1                 X7                 X9                   0        1
X2                 X5                 X8                   0        1
X2                 X7                 X9                   0        1
X3                 X7                 X9                   0        1
X2                 X8                 X9                   0        1
X3                 X6                 X9                   0        1
X3                 X5                 X8                   0        1
X3                 X5                 X9                   0        1
