Input File: reformatted-data/train/hibachi-res_RandomForestClassifier_KNeighborsClassifier-s47450_0.478.txt
Computation options used: -p 999 -r 1359705848 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X1                 X7                 X8                 78.013     0.001
X5                 X7                 X8                 32.517     0.005
X2                 X3                 X9                 25.810     0.072
X0                 X1                 X7                 25.268     0.079
X0                 X5                 X7                 24.152     0.11
X1                 X5                 X7                 23.042     0.187
X0                 X5                 X8                 23.035     0.188
X3                 X5                 X7                 22.016     0.264
X5                 X8                 X9                 17.409     0.821
X5                 X6                 X7                 16.597     0.901
X1                 X2                 X9                 16.53      0.906
X5                 X6                 X8                 16.145     0.925
X1                 X4                 X7                 15.598     0.952
X1                 X7                 X9                 15.534     0.953
X1                 X5                 X8                 14.997     0.97
X4                 X5                 X7                 14.969     0.97
X2                 X5                 X7                 14.852     0.973
X4                 X6                 X9                 14.329     0.981
X2                 X4                 X9                 14.150     0.985
X3                 X5                 X8                 13.582     0.994
X2                 X5                 X8                 13.367     0.995
X2                 X7                 X9                 13.078     0.997
X0                 X4                 X9                 13.018     0.997
X5                 X7                 X9                 12.881     0.998
X1                 X8                 X9                 12.859     0.998
X4                 X5                 X8                 12.567     0.999
X2                 X6                 X9                 11.830     0.999
X3                 X4                 X9                 11.643     0.999
X1                 X2                 X7                 11.392     0.999
X3                 X4                 X8                 11.336     0.999
X0                 X6                 X9                 10.907     0.999
X2                 X3                 X6                 10.902     0.999
X0                 X2                 X7                 10.611     1
X1                 X3                 X7                 10.516     1
X6                 X7                 X9                 10.475     1
X2                 X3                 X4                 10.387     1
X6                 X8                 X9                 10.367     1
X0                 X1                 X9                 10.319     1
X1                 X3                 X9                  9.970     1
X0                 X2                 X8                  9.910     1
X0                 X2                 X3                  9.431     1
X3                 X4                 X6                  9.376     1
X0                 X7                 X8                  9.337     1
X2                 X5                 X9                  9.319     1
X2                 X4                 X6                  9.114     1
X1                 X6                 X7                  8.801     1
X0                 X3                 X9                  8.315     1
X0                 X2                 X9                  8.283     1
X3                 X6                 X9                  8.162     1
X6                 X7                 X8                  7.899     1
X0                 X6                 X8                  7.811     1
X4                 X7                 X9                  7.674     1
X3                 X6                 X7                  7.343     1
X2                 X4                 X8                  7.315     1
X0                 X2                 X4                  7.043     1
X1                 X2                 X8                  6.995     1
X1                 X4                 X9                  6.851     1
X0                 X3                 X4                  6.82      1
X1                 X4                 X8                  6.730     1
X4                 X8                 X9                  6.694     1
X4                 X5                 X6                  6.537     1
X0                 X4                 X5                  6.192     1
X0                 X1                 X4                  5.979     1
X7                 X8                 X9                  5.844     1
X1                 X4                 X5                  5.744     1
X0                 X4                 X6                  5.585     1
X4                 X6                 X7                  5.330     1
X2                 X4                 X5                  5.181     1
X0                 X1                 X5                  5.035     1
X1                 X6                 X9                  4.849     1
X0                 X7                 X9                  4.703     1
X0                 X1                 X3                  4.392     1
X0                 X4                 X8                  4.323     1
X3                 X4                 X5                  4.287     1
X1                 X4                 X6                  4.262     1
X2                 X6                 X8                  4.182     1
X0                 X8                 X9                  4.161     1
X5                 X6                 X9                  4.104     1
X0                 X3                 X6                  3.931     1
X1                 X3                 X4                  3.848     1
X2                 X8                 X9                  3.800     1
X2                 X3                 X8                  3.648     1
X4                 X6                 X8                  3.645     1
X0                 X3                 X7                  3.578     1
X2                 X3                 X7                  3.548     1
X3                 X5                 X9                  3.532     1
X4                 X7                 X8                  3.452     1
X1                 X2                 X4                  3.437     1
X1                 X2                 X3                  3.435     1
X3                 X8                 X9                  3.376     1
X1                 X2                 X5                  3.360     1
X2                 X3                 X5                  3.279     1
X0                 X4                 X7                  3.263     1
X3                 X5                 X6                  3.246     1
X2                 X5                 X6                  3.210     1
X0                 X1                 X8                  3.159     1
X3                 X7                 X9                  3.141     1
X2                 X4                 X7                  3.107     1
X0                 X5                 X9                  3.033     1
X3                 X4                 X7                  2.984     1
X0                 X1                 X6                  2.960     1
X1                 X5                 X9                  2.843     1
X0                 X1                 X2                  2.818     1
X1                 X6                 X8                  2.811     1
X2                 X6                 X7                  2.756     1
X0                 X2                 X5                  0         1
X0                 X2                 X6                  0         1
X0                 X3                 X5                  0         1
X0                 X3                 X8                  0         1
X1                 X5                 X6                  0         1
X0                 X5                 X6                  0         1
X4                 X5                 X9                  0         1
X0                 X6                 X7                  0         1
X1                 X3                 X8                  0         1
X3                 X7                 X8                  0         1
X2                 X7                 X8                  0         1
X3                 X6                 X8                  0         1
X1                 X3                 X6                  0         1
X1                 X3                 X5                  0         1
X1                 X2                 X6                  0         1
