Input File: reformated-data/hibachi-res_RandomForestClassifier_LogisticRegression-s91750_0.607.txt
Computation options used: -p 999 -r 785500365 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X1                 X7                 X8                 833.429    0.001
X1                 X3                 X7                 833.195    0.001
X1                 X5                 X7                 833.078    0.001
X1                 X7                 X9                 832.955    0.001
X1                 X4                 X7                 831.63     0.001
X1                 X2                 X7                 830.748    0.001
X0                 X1                 X7                 801.57     0.001
X1                 X6                 X7                 798.882    0.001
X1                 X6                 X8                  32.469    0.013
X0                 X1                 X6                  30.797    0.022
X0                 X1                 X2                  30.351    0.026
X1                 X4                 X6                  29.212    0.047
X1                 X3                 X6                  28.941    0.049
X0                 X1                 X8                  26.610    0.125
X0                 X1                 X3                  26.021    0.154
X1                 X5                 X6                  24.950    0.197
X0                 X1                 X4                  23.786    0.281
X1                 X2                 X6                  22.747    0.364
X1                 X6                 X9                  19.641    0.739
X3                 X5                 X9                  19.181    0.784
X0                 X1                 X5                  18.792    0.83
X4                 X6                 X7                  16.209    0.971
X0                 X6                 X7                  15.875    0.984
X0                 X5                 X8                  15.761    0.987
X0                 X1                 X9                  15.708    0.988
X2                 X4                 X7                  15.489    0.989
X2                 X6                 X7                  14.716    0.998
X4                 X5                 X7                  14.697    0.998
X3                 X4                 X9                  14.532    0.998
X0                 X2                 X4                  14.050    1
X2                 X4                 X6                  13.964    1
X0                 X4                 X6                  13.894    1
X0                 X2                 X6                  13.893    1
X0                 X6                 X8                  13.586    1
X2                 X8                 X9                  13.140    1
X0                 X8                 X9                  12.962    1
X4                 X5                 X6                  12.824    1
X3                 X4                 X6                  12.790    1
X1                 X8                 X9                  12.633    1
X3                 X8                 X9                  12.115    1
X0                 X2                 X9                  11.082    1
X1                 X3                 X8                  11.042    1
X2                 X3                 X8                  10.656    1
X0                 X4                 X7                  10.649    1
X4                 X6                 X8                  10.615    1
X0                 X7                 X8                  10.605    1
X2                 X3                 X9                  10.554    1
X5                 X8                 X9                   9.825    1
X5                 X6                 X9                   9.670    1
X2                 X5                 X9                   9.355    1
X3                 X4                 X7                   9.344    1
X0                 X7                 X9                   9.271    1
X3                 X5                 X7                   9.255    1
X0                 X2                 X3                   9.161    1
X1                 X3                 X4                   9.117    1
X6                 X8                 X9                   9.040    1
X5                 X7                 X8                   9.038    1
X0                 X2                 X7                   8.690    1
X5                 X6                 X7                   8.602    1
X0                 X3                 X6                   8.267    1
X6                 X7                 X8                   8.267    1
X2                 X5                 X6                   8.129    1
X2                 X6                 X9                   8.016    1
X0                 X3                 X8                   7.877    1
X2                 X3                 X6                   7.802    1
X0                 X3                 X4                   7.765    1
X3                 X5                 X8                   7.740    1
X0                 X4                 X8                   7.727    1
X4                 X6                 X9                   7.690    1
X0                 X3                 X7                   7.659    1
X0                 X2                 X5                   7.599    1
X1                 X5                 X8                   7.421    1
X4                 X5                 X8                   7.393    1
X2                 X3                 X4                   7.350    1
X2                 X7                 X9                   7.064    1
X1                 X5                 X9                   7.005    1
X0                 X5                 X7                   6.976    1
X3                 X4                 X5                   6.918    1
X1                 X2                 X8                   6.827    1
X2                 X3                 X7                   6.731    1
X3                 X4                 X8                   6.498    1
X3                 X7                 X8                   5.841    1
X1                 X2                 X9                   5.813    1
X2                 X4                 X8                   5.512    1
X5                 X6                 X8                   5.442    1
X4                 X7                 X9                   5.370    1
X3                 X5                 X6                   5.367    1
X4                 X5                 X9                   5.353    1
X0                 X2                 X8                   5.222    1
X4                 X8                 X9                   5.219    1
X1                 X3                 X5                   5.173    1
X2                 X6                 X8                   5.159    1
X0                 X6                 X9                   5.086    1
X6                 X7                 X9                   5.066    1
X2                 X5                 X8                   4.946    1
X3                 X6                 X7                   4.613    1
X3                 X7                 X9                   4.429    1
X4                 X7                 X8                   4.070    1
X0                 X5                 X6                   4.048    1
X1                 X2                 X3                   3.989    1
X0                 X3                 X9                   3.949    1
X1                 X2                 X4                   3.677    1
X0                 X5                 X9                   3.649    1
X1                 X4                 X8                   3.645    1
X0                 X4                 X9                   3.629    1
X1                 X3                 X9                   3.567    1
X2                 X7                 X8                   3.439    1
X7                 X8                 X9                   3.392    1
X5                 X7                 X9                   3.353    1
X0                 X4                 X5                   3.334    1
X2                 X3                 X5                   3.258    1
X2                 X4                 X5                   3.232    1
X3                 X6                 X9                   3.225    1
X0                 X3                 X5                   3.067    1
X2                 X5                 X7                   3.058    1
X1                 X2                 X5                   2.803    1
X3                 X6                 X8                   0        1
X1                 X4                 X5                   0        1
X2                 X4                 X9                   0        1
X1                 X4                 X9                   0        1
