Input File: reformated-data/hibachi-res_RandomForestClassifier_XGBClassifier-s84406_0.427.txt
Computation options used: -p 999 -r 787769310 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X4                 X7                 X9                 494.792    0.001
X4                 X6                 X7                 247.362    0.001
X4                 X5                 X7                  84.523    0.001
X0                 X4                 X7                  77.584    0.001
X1                 X4                 X7                  70.540    0.001
X4                 X7                 X8                  68.751    0.001
X3                 X4                 X7                  63.668    0.001
X2                 X4                 X7                  59.692    0.001
X0                 X4                 X8                  19.806    0.729
X0                 X7                 X8                  17.587    0.924
X0                 X3                 X8                  17.553    0.926
X0                 X1                 X7                  16.420    0.962
X0                 X1                 X4                  15.136    0.993
X0                 X6                 X7                  15.126    0.993
X1                 X3                 X6                  14.388    0.997
X1                 X3                 X4                  14.030    0.998
X0                 X3                 X6                  13.956    0.998
X0                 X1                 X3                  13.518    1
X0                 X2                 X8                  13.254    1
X1                 X3                 X5                  12.849    1
X0                 X8                 X9                  12.578    1
X3                 X4                 X6                  12.556    1
X0                 X5                 X8                  12.511    1
X0                 X3                 X4                  12.363    1
X1                 X2                 X7                  12.270    1
X2                 X3                 X7                  12.038    1
X3                 X7                 X9                  11.994    1
X1                 X2                 X3                  11.736    1
X2                 X4                 X5                  11.652    1
X2                 X4                 X8                  11.357    1
X4                 X5                 X9                  11.167    1
X1                 X3                 X9                  11.036    1
X1                 X3                 X7                  10.804    1
X5                 X6                 X7                  10.797    1
X0                 X1                 X2                  10.558    1
X0                 X3                 X5                  10.428    1
X0                 X5                 X9                  10.178    1
X2                 X3                 X9                  10.157    1
X0                 X3                 X9                  10.096    1
X0                 X5                 X7                   9.864    1
X1                 X4                 X6                   9.717    1
X2                 X4                 X9                   9.562    1
X2                 X3                 X8                   9.501    1
X0                 X2                 X9                   9.400    1
X3                 X5                 X9                   9.379    1
X3                 X7                 X8                   9.268    1
X1                 X8                 X9                   9.220    1
X1                 X6                 X7                   9.184    1
X0                 X2                 X7                   9.144    1
X4                 X5                 X6                   9.117    1
X0                 X3                 X7                   9.041    1
X0                 X4                 X6                   9.008    1
X3                 X5                 X7                   8.840    1
X1                 X5                 X9                   8.672    1
X2                 X7                 X8                   8.581    1
X0                 X1                 X9                   8.452    1
X0                 X6                 X8                   8.356    1
X1                 X5                 X7                   8.188    1
X2                 X3                 X6                   8.049    1
X0                 X4                 X5                   7.980    1
X2                 X4                 X6                   7.964    1
X0                 X2                 X3                   7.866    1
X5                 X6                 X9                   7.806    1
X1                 X7                 X9                   7.758    1
X3                 X6                 X7                   7.716    1
X4                 X8                 X9                   7.669    1
X1                 X6                 X9                   7.520    1
X5                 X7                 X8                   7.383    1
X0                 X1                 X8                   7.265    1
X3                 X4                 X8                   7.140    1
X2                 X3                 X4                   7.139    1
X3                 X6                 X9                   7.065    1
X1                 X3                 X8                   6.549    1
X2                 X8                 X9                   6.505    1
X3                 X5                 X6                   6.464    1
X4                 X5                 X8                   6.178    1
X1                 X5                 X6                   6.066    1
X5                 X6                 X8                   5.877    1
X3                 X5                 X8                   5.755    1
X1                 X7                 X8                   5.632    1
X3                 X8                 X9                   5.587    1
X1                 X4                 X9                   5.526    1
X5                 X7                 X9                   5.511    1
X2                 X6                 X8                   5.476    1
X0                 X1                 X6                   5.302    1
X2                 X5                 X6                   5.050    1
X6                 X7                 X9                   4.874    1
X1                 X2                 X4                   4.672    1
X6                 X7                 X8                   4.613    1
X1                 X2                 X9                   4.496    1
X3                 X4                 X5                   4.382    1
X0                 X2                 X4                   4.021    1
X2                 X3                 X5                   3.925    1
X0                 X5                 X6                   3.872    1
X1                 X6                 X8                   3.857    1
X2                 X6                 X9                   3.814    1
X7                 X8                 X9                   3.812    1
X4                 X6                 X9                   3.691    1
X4                 X6                 X8                   3.306    1
X1                 X2                 X5                   3.302    1
X1                 X2                 X8                   3.258    1
X3                 X4                 X9                   3.082    1
X0                 X7                 X9                   3.066    1
X0                 X2                 X6                   2.912    1
X1                 X4                 X5                   2.899    1
X2                 X7                 X9                   2.706    1
X1                 X5                 X8                   0        1
X6                 X8                 X9                   0        1
X1                 X4                 X8                   0        1
X2                 X5                 X7                   0        1
X5                 X8                 X9                   0        1
X2                 X5                 X8                   0        1
X2                 X5                 X9                   0        1
X0                 X1                 X5                   0        1
X2                 X6                 X7                   0        1
X0                 X2                 X5                   0        1
X0                 X4                 X9                   0        1
X1                 X2                 X6                   0        1
X0                 X6                 X9                   0        1
X3                 X6                 X8                   0        1
