Input File: reformatted-data/train/hibachi-res_XGBClassifier_DecisionTreeClassifier-s70299_0.492.txt
Computation options used: -p 999 -r 1363437002 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X0                 X7                 X9                 442.081    0.001
X0                 X3                 X7                 131.724    0.001
X0                 X4                 X7                 130.119    0.001
X0                 X1                 X7                 126.388    0.001
X0                 X5                 X7                 125.834    0.001
X0                 X7                 X8                 122.255    0.001
X0                 X6                 X7                 120.96     0.001
X0                 X2                 X7                 115.393    0.001
X0                 X1                 X4                  19.039    0.556
X1                 X2                 X9                  18.975    0.566
X0                 X4                 X9                  15.749    0.904
X2                 X4                 X7                  15.102    0.939
X0                 X3                 X6                  14.712    0.957
X0                 X1                 X6                  14.546    0.965
X4                 X5                 X9                  13.873    0.986
X1                 X8                 X9                  13.210    0.99
X2                 X5                 X7                  12.682    0.997
X0                 X4                 X5                  12.68     0.997
X0                 X5                 X6                  11.815    1
X1                 X3                 X6                  11.506    1
X0                 X2                 X6                  11.441    1
X7                 X8                 X9                  11.204    1
X4                 X5                 X6                  11.060    1
X1                 X7                 X9                  10.955    1
X0                 X1                 X9                  10.942    1
X5                 X6                 X8                  10.905    1
X1                 X4                 X6                  10.809    1
X0                 X2                 X9                  10.219    1
X1                 X6                 X9                   9.418    1
X0                 X3                 X5                   8.991    1
X1                 X2                 X8                   8.923    1
X4                 X6                 X9                   8.789    1
X1                 X5                 X8                   8.770    1
X0                 X4                 X8                   8.765    1
X3                 X6                 X8                   8.551    1
X0                 X5                 X9                   8.263    1
X1                 X4                 X5                   8.257    1
X1                 X5                 X7                   7.922    1
X2                 X3                 X7                   7.849    1
X0                 X8                 X9                   7.758    1
X1                 X5                 X6                   7.398    1
X0                 X1                 X2                   7.355    1
X1                 X2                 X6                   7.288    1
X1                 X5                 X9                   7.111    1
X2                 X3                 X5                   6.766    1
X1                 X2                 X4                   6.536    1
X2                 X6                 X8                   6.479    1
X3                 X4                 X9                   6.338    1
X0                 X3                 X9                   6.176    1
X1                 X6                 X8                   6.120    1
X0                 X1                 X5                   6.099    1
X5                 X6                 X9                   5.903    1
X3                 X6                 X9                   5.894    1
X2                 X4                 X5                   5.861    1
X1                 X4                 X7                   5.835    1
X1                 X4                 X8                   5.807    1
X1                 X3                 X4                   5.634    1
X2                 X4                 X6                   5.176    1
X3                 X5                 X6                   5.119    1
X0                 X3                 X8                   5.088    1
X1                 X2                 X7                   5.037    1
X4                 X8                 X9                   4.982    1
X5                 X7                 X8                   4.886    1
X4                 X7                 X9                   4.767    1
X1                 X6                 X7                   4.670    1
X1                 X3                 X9                   4.346    1
X2                 X5                 X6                   4.344    1
X2                 X4                 X8                   4.337    1
X1                 X4                 X9                   4.282    1
X3                 X6                 X7                   4.250    1
X0                 X2                 X8                   4.065    1
X0                 X6                 X8                   4.021    1
X2                 X7                 X9                   3.874    1
X2                 X3                 X4                   3.819    1
X0                 X2                 X5                   3.672    1
X5                 X7                 X9                   3.608    1
X3                 X4                 X6                   3.559    1
X0                 X3                 X4                   3.537    1
X4                 X6                 X8                   3.520    1
X0                 X1                 X3                   3.447    1
X6                 X7                 X9                   3.394    1
X2                 X5                 X8                   3.274    1
X2                 X3                 X8                   3.262    1
X3                 X4                 X7                   3.258    1
X0                 X6                 X9                   3.188    1
X0                 X2                 X4                   3.036    1
X4                 X5                 X8                   3.015    1
X3                 X5                 X8                   3.009    1
X2                 X4                 X9                   2.925    1
X1                 X3                 X8                   2.903    1
X2                 X5                 X9                   2.891    1
X3                 X8                 X9                   2.876    1
X0                 X5                 X8                   2.860    1
X2                 X8                 X9                   2.846    1
X1                 X3                 X5                   2.798    1
X2                 X3                 X9                   2.771    1
X6                 X8                 X9                   0        1
X1                 X3                 X7                   0        1
X6                 X7                 X8                   0        1
X5                 X8                 X9                   0        1
X1                 X2                 X5                   0        1
X1                 X2                 X3                   0        1
X1                 X7                 X8                   0        1
X2                 X3                 X6                   0        1
X5                 X6                 X7                   0        1
X0                 X4                 X6                   0        1
X4                 X7                 X8                   0        1
X0                 X2                 X3                   0        1
X2                 X6                 X7                   0        1
X4                 X6                 X7                   0        1
X2                 X6                 X9                   0        1
X2                 X7                 X8                   0        1
X4                 X5                 X7                   0        1
X0                 X1                 X8                   0        1
X3                 X7                 X9                   0        1
X3                 X7                 X8                   0        1
X3                 X4                 X5                   0        1
X3                 X4                 X8                   0        1
X3                 X5                 X7                   0        1
X3                 X5                 X9                   0        1
