Input File: reformated-data/hibachi-res_XGBClassifier_KNeighborsClassifier-s60940_0.470.txt
Computation options used: -p 999 -r 793282006 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X5                 X7                 X8                 992.015    0.001
X3                 X6                 X9                  24.851    0.22
X4                 X7                 X9                  20.433    0.654
X0                 X6                 X9                  18.459    0.869
X2                 X5                 X9                  16.987    0.98
X5                 X6                 X7                  16.364    0.987
X5                 X6                 X9                  16.262    0.989
X0                 X4                 X7                  15.674    0.994
X2                 X6                 X9                  15.171    0.995
X1                 X2                 X9                  13.727    1
X4                 X6                 X9                  13.657    1
X6                 X7                 X9                  13.402    1
X4                 X5                 X9                  13.298    1
X0                 X1                 X2                  13.125    1
X1                 X2                 X5                  12.787    1
X1                 X2                 X3                  11.797    1
X4                 X5                 X6                  11.756    1
X1                 X2                 X4                  11.681    1
X1                 X4                 X8                  11.226    1
X1                 X4                 X9                  11.091    1
X2                 X3                 X5                  11.058    1
X4                 X6                 X7                  10.6      1
X3                 X7                 X9                  10.111    1
X2                 X6                 X7                  10.086    1
X2                 X4                 X6                  10.061    1
X1                 X8                 X9                   9.737    1
X3                 X8                 X9                   9.701    1
X1                 X5                 X7                   9.591    1
X3                 X4                 X5                   9.574    1
X1                 X7                 X9                   9.306    1
X0                 X2                 X6                   9.153    1
X0                 X7                 X9                   9.099    1
X1                 X7                 X8                   9.09     1
X0                 X4                 X5                   9.044    1
X7                 X8                 X9                   8.774    1
X1                 X6                 X9                   8.740    1
X1                 X2                 X6                   8.596    1
X2                 X4                 X5                   8.067    1
X0                 X3                 X6                   8.012    1
X5                 X7                 X9                   7.987    1
X4                 X5                 X7                   7.983    1
X2                 X5                 X7                   7.872    1
X2                 X3                 X8                   7.872    1
X6                 X7                 X8                   7.845    1
X0                 X3                 X9                   7.822    1
X6                 X8                 X9                   7.771    1
X1                 X4                 X7                   7.641    1
X1                 X2                 X7                   7.634    1
X1                 X3                 X4                   7.576    1
X2                 X7                 X8                   7.511    1
X0                 X7                 X8                   7.506    1
X0                 X4                 X6                   7.490    1
X2                 X7                 X9                   7.465    1
X3                 X6                 X8                   7.384    1
X3                 X5                 X6                   6.841    1
X0                 X6                 X7                   6.761    1
X0                 X2                 X7                   6.689    1
X0                 X4                 X8                   6.609    1
X0                 X5                 X6                   6.482    1
X3                 X5                 X9                   6.436    1
X1                 X4                 X5                   6.355    1
X0                 X2                 X9                   6.319    1
X2                 X4                 X7                   6.243    1
X0                 X2                 X4                   6.204    1
X2                 X5                 X6                   5.998    1
X4                 X6                 X8                   5.899    1
X2                 X6                 X8                   5.879    1
X0                 X2                 X8                   5.778    1
X3                 X4                 X9                   5.613    1
X3                 X7                 X8                   5.530    1
X1                 X3                 X5                   5.501    1
X3                 X4                 X8                   5.412    1
X3                 X6                 X7                   5.320    1
X0                 X3                 X5                   5.284    1
X1                 X3                 X8                   5.150    1
X1                 X2                 X8                   5.100    1
X4                 X5                 X8                   5.065    1
X1                 X6                 X8                   4.941    1
X1                 X3                 X9                   4.896    1
X0                 X1                 X4                   4.845    1
X0                 X4                 X9                   4.679    1
X0                 X5                 X8                   4.399    1
X3                 X4                 X6                   4.380    1
X0                 X1                 X7                   4.350    1
X0                 X3                 X7                   4.321    1
X2                 X3                 X6                   4.320    1
X2                 X8                 X9                   4.290    1
X0                 X2                 X3                   4.044    1
X0                 X8                 X9                   3.999    1
X0                 X3                 X4                   3.999    1
X0                 X3                 X8                   3.932    1
X3                 X4                 X7                   3.906    1
X1                 X4                 X6                   3.905    1
X1                 X5                 X6                   3.834    1
X1                 X6                 X7                   3.831    1
X5                 X6                 X8                   3.743    1
X0                 X2                 X5                   3.735    1
X5                 X8                 X9                   3.581    1
X3                 X5                 X7                   3.489    1
X2                 X4                 X9                   3.378    1
X4                 X7                 X8                   3.308    1
X0                 X1                 X3                   3.274    1
X4                 X8                 X9                   3.269    1
X3                 X5                 X8                   3.242    1
X0                 X1                 X9                   3.103    1
X2                 X3                 X4                   2.842    1
X2                 X5                 X8                   2.717    1
X0                 X6                 X8                   0        1
X0                 X5                 X9                   0        1
X1                 X3                 X6                   0        1
X1                 X3                 X7                   0        1
X0                 X5                 X7                   0        1
X1                 X5                 X8                   0        1
X0                 X1                 X5                   0        1
X0                 X1                 X6                   0        1
X1                 X5                 X9                   0        1
X0                 X1                 X8                   0        1
X2                 X3                 X7                   0        1
X2                 X3                 X9                   0        1
X2                 X4                 X8                   0        1
