Input File: reformatted-data/train/hibachi-res_XGBClassifier_LogisticRegression-s1888_0.610.txt
Computation options used: -p 999 -r 1479573372 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X4                 X7                 X8                 543.6      0.001
X7                 X8                 X9                 524.053    0.001
X5                 X7                 X8                 490.33     0.001
X1                 X7                 X8                 490.055    0.001
X2                 X7                 X8                 479.184    0.001
X3                 X7                 X8                 473.978    0.001
X0                 X7                 X8                 459.541    0.001
X6                 X7                 X8                 430.591    0.001
X4                 X8                 X9                  89.800    0.001
X3                 X8                 X9                  47.417    0.001
X1                 X8                 X9                  44.211    0.001
X0                 X8                 X9                  42.993    0.001
X2                 X8                 X9                  40.467    0.001
X6                 X8                 X9                  39.078    0.001
X5                 X8                 X9                  35.964    0.003
X4                 X6                 X8                  26.961    0.087
X0                 X4                 X8                  18.028    0.856
X1                 X4                 X8                  17.802    0.876
X4                 X7                 X9                  17.781    0.877
X2                 X4                 X8                  17.377    0.9
X1                 X3                 X6                  16.429    0.943
X0                 X3                 X7                  16.062    0.961
X2                 X5                 X7                  15.884    0.966
X3                 X4                 X8                  15.804    0.969
X2                 X3                 X8                  15.629    0.978
X0                 X3                 X5                  15.521    0.98
X0                 X4                 X6                  15.231    0.984
X2                 X4                 X5                  15.125    0.984
X5                 X6                 X7                  14.144    0.991
X2                 X4                 X7                  14.129    0.991
X2                 X3                 X4                  13.93     0.994
X0                 X2                 X3                  13.471    0.996
X3                 X5                 X8                  13.047    0.999
X4                 X5                 X8                  12.841    0.999
X0                 X3                 X8                  12.622    0.999
X2                 X3                 X7                  11.917    1
X2                 X6                 X8                  11.728    1
X2                 X4                 X9                  11.507    1
X1                 X2                 X8                  11.398    1
X4                 X6                 X7                  11.398    1
X1                 X6                 X8                  11.312    1
X1                 X2                 X3                  11.286    1
X1                 X2                 X4                  11.279    1
X3                 X7                 X9                  11.254    1
X1                 X3                 X7                  11.212    1
X3                 X5                 X7                  11.212    1
X6                 X7                 X9                  11.091    1
X0                 X1                 X9                  10.968    1
X3                 X6                 X7                  10.936    1
X0                 X2                 X8                  10.681    1
X1                 X3                 X8                  10.594    1
X0                 X2                 X4                  10.273    1
X2                 X4                 X6                  10.238    1
X0                 X4                 X7                  10.092    1
X3                 X4                 X7                   9.957    1
X2                 X3                 X5                   9.939    1
X0                 X1                 X4                   9.927    1
X0                 X3                 X4                   9.799    1
X1                 X3                 X9                   9.593    1
X4                 X5                 X6                   9.354    1
X0                 X1                 X7                   9.312    1
X0                 X1                 X8                   9.072    1
X1                 X6                 X7                   8.907    1
X3                 X6                 X8                   8.829    1
X2                 X7                 X9                   8.824    1
X0                 X1                 X5                   8.661    1
X0                 X1                 X3                   8.514    1
X0                 X4                 X9                   8.328    1
X0                 X6                 X8                   8.300    1
X2                 X5                 X6                   8.228    1
X3                 X4                 X6                   8.134    1
X1                 X3                 X4                   8.100    1
X1                 X5                 X8                   7.882    1
X3                 X4                 X5                   7.809    1
X2                 X5                 X8                   7.788    1
X0                 X4                 X5                   7.556    1
X4                 X6                 X9                   7.543    1
X1                 X2                 X5                   7.514    1
X4                 X5                 X9                   7.505    1
X0                 X6                 X7                   7.397    1
X1                 X2                 X9                   7.279    1
X0                 X1                 X2                   6.902    1
X1                 X4                 X5                   6.844    1
X1                 X4                 X9                   6.755    1
X0                 X7                 X9                   6.573    1
X3                 X5                 X6                   6.503    1
X1                 X3                 X5                   6.340    1
X0                 X5                 X7                   6.292    1
X5                 X6                 X9                   6.148    1
X5                 X7                 X9                   6.039    1
X4                 X5                 X7                   5.836    1
X1                 X5                 X6                   5.803    1
X1                 X7                 X9                   5.721    1
X1                 X4                 X6                   5.487    1
X0                 X2                 X7                   5.403    1
X0                 X3                 X9                   5.382    1
X0                 X5                 X9                   4.707    1
X2                 X6                 X7                   4.196    1
X0                 X5                 X6                   4.019    1
X0                 X1                 X6                   3.979    1
X1                 X6                 X9                   3.841    1
X3                 X6                 X9                   3.805    1
X2                 X5                 X9                   3.459    1
X0                 X3                 X6                   3.411    1
X1                 X2                 X6                   3.310    1
X1                 X4                 X7                   3.205    1
X1                 X5                 X7                   3.188    1
X2                 X3                 X9                   3.105    1
X1                 X2                 X7                   2.999    1
X3                 X5                 X9                   2.963    1
X0                 X2                 X9                   2.929    1
X2                 X3                 X6                   2.913    1
X0                 X5                 X8                   2.830    1
X1                 X5                 X9                   2.826    1
X0                 X2                 X5                   2.804    1
X0                 X6                 X9                   0        1
X5                 X6                 X8                   0        1
X3                 X4                 X9                   0        1
X0                 X2                 X6                   0        1
X2                 X6                 X9                   0        1
