Input File: reformatted-data/train/hibachi-res_XGBClassifier_RandomForestClassifier-s42838_0.260.txt
Computation options used: -p 999 -r 1367756401 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X3                 X5                 X7                 104.237    0.001
X2                 X5                 X7                  97.934    0.001
X3                 X5                 X6                  40.150    0.001
X2                 X5                 X6                  33.612    0.005
X3                 X4                 X5                  23.338    0.141
X1                 X3                 X5                  23.206    0.149
X3                 X5                 X8                  19.969    0.43
X0                 X3                 X5                  19.232    0.505
X3                 X5                 X9                  18.509    0.586
X0                 X5                 X7                  16.762    0.808
X0                 X7                 X8                  16.654    0.812
X0                 X7                 X9                  16.510    0.822
X2                 X3                 X5                  15.891    0.888
X0                 X2                 X9                  15.762    0.898
X0                 X5                 X9                  15.635    0.905
X4                 X5                 X8                  14.224    0.97
X0                 X5                 X8                  14.094    0.976
X0                 X2                 X5                  13.448    0.989
X0                 X2                 X8                  12.876    0.992
X0                 X3                 X4                  12.870    0.992
X2                 X3                 X4                  11.909    0.999
X0                 X6                 X9                  11.570    0.999
X1                 X2                 X4                  10.675    1
X1                 X2                 X7                  10.497    1
X2                 X7                 X8                  10.356    1
X1                 X6                 X9                  10.317    1
X0                 X1                 X9                  10.161    1
X2                 X6                 X7                  10.127    1
X2                 X4                 X5                  10.124    1
X3                 X8                 X9                   9.408    1
X4                 X5                 X9                   9.347    1
X2                 X4                 X7                   9.219    1
X3                 X6                 X7                   9.068    1
X0                 X2                 X4                   8.944    1
X0                 X4                 X9                   8.511    1
X0                 X1                 X2                   8.341    1
X0                 X4                 X7                   8.329    1
X5                 X6                 X7                   7.785    1
X5                 X6                 X9                   7.652    1
X0                 X1                 X6                   7.613    1
X2                 X3                 X6                   7.460    1
X1                 X3                 X7                   7.183    1
X0                 X3                 X8                   7.147    1
X0                 X1                 X5                   7.128    1
X0                 X1                 X8                   7.103    1
X0                 X4                 X5                   7.022    1
X2                 X6                 X8                   6.958    1
X2                 X5                 X8                   6.947    1
X4                 X5                 X7                   6.921    1
X1                 X6                 X8                   6.855    1
X1                 X4                 X9                   6.794    1
X2                 X7                 X9                   6.791    1
X1                 X4                 X7                   6.740    1
X1                 X2                 X3                   6.677    1
X0                 X5                 X6                   6.487    1
X0                 X8                 X9                   6.464    1
X5                 X7                 X9                   6.388    1
X1                 X3                 X6                   6.274    1
X2                 X4                 X9                   6.185    1
X0                 X4                 X6                   6.150    1
X1                 X3                 X8                   5.556    1
X3                 X6                 X8                   5.409    1
X1                 X6                 X7                   5.389    1
X0                 X2                 X7                   5.302    1
X0                 X3                 X9                   5.255    1
X0                 X3                 X7                   5.035    1
X0                 X3                 X6                   4.975    1
X2                 X3                 X7                   4.960    1
X0                 X6                 X8                   4.921    1
X3                 X4                 X9                   4.817    1
X0                 X2                 X6                   4.681    1
X5                 X8                 X9                   4.679    1
X3                 X4                 X6                   4.427    1
X1                 X2                 X6                   4.236    1
X0                 X2                 X3                   4.095    1
X0                 X1                 X3                   4.091    1
X2                 X3                 X8                   4.015    1
X1                 X2                 X9                   3.820    1
X1                 X4                 X8                   3.805    1
X4                 X8                 X9                   3.802    1
X6                 X7                 X9                   3.792    1
X2                 X4                 X8                   3.773    1
X0                 X6                 X7                   3.767    1
X6                 X7                 X8                   3.714    1
X0                 X1                 X4                   3.424    1
X4                 X7                 X9                   3.367    1
X1                 X5                 X7                   3.310    1
X5                 X6                 X8                   3.285    1
X2                 X8                 X9                   3.273    1
X3                 X6                 X9                   3.273    1
X4                 X6                 X9                   3.217    1
X4                 X7                 X8                   3.108    1
X4                 X5                 X6                   3.094    1
X1                 X4                 X5                   3.074    1
X3                 X7                 X9                   2.997    1
X0                 X4                 X8                   2.996    1
X0                 X1                 X7                   2.974    1
X2                 X6                 X9                   2.941    1
X1                 X3                 X9                   2.928    1
X4                 X6                 X7                   2.844    1
X5                 X7                 X8                   0        1
X4                 X6                 X8                   0        1
X6                 X8                 X9                   0        1
X7                 X8                 X9                   0        1
X1                 X2                 X5                   0        1
X3                 X7                 X8                   0        1
X1                 X2                 X8                   0        1
X3                 X4                 X8                   0        1
X3                 X4                 X7                   0        1
X1                 X3                 X4                   0        1
X2                 X5                 X9                   0        1
X2                 X4                 X6                   0        1
X2                 X3                 X9                   0        1
X1                 X4                 X6                   0        1
X1                 X8                 X9                   0        1
X1                 X7                 X9                   0        1
X1                 X7                 X8                   0        1
X1                 X5                 X6                   0        1
X1                 X5                 X9                   0        1
X1                 X5                 X8                   0        1
