Input File: reformatted-data/train/hibachi-res_BernoulliNB_LogisticRegression-s89530_0.323.txt
Computation options used: -p 999 -r 1420547188 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X3                 X6                 X9                 17.534     0.918
X1                 X2                 X9                 16.798     0.949
X1                 X2                 X5                 15.251     0.993
X3                 X7                 X8                 12.815     1
X1                 X5                 X6                 12.667     1
X2                 X7                 X9                 12.025     1
X0                 X1                 X3                 11.695     1
X2                 X6                 X9                 11.265     1
X2                 X3                 X6                 11.009     1
X0                 X3                 X8                 10.954     1
X2                 X5                 X6                 10.312     1
X7                 X8                 X9                 10.242     1
X0                 X2                 X6                 10.188     1
X5                 X6                 X9                 10.117     1
X0                 X2                 X3                  9.790     1
X0                 X3                 X6                  9.525     1
X0                 X7                 X8                  9.395     1
X0                 X6                 X7                  9.178     1
X0                 X2                 X5                  8.933     1
X0                 X2                 X7                  8.88      1
X0                 X3                 X7                  8.773     1
X1                 X5                 X8                  8.710     1
X2                 X5                 X9                  8.325     1
X5                 X7                 X8                  8.312     1
X2                 X3                 X9                  7.827     1
X0                 X1                 X7                  7.788     1
X1                 X7                 X8                  7.608     1
X0                 X2                 X8                  7.553     1
X1                 X8                 X9                  7.488     1
X0                 X5                 X9                  7.452     1
X0                 X1                 X2                  7.329     1
X3                 X5                 X9                  7.305     1
X1                 X2                 X7                  6.845     1
X1                 X3                 X6                  6.784     1
X1                 X3                 X9                  6.737     1
X0                 X5                 X8                  6.697     1
X3                 X7                 X9                  6.453     1
X4                 X5                 X7                  6.430     1
X4                 X6                 X9                  6.327     1
X1                 X6                 X7                  6.295     1
X1                 X2                 X3                  6.281     1
X5                 X6                 X7                  6.235     1
X5                 X8                 X9                  6.080     1
X2                 X7                 X8                  6.072     1
X1                 X4                 X8                  5.990     1
X2                 X3                 X7                  5.953     1
X3                 X4                 X6                  5.931     1
X2                 X5                 X8                  5.925     1
X2                 X8                 X9                  5.921     1
X3                 X6                 X7                  5.806     1
X1                 X2                 X6                  5.758     1
X0                 X3                 X9                  5.741     1
X1                 X5                 X9                  5.675     1
X6                 X7                 X8                  5.552     1
X1                 X3                 X7                  5.295     1
X2                 X4                 X8                  5.267     1
X0                 X3                 X5                  5.113     1
X3                 X6                 X8                  5.044     1
X3                 X8                 X9                  5.011     1
X1                 X4                 X9                  4.993     1
X0                 X4                 X7                  4.942     1
X0                 X2                 X4                  4.640     1
X0                 X7                 X9                  4.421     1
X6                 X7                 X9                  4.290     1
X0                 X2                 X9                  4.287     1
X2                 X3                 X8                  4.224     1
X0                 X1                 X5                  4.224     1
X0                 X5                 X6                  4.175     1
X0                 X8                 X9                  4.108     1
X0                 X1                 X8                  4.056     1
X1                 X6                 X8                  4.018     1
X2                 X4                 X5                  3.975     1
X3                 X4                 X9                  3.962     1
X0                 X5                 X7                  3.922     1
X2                 X6                 X8                  3.852     1
X5                 X6                 X8                  3.640     1
X1                 X4                 X7                  3.613     1
X4                 X8                 X9                  3.606     1
X0                 X6                 X8                  3.603     1
X0                 X4                 X6                  3.404     1
X3                 X5                 X6                  3.393     1
X4                 X6                 X7                  3.368     1
X1                 X3                 X5                  3.210     1
X2                 X3                 X5                  3.134     1
X5                 X7                 X9                  3.019     1
X0                 X4                 X8                  2.994     1
X0                 X1                 X6                  2.961     1
X0                 X1                 X9                  2.872     1
X1                 X3                 X8                  2.836     1
X1                 X6                 X9                  2.803     1
X6                 X8                 X9                  2.779     1
X4                 X5                 X6                  2.708     1
X4                 X5                 X9                  0         1
X4                 X6                 X8                  0         1
X4                 X7                 X8                  0         1
X4                 X7                 X9                  0         1
X2                 X4                 X7                  0         1
X2                 X4                 X6                  0         1
X0                 X1                 X4                  0         1
X1                 X2                 X4                  0         1
X1                 X4                 X6                  0         1
X1                 X4                 X5                  0         1
X0                 X6                 X9                  0         1
X2                 X6                 X7                  0         1
X0                 X4                 X5                  0         1
X1                 X3                 X4                  0         1
X1                 X7                 X9                  0         1
X3                 X4                 X5                  0         1
X0                 X4                 X9                  0         1
X3                 X4                 X7                  0         1
X3                 X4                 X8                  0         1
X2                 X3                 X4                  0         1
X3                 X5                 X7                  0         1
X3                 X5                 X8                  0         1
X2                 X5                 X7                  0         1
X0                 X3                 X4                  0         1
X1                 X2                 X8                  0         1
X2                 X4                 X9                  0         1
X1                 X5                 X7                  0         1
X4                 X5                 X8                  0         1
