Input File: reformatted-data/train/hibachi-res_DecisionTreeClassifier_ExtraTreesClassifier-s174_0.082.txt
Computation options used: -p 999 -r 1423606062 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X1                 X2                 X4                 39.350     0.002
X2                 X4                 X6                 26.827     0.086
X5                 X6                 X8                 23.380     0.295
X2                 X6                 X8                 20.761     0.561
X1                 X2                 X9                 20.644     0.571
X1                 X3                 X4                 19.530     0.698
X4                 X6                 X8                 17.966     0.865
X6                 X8                 X9                 17.267     0.903
X0                 X2                 X4                 17.113     0.91
X2                 X3                 X4                 14.585     0.991
X1                 X2                 X3                 14.370     0.993
X2                 X4                 X5                 14.289     0.993
X2                 X5                 X6                 13.540     0.996
X4                 X5                 X9                 13.342     0.998
X2                 X4                 X8                 13.015     0.999
X2                 X4                 X7                 12.638     0.999
X1                 X6                 X8                 12.470     0.999
X1                 X3                 X9                 12.291     0.999
X0                 X1                 X3                 11.800     1
X0                 X1                 X2                 11.721     1
X0                 X6                 X8                 11.388     1
X0                 X2                 X6                 11.349     1
X0                 X2                 X9                 11.144     1
X3                 X6                 X8                 10.899     1
X0                 X2                 X5                 10.832     1
X0                 X5                 X9                 10.744     1
X2                 X4                 X9                 10.635     1
X1                 X3                 X5                 10.608     1
X1                 X3                 X8                 10.590     1
X4                 X5                 X6                 10.54      1
X1                 X2                 X5                 10.193     1
X5                 X8                 X9                 10.092     1
X2                 X5                 X9                  9.799     1
X0                 X1                 X6                  9.404     1
X6                 X7                 X8                  9.345     1
X4                 X5                 X8                  9.313     1
X0                 X1                 X9                  9.175     1
X0                 X4                 X5                  9.162     1
X1                 X2                 X6                  9.071     1
X2                 X5                 X8                  8.834     1
X1                 X5                 X7                  8.598     1
X2                 X3                 X9                  8.474     1
X2                 X3                 X6                  8.3       1
X1                 X5                 X9                  8.117     1
X3                 X8                 X9                  7.802     1
X2                 X3                 X5                  7.801     1
X2                 X7                 X9                  7.567     1
X0                 X2                 X3                  7.525     1
X2                 X5                 X7                  7.381     1
X1                 X3                 X7                  7.276     1
X0                 X8                 X9                  7.107     1
X3                 X4                 X9                  6.966     1
X0                 X2                 X8                  6.792     1
X5                 X6                 X7                  6.728     1
X0                 X3                 X4                  6.622     1
X2                 X8                 X9                  6.537     1
X0                 X4                 X6                  6.514     1
X1                 X7                 X8                  6.415     1
X2                 X3                 X7                  6.172     1
X0                 X3                 X9                  6.156     1
X1                 X2                 X7                  6.149     1
X3                 X5                 X9                  6.017     1
X1                 X4                 X5                  6.009     1
X1                 X3                 X6                  5.698     1
X0                 X6                 X9                  5.555     1
X3                 X6                 X7                  5.311     1
X2                 X3                 X8                  5.034     1
X4                 X8                 X9                  5.017     1
X7                 X8                 X9                  4.958     1
X5                 X7                 X9                  4.570     1
X4                 X6                 X9                  4.509     1
X0                 X1                 X8                  4.504     1
X3                 X7                 X9                  4.436     1
X1                 X6                 X7                  4.404     1
X5                 X7                 X8                  4.314     1
X1                 X4                 X8                  4.175     1
X0                 X5                 X8                  4.079     1
X1                 X5                 X8                  4.062     1
X0                 X6                 X7                  4.052     1
X0                 X1                 X4                  4.050     1
X3                 X5                 X7                  4.033     1
X2                 X7                 X8                  3.986     1
X0                 X4                 X8                  3.936     1
X3                 X4                 X5                  3.769     1
X3                 X5                 X8                  3.711     1
X2                 X6                 X9                  3.705     1
X1                 X4                 X7                  3.658     1
X0                 X5                 X6                  3.561     1
X1                 X6                 X9                  3.517     1
X4                 X7                 X9                  3.467     1
X5                 X6                 X9                  3.455     1
X0                 X7                 X9                  3.402     1
X0                 X7                 X8                  3.382     1
X1                 X4                 X9                  3.379     1
X4                 X5                 X7                  3.366     1
X3                 X4                 X7                  3.343     1
X0                 X3                 X7                  3.281     1
X2                 X6                 X7                  3.26      1
X1                 X7                 X9                  3.112     1
X0                 X3                 X5                  3.070     1
X1                 X4                 X6                  3.009     1
X0                 X3                 X8                  2.934     1
X0                 X1                 X7                  2.880     1
X0                 X4                 X7                  2.830     1
X1                 X2                 X8                  2.819     1
X0                 X4                 X9                  2.813     1
X3                 X7                 X8                  2.731     1
X0                 X1                 X5                  0         1
X0                 X2                 X7                  0         1
X6                 X7                 X9                  0         1
X0                 X3                 X6                  0         1
X4                 X7                 X8                  0         1
X4                 X6                 X7                  0         1
X3                 X6                 X9                  0         1
X0                 X5                 X7                  0         1
X3                 X5                 X6                  0         1
X3                 X4                 X8                  0         1
X3                 X4                 X6                  0         1
X1                 X5                 X6                  0         1
X1                 X8                 X9                  0         1
