Input File: reformatted-data/train/hibachi-res_DecisionTreeClassifier_GradientBoostingClassifier-s23529_0.421.txt
Computation options used: -p 999 -r 1425051464 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X2                 X5                 X6                 174.886    0.001
X3                 X5                 X6                 163.175    0.001
X2                 X3                 X5                  59.575    0.001
X5                 X6                 X7                  52.836    0.001
X5                 X6                 X8                  52.832    0.001
X1                 X5                 X6                  49.452    0.001
X0                 X5                 X6                  48.156    0.001
X4                 X5                 X6                  45.938    0.001
X5                 X6                 X9                  42.682    0.001
X3                 X5                 X7                  32.854    0.013
X4                 X7                 X8                  25.633    0.135
X2                 X5                 X7                  24.649    0.189
X4                 X6                 X9                  21.344    0.515
X3                 X5                 X8                  20.537    0.61
X3                 X4                 X7                  18.358    0.843
X4                 X8                 X9                  17.953    0.876
X1                 X3                 X5                  17.947    0.876
X0                 X1                 X8                  17.656    0.894
X1                 X6                 X7                  16.982    0.935
X0                 X6                 X8                  16.894    0.938
X4                 X6                 X8                  16.883    0.938
X3                 X6                 X7                  16.677    0.947
X1                 X4                 X8                  15.592    0.98
X4                 X5                 X8                  15.538    0.981
X0                 X3                 X7                  15.362    0.982
X2                 X3                 X6                  15.251    0.982
X6                 X7                 X8                  15.053    0.985
X2                 X4                 X9                  14.968    0.985
X0                 X4                 X8                  14.522    0.992
X0                 X4                 X6                  14.468    0.992
X1                 X4                 X9                  13.228    1
X6                 X8                 X9                  13.222    1
X2                 X6                 X8                  12.763    1
X1                 X4                 X5                  12.448    1
X0                 X3                 X9                  12.411    1
X1                 X5                 X7                  12.369    1
X0                 X4                 X9                  12.349    1
X2                 X4                 X5                  12.328    1
X2                 X5                 X8                  12.311    1
X3                 X4                 X5                  12.212    1
X2                 X5                 X9                  12.191    1
X1                 X3                 X7                  12.102    1
X4                 X5                 X7                  12.083    1
X1                 X6                 X8                  12.068    1
X4                 X5                 X9                  11.979    1
X1                 X5                 X8                  11.929    1
X2                 X7                 X8                  11.845    1
X0                 X3                 X5                  11.792    1
X2                 X3                 X7                  11.737    1
X0                 X3                 X8                  11.716    1
X1                 X7                 X8                  11.413    1
X5                 X7                 X9                  11.377    1
X0                 X3                 X4                  11.134    1
X0                 X4                 X5                  10.608    1
X3                 X6                 X8                  10.602    1
X3                 X4                 X8                  10.537    1
X0                 X1                 X7                  10.472    1
X3                 X7                 X9                  10.423    1
X2                 X3                 X9                  10.358    1
X0                 X2                 X7                  10.109    1
X0                 X5                 X7                   9.814    1
X2                 X4                 X7                   9.811    1
X0                 X1                 X6                   9.794    1
X2                 X6                 X9                   9.220    1
X0                 X4                 X7                   9.044    1
X2                 X7                 X9                   9.025    1
X2                 X4                 X6                   8.866    1
X1                 X3                 X6                   8.632    1
X2                 X4                 X8                   8.564    1
X2                 X6                 X7                   8.534    1
X1                 X2                 X6                   8.455    1
X4                 X6                 X7                   8.047    1
X1                 X4                 X6                   7.959    1
X5                 X7                 X8                   7.774    1
X1                 X3                 X8                   7.363    1
X1                 X6                 X9                   7.328    1
X0                 X2                 X5                   7.266    1
X1                 X8                 X9                   7.172    1
X3                 X4                 X9                   7.111    1
X1                 X2                 X5                   7.070    1
X0                 X5                 X9                   7.011    1
X0                 X1                 X9                   6.936    1
X0                 X7                 X8                   6.908    1
X0                 X2                 X4                   6.852    1
X3                 X8                 X9                   6.845    1
X0                 X3                 X6                   6.686    1
X0                 X1                 X3                   6.546    1
X3                 X7                 X8                   6.148    1
X3                 X6                 X9                   6.001    1
X0                 X7                 X9                   5.693    1
X0                 X2                 X6                   5.298    1
X0                 X8                 X9                   5.271    1
X1                 X3                 X4                   5.190    1
X1                 X2                 X7                   4.937    1
X3                 X5                 X9                   4.688    1
X7                 X8                 X9                   4.403    1
X4                 X7                 X9                   4.312    1
X5                 X8                 X9                   4.026    1
X1                 X5                 X9                   3.782    1
X6                 X7                 X9                   3.725    1
X0                 X6                 X9                   3.676    1
X2                 X3                 X8                   3.648    1
X2                 X8                 X9                   3.611    1
X1                 X2                 X9                   3.518    1
X0                 X6                 X7                   3.428    1
X1                 X2                 X8                   3.402    1
X0                 X1                 X4                   3.156    1
X1                 X4                 X7                   3.085    1
X2                 X3                 X4                   3.024    1
X0                 X2                 X9                   2.973    1
X1                 X2                 X4                   2.902    1
X0                 X2                 X3                   2.900    1
X0                 X1                 X5                   0        1
X0                 X1                 X2                   0        1
X0                 X2                 X8                   0        1
X0                 X5                 X8                   0        1
X1                 X2                 X3                   0        1
X1                 X3                 X9                   0        1
X1                 X7                 X9                   0        1
X3                 X4                 X6                   0        1
