Input File: reformatted-data/train/hibachi-res_DecisionTreeClassifier_XGBClassifier-s87958_0.407.txt
Computation options used: -p 999 -r 1429118758 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X2                 X5                 X6                 158.495    0.001
X2                 X4                 X5                  73.225    0.001
X2                 X4                 X6                  65.961    0.001
X2                 X4                 X8                  37.065    0.004
X2                 X3                 X4                  35.116    0.005
X2                 X4                 X7                  32.179    0.011
X1                 X2                 X4                  30.39     0.029
X0                 X2                 X4                  26.764    0.118
X2                 X4                 X9                  26.362    0.131
X2                 X5                 X7                  19.031    0.816
X1                 X2                 X6                  17.869    0.909
X0                 X1                 X2                  15.086    0.992
X2                 X5                 X9                  14.957    0.993
X1                 X4                 X9                  14.946    0.993
X4                 X7                 X8                  14.916    0.993
X0                 X4                 X8                  13.905    0.999
X1                 X5                 X6                  13.689    0.999
X1                 X4                 X8                  13.650    0.999
X0                 X2                 X7                  13.531    0.999
X0                 X5                 X7                  12.526    1
X1                 X3                 X8                  12.320    1
X2                 X3                 X7                  11.810    1
X4                 X6                 X8                  11.730    1
X0                 X2                 X5                  11.068    1
X3                 X4                 X8                  10.737    1
X0                 X1                 X6                  10.621    1
X1                 X6                 X9                  10.575    1
X0                 X3                 X7                  10.462    1
X2                 X6                 X9                  10.381    1
X1                 X5                 X8                  10.148    1
X2                 X6                 X8                   9.852    1
X2                 X3                 X9                   9.615    1
X1                 X3                 X5                   9.46     1
X6                 X7                 X8                   9.390    1
X4                 X8                 X9                   9.264    1
X4                 X5                 X8                   9.152    1
X2                 X3                 X6                   9.137    1
X1                 X7                 X9                   9.039    1
X2                 X6                 X7                   8.959    1
X4                 X7                 X9                   8.720    1
X0                 X4                 X5                   8.689    1
X7                 X8                 X9                   8.659    1
X1                 X3                 X4                   8.600    1
X4                 X5                 X7                   8.345    1
X2                 X7                 X9                   8.261    1
X3                 X4                 X7                   8.167    1
X0                 X1                 X5                   7.982    1
X1                 X2                 X5                   7.844    1
X1                 X4                 X6                   7.767    1
X1                 X3                 X7                   7.742    1
X5                 X7                 X8                   7.708    1
X0                 X3                 X6                   7.687    1
X3                 X7                 X8                   7.582    1
X5                 X6                 X7                   7.561    1
X0                 X4                 X6                   7.413    1
X0                 X1                 X8                   7.365    1
X4                 X6                 X7                   7.266    1
X0                 X3                 X5                   7.252    1
X3                 X6                 X8                   7.153    1
X2                 X5                 X8                   7.057    1
X0                 X7                 X8                   7.031    1
X0                 X1                 X7                   6.860    1
X0                 X1                 X9                   6.719    1
X1                 X5                 X9                   6.682    1
X5                 X6                 X8                   6.569    1
X4                 X6                 X9                   6.506    1
X1                 X8                 X9                   6.496    1
X1                 X3                 X6                   6.481    1
X2                 X3                 X5                   6.464    1
X6                 X7                 X9                   6.351    1
X0                 X1                 X4                   5.859    1
X1                 X5                 X7                   5.753    1
X3                 X6                 X7                   5.671    1
X3                 X4                 X6                   5.633    1
X0                 X5                 X6                   5.629    1
X0                 X4                 X7                   5.275    1
X3                 X8                 X9                   5.246    1
X0                 X5                 X8                   4.716    1
X0                 X3                 X4                   4.700    1
X5                 X6                 X9                   4.512    1
X3                 X5                 X7                   4.485    1
X3                 X5                 X6                   4.373    1
X3                 X4                 X9                   4.171    1
X2                 X7                 X8                   4.063    1
X0                 X6                 X8                   4.022    1
X0                 X3                 X9                   4.021    1
X0                 X2                 X6                   3.846    1
X3                 X5                 X9                   3.844    1
X3                 X5                 X8                   3.694    1
X0                 X6                 X7                   3.691    1
X4                 X5                 X6                   3.664    1
X0                 X2                 X8                   3.564    1
X5                 X8                 X9                   3.553    1
X1                 X6                 X8                   3.537    1
X5                 X7                 X9                   3.534    1
X1                 X4                 X7                   3.447    1
X3                 X7                 X9                   3.390    1
X0                 X1                 X3                   3.368    1
X0                 X4                 X9                   3.345    1
X1                 X4                 X5                   3.120    1
X1                 X6                 X7                   3.038    1
X2                 X8                 X9                   2.965    1
X4                 X5                 X9                   2.941    1
X1                 X3                 X9                   2.915    1
X6                 X8                 X9                   2.867    1
X1                 X2                 X7                   2.828    1
X1                 X7                 X8                   2.818    1
X3                 X4                 X5                   2.763    1
X0                 X6                 X9                   2.738    1
X0                 X8                 X9                   2.731    1
X0                 X2                 X9                   2.720    1
X3                 X6                 X9                   2.706    1
X0                 X5                 X9                   0        1
X0                 X7                 X9                   0        1
X1                 X2                 X3                   0        1
X1                 X2                 X8                   0        1
X1                 X2                 X9                   0        1
X0                 X3                 X8                   0        1
X2                 X3                 X8                   0        1
X0                 X2                 X3                   0        1
