Input File: reformatted-data/train/hibachi-res_GaussianNB_XGBClassifier-s20609_0.064.txt
Computation options used: -p 999 -r 1441808043 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X2                 X5                 X9                 29.017     0.043
X4                 X7                 X8                 17.892     0.895
X3                 X8                 X9                 16.939     0.95
X5                 X8                 X9                 15.524     0.99
X2                 X3                 X6                 14.861     0.999
X6                 X8                 X9                 13.427     1
X3                 X7                 X8                 13.367     1
X1                 X3                 X8                 13.169     1
X2                 X8                 X9                 13.054     1
X0                 X1                 X8                 12.737     1
X1                 X4                 X7                 12.727     1
X1                 X6                 X8                 11.792     1
X2                 X3                 X7                 11.639     1
X1                 X8                 X9                 11.355     1
X2                 X3                 X8                 11.285     1
X4                 X6                 X7                 11.259     1
X0                 X8                 X9                 10.904     1
X5                 X6                 X8                 10.539     1
X3                 X6                 X8                 10.507     1
X6                 X7                 X8                 10.363     1
X1                 X7                 X8                 10.362     1
X2                 X4                 X7                 10.359     1
X3                 X4                 X8                 10.161     1
X3                 X4                 X6                 10.156     1
X5                 X6                 X7                  9.884     1
X0                 X5                 X9                  9.834     1
X1                 X5                 X8                  9.651     1
X1                 X4                 X6                  9.551     1
X4                 X8                 X9                  9.395     1
X2                 X7                 X9                  9.286     1
X1                 X3                 X6                  9.277     1
X1                 X5                 X7                  9.162     1
X2                 X5                 X8                  9.114     1
X2                 X3                 X9                  9.104     1
X2                 X4                 X5                  9.039     1
X1                 X4                 X9                  8.976     1
X4                 X6                 X8                  8.850     1
X3                 X7                 X9                  8.762     1
X1                 X3                 X4                  8.731     1
X0                 X3                 X8                  8.596     1
X2                 X5                 X6                  8.482     1
X2                 X6                 X7                  8.261     1
X1                 X2                 X5                  8.237     1
X3                 X5                 X6                  8.226     1
X0                 X5                 X8                  8.128     1
X0                 X2                 X3                  8.126     1
X3                 X4                 X9                  7.981     1
X2                 X3                 X4                  7.880     1
X4                 X5                 X9                  7.877     1
X1                 X4                 X8                  7.726     1
X3                 X5                 X8                  7.719     1
X3                 X5                 X7                  7.679     1
X1                 X4                 X5                  7.574     1
X1                 X6                 X9                  7.539     1
X2                 X3                 X5                  7.498     1
X4                 X6                 X9                  7.481     1
X1                 X6                 X7                  7.450     1
X1                 X3                 X9                  7.386     1
X2                 X6                 X9                  7.371     1
X2                 X4                 X9                  7.237     1
X0                 X1                 X9                  7.159     1
X2                 X7                 X8                  6.797     1
X3                 X4                 X7                  6.671     1
X0                 X7                 X8                  6.580     1
X0                 X2                 X6                  6.501     1
X0                 X6                 X7                  6.416     1
X1                 X5                 X6                  6.381     1
X7                 X8                 X9                  6.323     1
X2                 X4                 X6                  6.321     1
X4                 X5                 X7                  6.084     1
X0                 X1                 X3                  6.083     1
X0                 X1                 X6                  6.021     1
X1                 X2                 X8                  5.999     1
X6                 X7                 X9                  5.995     1
X0                 X4                 X8                  5.916     1
X3                 X6                 X7                  5.868     1
X2                 X5                 X7                  5.837     1
X0                 X3                 X5                  5.813     1
X5                 X7                 X8                  5.664     1
X0                 X6                 X8                  5.553     1
X0                 X2                 X9                  5.521     1
X1                 X2                 X4                  5.468     1
X0                 X2                 X5                  5.405     1
X1                 X3                 X7                  5.225     1
X1                 X2                 X9                  5.151     1
X1                 X3                 X5                  4.792     1
X1                 X2                 X3                  4.418     1
X0                 X1                 X7                  4.276     1
X2                 X4                 X8                  3.868     1
X0                 X3                 X6                  3.767     1
X4                 X7                 X9                  3.687     1
X3                 X6                 X9                  3.666     1
X1                 X2                 X7                  3.553     1
X0                 X5                 X6                  3.533     1
X1                 X7                 X9                  3.383     1
X0                 X3                 X4                  3.377     1
X0                 X4                 X7                  3.183     1
X4                 X5                 X8                  3.172     1
X0                 X1                 X4                  3.128     1
X0                 X4                 X5                  2.973     1
X0                 X4                 X9                  2.905     1
X0                 X7                 X9                  2.888     1
X5                 X6                 X9                  2.819     1
X0                 X6                 X9                  2.806     1
X0                 X5                 X7                  2.715     1
X0                 X1                 X5                  0         1
X1                 X5                 X9                  0         1
X5                 X7                 X9                  0         1
X1                 X2                 X6                  0         1
X2                 X6                 X8                  0         1
X0                 X1                 X2                  0         1
X0                 X2                 X4                  0         1
X3                 X4                 X5                  0         1
X0                 X2                 X7                  0         1
X0                 X2                 X8                  0         1
X4                 X5                 X6                  0         1
X0                 X4                 X6                  0         1
X0                 X3                 X7                  0         1
X0                 X3                 X9                  0         1
X3                 X5                 X9                  0         1
