Input File: reformatted-data/train/hibachi-res_GradientBoostingClassifier_RandomForestClassifier-s34253_0.401.txt
Computation options used: -p 999 -r 1447774528 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X0                 X4                 X7                 768.787    0.001
X1                 X2                 X6                  18.691    0.836
X3                 X5                 X7                  18.577    0.842
X0                 X3                 X9                  16.303    0.973
X0                 X4                 X8                  15.684    0.987
X0                 X7                 X8                  14.644    0.997
X2                 X6                 X9                  14.072    1
X2                 X6                 X7                  13.703    1
X1                 X5                 X7                  13.650    1
X2                 X6                 X8                  13.479    1
X3                 X4                 X5                  13.276    1
X1                 X2                 X5                  12.924    1
X2                 X4                 X8                  12.919    1
X1                 X2                 X4                  12.686    1
X2                 X4                 X5                  12.568    1
X1                 X5                 X6                  12.338    1
X1                 X3                 X7                  12.312    1
X0                 X6                 X9                  12.283    1
X1                 X2                 X7                  11.7      1
X1                 X5                 X8                  11.520    1
X0                 X1                 X5                  11.35     1
X2                 X5                 X6                  11.133    1
X0                 X1                 X3                  10.967    1
X6                 X7                 X9                  10.773    1
X3                 X4                 X7                  10.763    1
X1                 X6                 X7                  10.756    1
X0                 X2                 X7                  10.581    1
X4                 X5                 X7                  10.454    1
X1                 X2                 X8                  10.418    1
X4                 X6                 X9                  10.344    1
X0                 X2                 X8                  10.111    1
X1                 X8                 X9                   9.989    1
X3                 X4                 X8                   9.850    1
X3                 X6                 X9                   9.849    1
X1                 X2                 X9                   9.823    1
X0                 X1                 X4                   9.602    1
X0                 X6                 X7                   9.341    1
X0                 X1                 X7                   9.332    1
X5                 X6                 X8                   9.183    1
X1                 X4                 X7                   9.173    1
X1                 X7                 X8                   9.115    1
X2                 X3                 X6                   9.100    1
X0                 X5                 X7                   8.986    1
X1                 X6                 X9                   8.880    1
X0                 X2                 X6                   8.855    1
X1                 X4                 X9                   8.589    1
X0                 X4                 X9                   8.555    1
X3                 X7                 X9                   8.488    1
X2                 X4                 X6                   8.416    1
X0                 X1                 X8                   8.122    1
X3                 X8                 X9                   8.110    1
X3                 X7                 X8                   7.964    1
X0                 X3                 X7                   7.934    1
X0                 X3                 X5                   7.892    1
X5                 X6                 X7                   7.818    1
X3                 X6                 X7                   7.508    1
X0                 X4                 X5                   7.455    1
X1                 X4                 X5                   7.446    1
X3                 X5                 X9                   7.414    1
X3                 X4                 X9                   7.266    1
X1                 X4                 X6                   7.222    1
X2                 X7                 X8                   7.219    1
X0                 X3                 X8                   7.132    1
X2                 X5                 X7                   7.019    1
X5                 X7                 X8                   6.820    1
X6                 X8                 X9                   6.694    1
X2                 X5                 X8                   6.676    1
X4                 X7                 X9                   6.605    1
X5                 X6                 X9                   6.587    1
X2                 X3                 X8                   6.455    1
X1                 X4                 X8                   6.363    1
X2                 X3                 X7                   6.349    1
X5                 X7                 X9                   6.327    1
X3                 X6                 X8                   6.318    1
X2                 X4                 X9                   6.316    1
X2                 X4                 X7                   6.265    1
X0                 X5                 X8                   6.243    1
X0                 X2                 X9                   6.240    1
X0                 X2                 X3                   6.202    1
X0                 X1                 X6                   6.075    1
X1                 X6                 X8                   6.055    1
X4                 X8                 X9                   5.864    1
X6                 X7                 X8                   5.618    1
X0                 X2                 X4                   5.535    1
X0                 X3                 X6                   5.414    1
X0                 X1                 X9                   5.376    1
X4                 X5                 X8                   5.329    1
X4                 X6                 X8                   5.294    1
X1                 X2                 X3                   5.077    1
X0                 X7                 X9                   4.648    1
X2                 X5                 X9                   4.633    1
X0                 X5                 X9                   4.459    1
X3                 X5                 X8                   4.278    1
X4                 X7                 X8                   4.149    1
X0                 X4                 X6                   4.051    1
X1                 X7                 X9                   4.035    1
X0                 X8                 X9                   3.803    1
X1                 X3                 X9                   3.638    1
X0                 X2                 X5                   3.605    1
X1                 X3                 X5                   3.576    1
X2                 X3                 X4                   3.531    1
X2                 X8                 X9                   3.360    1
X1                 X3                 X4                   3.359    1
X1                 X3                 X6                   3.335    1
X0                 X6                 X8                   3.288    1
X2                 X3                 X9                   3.228    1
X2                 X3                 X5                   3.164    1
X0                 X5                 X6                   3.090    1
X3                 X5                 X6                   3.060    1
X5                 X8                 X9                   2.858    1
X4                 X6                 X7                   2.776    1
X2                 X7                 X9                   2.746    1
X1                 X3                 X8                   2.721    1
X7                 X8                 X9                   0        1
X4                 X5                 X9                   0        1
X4                 X5                 X6                   0        1
X3                 X4                 X6                   0        1
X1                 X5                 X9                   0        1
X0                 X3                 X4                   0        1
X0                 X1                 X2                   0        1
