Input File: reformatted-data/train/hibachi-res_KNeighborsClassifier_LogisticRegression-s83070_0.589.txt
Computation options used: -p 999 -r 1453018312 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X4                 X8                 X9                 74.418     0.001
X2                 X4                 X9                 42.501     0.001
X4                 X7                 X9                 31.094     0.026
X4                 X5                 X9                 28.210     0.067
X0                 X4                 X9                 26.014     0.152
X3                 X4                 X8                 24.717     0.214
X0                 X3                 X4                 24.717     0.214
X2                 X3                 X4                 23.332     0.325
X0                 X2                 X4                 23.187     0.331
X4                 X6                 X9                 21.591     0.505
X3                 X4                 X9                 19.499     0.743
X4                 X5                 X8                 18.881     0.806
X2                 X4                 X6                 17.328     0.922
X0                 X3                 X7                 16.628     0.952
X2                 X4                 X5                 16.348     0.964
X3                 X4                 X7                 15.586     0.984
X1                 X3                 X4                 15.489     0.988
X2                 X4                 X8                 14.468     0.999
X1                 X2                 X4                 14.457     0.999
X3                 X4                 X5                 14.286     1
X3                 X5                 X7                 14.251     1
X5                 X6                 X8                 13.819     1
X0                 X5                 X6                 13.030     1
X3                 X4                 X6                 12.737     1
X4                 X5                 X7                 12.108     1
X4                 X6                 X8                 12.032     1
X0                 X7                 X8                 11.991     1
X1                 X3                 X7                 11.173     1
X4                 X7                 X8                 10.948     1
X1                 X4                 X8                 10.712     1
X5                 X7                 X8                 10.661     1
X4                 X5                 X6                 10.656     1
X2                 X4                 X7                 10.081     1
X3                 X7                 X8                  9.695     1
X1                 X4                 X9                  9.599     1
X2                 X3                 X8                  9.354     1
X0                 X1                 X8                  9.04      1
X0                 X4                 X6                  8.996     1
X0                 X1                 X3                  8.908     1
X0                 X1                 X5                  8.773     1
X0                 X1                 X7                  8.753     1
X1                 X4                 X5                  8.392     1
X1                 X3                 X8                  8.381     1
X1                 X4                 X6                  8.043     1
X3                 X5                 X8                  7.926     1
X2                 X5                 X8                  7.846     1
X0                 X5                 X7                  7.838     1
X0                 X5                 X9                  7.838     1
X1                 X6                 X7                  7.683     1
X1                 X6                 X8                  7.651     1
X6                 X7                 X9                  7.543     1
X0                 X3                 X6                  7.457     1
X2                 X3                 X7                  7.428     1
X6                 X7                 X8                  7.359     1
X0                 X4                 X5                  7.31      1
X0                 X5                 X8                  7.142     1
X0                 X1                 X4                  6.972     1
X1                 X5                 X6                  6.962     1
X1                 X3                 X5                  6.776     1
X0                 X6                 X7                  6.740     1
X2                 X3                 X6                  6.667     1
X1                 X7                 X9                  6.513     1
X1                 X7                 X8                  6.454     1
X1                 X5                 X7                  6.338     1
X0                 X3                 X9                  6.164     1
X2                 X6                 X8                  6.096     1
X0                 X1                 X6                  6.060     1
X1                 X2                 X3                  5.947     1
X1                 X5                 X8                  5.747     1
X0                 X6                 X8                  5.730     1
X0                 X1                 X9                  5.565     1
X0                 X4                 X7                  5.539     1
X3                 X6                 X8                  5.463     1
X0                 X8                 X9                  5.320     1
X3                 X6                 X7                  5.197     1
X0                 X2                 X9                  5.101     1
X2                 X5                 X7                  4.937     1
X0                 X3                 X8                  4.923     1
X1                 X4                 X7                  4.888     1
X1                 X2                 X5                  4.719     1
X0                 X2                 X5                  4.664     1
X0                 X6                 X9                  4.655     1
X0                 X4                 X8                  4.630     1
X2                 X5                 X6                  4.618     1
X5                 X6                 X7                  4.418     1
X0                 X3                 X5                  4.118     1
X0                 X1                 X2                  3.966     1
X2                 X6                 X7                  3.903     1
X3                 X7                 X9                  3.861     1
X6                 X8                 X9                  3.802     1
X3                 X6                 X9                  3.706     1
X3                 X5                 X9                  3.612     1
X0                 X2                 X7                  3.599     1
X7                 X8                 X9                  3.589     1
X5                 X6                 X9                  3.581     1
X2                 X3                 X5                  3.420     1
X1                 X2                 X9                  3.418     1
X1                 X2                 X6                  3.392     1
X1                 X6                 X9                  3.315     1
X5                 X8                 X9                  3.230     1
X1                 X3                 X9                  3.204     1
X1                 X5                 X9                  3.101     1
X2                 X7                 X8                  3.097     1
X3                 X5                 X6                  2.972     1
X1                 X2                 X7                  2.868     1
X2                 X3                 X9                  2.790     1
X0                 X2                 X3                  0         1
X0                 X2                 X6                  0         1
X0                 X2                 X8                  0         1
X0                 X7                 X9                  0         1
X5                 X7                 X9                  0         1
X2                 X8                 X9                  0         1
X2                 X7                 X9                  0         1
X1                 X2                 X8                  0         1
X2                 X6                 X9                  0         1
X1                 X3                 X6                  0         1
X3                 X8                 X9                  0         1
X2                 X5                 X9                  0         1
X4                 X6                 X7                  0         1
X1                 X8                 X9                  0         1
