Input File: reformatted-data/train/hibachi-res_LogisticRegression_KNeighborsClassifier-s1200_0.075.txt
Computation options used: -p 999 -r 1459253709 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X1                 X4                 X5                 27.873     0.076
X1                 X7                 X8                 24.697     0.209
X1                 X5                 X7                 22.112     0.427
X0                 X1                 X5                 20.509     0.588
X1                 X5                 X8                 19.079     0.753
X1                 X4                 X8                 18.748     0.783
X1                 X2                 X5                 18.014     0.847
X0                 X4                 X5                 17.226     0.906
X1                 X5                 X6                 16.399     0.961
X2                 X4                 X7                 15.524     0.977
X1                 X3                 X5                 14.599     0.99
X0                 X5                 X6                 14.489     0.991
X0                 X6                 X7                 14.237     0.993
X0                 X3                 X4                 13.866     0.994
X1                 X5                 X9                 13.778     0.994
X1                 X3                 X7                 12.877     0.998
X7                 X8                 X9                 11.990     0.999
X1                 X3                 X4                 11.731     0.999
X2                 X4                 X5                 11.386     1
X1                 X2                 X4                 11.226     1
X1                 X6                 X8                 11.061     1
X0                 X4                 X6                 10.924     1
X0                 X4                 X9                 10.467     1
X2                 X5                 X6                 10.398     1
X3                 X4                 X8                 10.326     1
X2                 X7                 X8                 10.212     1
X1                 X4                 X6                 10.078     1
X0                 X1                 X4                 10.059     1
X2                 X3                 X4                  9.818     1
X0                 X5                 X9                  9.614     1
X0                 X4                 X8                  9.579     1
X1                 X2                 X3                  9.534     1
X5                 X6                 X9                  9.483     1
X1                 X4                 X9                  9.378     1
X1                 X6                 X9                  9.096     1
X2                 X4                 X9                  9.069     1
X0                 X6                 X8                  8.650     1
X2                 X6                 X7                  8.299     1
X2                 X6                 X8                  8.261     1
X0                 X2                 X4                  8.083     1
X0                 X2                 X8                  7.866     1
X1                 X3                 X8                  7.809     1
X4                 X7                 X9                  7.732     1
X1                 X3                 X6                  7.708     1
X6                 X7                 X9                  7.577     1
X0                 X6                 X9                  7.350     1
X0                 X3                 X5                  7.296     1
X0                 X1                 X8                  7.035     1
X0                 X5                 X8                  6.917     1
X3                 X4                 X7                  6.794     1
X0                 X3                 X8                  6.780     1
X2                 X3                 X6                  6.719     1
X2                 X6                 X9                  6.563     1
X4                 X5                 X7                  6.388     1
X1                 X2                 X8                  6.366     1
X2                 X5                 X9                  6.365     1
X5                 X6                 X8                  6.316     1
X2                 X5                 X7                  6.268     1
X0                 X1                 X7                  6.234     1
X6                 X7                 X8                  6.186     1
X0                 X2                 X6                  6.136     1
X6                 X8                 X9                  6.104     1
X3                 X5                 X8                  6.003     1
X5                 X8                 X9                  5.875     1
X0                 X4                 X7                  5.844     1
X3                 X8                 X9                  5.802     1
X4                 X6                 X9                  5.682     1
X3                 X7                 X9                  5.658     1
X5                 X7                 X9                  5.628     1
X2                 X3                 X9                  5.371     1
X1                 X6                 X7                  5.249     1
X0                 X2                 X5                  5.213     1
X1                 X2                 X6                  4.965     1
X4                 X5                 X8                  4.963     1
X0                 X5                 X7                  4.686     1
X3                 X5                 X9                  4.614     1
X5                 X6                 X7                  4.417     1
X1                 X3                 X9                  4.290     1
X2                 X3                 X5                  4.225     1
X0                 X7                 X8                  4.162     1
X2                 X5                 X8                  4.042     1
X0                 X1                 X9                  4.027     1
X2                 X4                 X8                  3.915     1
X0                 X2                 X7                  3.909     1
X0                 X8                 X9                  3.828     1
X0                 X1                 X2                  3.776     1
X1                 X4                 X7                  3.735     1
X2                 X8                 X9                  3.693     1
X4                 X5                 X9                  3.684     1
X4                 X6                 X7                  3.646     1
X0                 X1                 X6                  3.621     1
X3                 X4                 X6                  3.564     1
X4                 X7                 X8                  3.350     1
X3                 X7                 X8                  3.348     1
X0                 X1                 X3                  3.333     1
X5                 X7                 X8                  3.331     1
X3                 X6                 X7                  3.301     1
X3                 X6                 X8                  3.274     1
X0                 X2                 X9                  3.209     1
X0                 X7                 X9                  3.207     1
X1                 X7                 X9                  3.176     1
X2                 X3                 X7                  3.165     1
X3                 X4                 X5                  3.107     1
X4                 X5                 X6                  3.099     1
X1                 X8                 X9                  2.980     1
X1                 X2                 X9                  2.873     1
X0                 X2                 X3                  2.862     1
X0                 X3                 X6                  2.715     1
X0                 X3                 X9                  0         1
X1                 X2                 X7                  0         1
X2                 X7                 X9                  0         1
X0                 X3                 X7                  0         1
X4                 X8                 X9                  0         1
X4                 X6                 X8                  0         1
X2                 X3                 X8                  0         1
X3                 X6                 X9                  0         1
X2                 X4                 X6                  0         1
X3                 X5                 X7                  0         1
X3                 X5                 X6                  0         1
X3                 X4                 X9                  0         1
