Input File: reformatted-data/train/hibachi-res_LogisticRegression_RandomForestClassifier-s46163_0.073.txt
Computation options used: -p 999 -r 1460867181 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X5                 X6                 X8                 28.200     0.073
X0                 X6                 X9                 19.154     0.758
X1                 X5                 X6                 16.637     0.961
X0                 X1                 X2                 14.698     0.998
X3                 X6                 X8                 13.9       1
X1                 X4                 X5                 13.553     1
X3                 X5                 X8                 13.281     1
X0                 X5                 X6                 13.147     1
X2                 X5                 X6                 12.789     1
X2                 X4                 X9                 12.556     1
X1                 X5                 X8                 12.523     1
X6                 X7                 X8                 11.968     1
X1                 X2                 X7                 11.870     1
X0                 X2                 X9                 11.513     1
X3                 X5                 X6                 10.880     1
X0                 X6                 X8                 10.840     1
X5                 X7                 X9                 10.636     1
X4                 X6                 X8                 10.379     1
X2                 X8                 X9                 10.040     1
X2                 X5                 X7                 10         1
X2                 X4                 X5                  9.738     1
X3                 X7                 X9                  9.651     1
X4                 X5                 X6                  8.981     1
X1                 X6                 X8                  8.893     1
X4                 X5                 X9                  8.877     1
X3                 X6                 X7                  8.799     1
X1                 X3                 X5                  8.770     1
X1                 X2                 X8                  8.635     1
X1                 X4                 X9                  8.574     1
X4                 X5                 X7                  8.387     1
X5                 X6                 X7                  8.293     1
X1                 X2                 X5                  8.245     1
X2                 X5                 X9                  7.963     1
X3                 X8                 X9                  7.928     1
X4                 X6                 X7                  7.923     1
X1                 X3                 X8                  7.815     1
X3                 X4                 X7                  7.789     1
X3                 X4                 X6                  7.573     1
X3                 X4                 X9                  7.409     1
X1                 X4                 X8                  7.352     1
X2                 X3                 X6                  7.347     1
X1                 X2                 X4                  7.225     1
X3                 X4                 X8                  7.183     1
X2                 X3                 X4                  7.141     1
X4                 X5                 X8                  7.011     1
X1                 X2                 X3                  6.783     1
X0                 X2                 X6                  6.592     1
X1                 X2                 X9                  6.590     1
X1                 X4                 X6                  6.556     1
X0                 X5                 X9                  6.552     1
X2                 X6                 X7                  6.547     1
X0                 X4                 X5                  6.520     1
X2                 X4                 X6                  6.431     1
X0                 X1                 X5                  6.366     1
X2                 X7                 X9                  6.297     1
X3                 X6                 X9                  6.284     1
X1                 X2                 X6                  6.095     1
X2                 X3                 X9                  5.920     1
X4                 X7                 X9                  5.719     1
X0                 X2                 X7                  5.416     1
X4                 X8                 X9                  5.411     1
X2                 X7                 X8                  5.391     1
X1                 X3                 X4                  5.349     1
X2                 X3                 X8                  5.347     1
X2                 X6                 X8                  5.258     1
X6                 X7                 X9                  5.236     1
X0                 X3                 X4                  5.123     1
X2                 X4                 X8                  4.847     1
X0                 X3                 X9                  4.815     1
X2                 X5                 X8                  4.736     1
X5                 X7                 X8                  4.523     1
X0                 X3                 X8                  4.513     1
X0                 X1                 X9                  4.464     1
X1                 X3                 X6                  4.338     1
X0                 X8                 X9                  4.191     1
X2                 X4                 X7                  4.017     1
X3                 X7                 X8                  3.926     1
X1                 X4                 X7                  3.909     1
X0                 X7                 X9                  3.799     1
X1                 X7                 X9                  3.647     1
X5                 X6                 X9                  3.591     1
X0                 X1                 X4                  3.422     1
X7                 X8                 X9                  3.291     1
X1                 X3                 X7                  3.234     1
X4                 X7                 X8                  3.127     1
X0                 X1                 X8                  3.101     1
X0                 X2                 X8                  3.071     1
X3                 X5                 X7                  2.955     1
X5                 X8                 X9                  2.939     1
X1                 X8                 X9                  2.908     1
X1                 X6                 X7                  2.867     1
X0                 X4                 X6                  2.84      1
X0                 X4                 X9                  2.825     1
X0                 X3                 X6                  2.755     1
X0                 X3                 X7                  0         1
X4                 X6                 X9                  0         1
X0                 X3                 X5                  0         1
X0                 X2                 X5                  0         1
X0                 X2                 X4                  0         1
X0                 X2                 X3                  0         1
X0                 X1                 X7                  0         1
X0                 X1                 X6                  0         1
X6                 X8                 X9                  0         1
X0                 X1                 X3                  0         1
X0                 X4                 X7                  0         1
X0                 X4                 X8                  0         1
X0                 X5                 X7                  0         1
X0                 X5                 X8                  0         1
X0                 X6                 X7                  0         1
X0                 X7                 X8                  0         1
X1                 X3                 X9                  0         1
X1                 X5                 X7                  0         1
X3                 X5                 X9                  0         1
X1                 X5                 X9                  0         1
X1                 X6                 X9                  0         1
X1                 X7                 X8                  0         1
X2                 X3                 X5                  0         1
X3                 X4                 X5                  0         1
X2                 X3                 X7                  0         1
X2                 X6                 X9                  0         1
