Input File: reformatted-data/train/hibachi-res_RandomForestClassifier_GradientBoostingClassifier-s16277_0.419.txt
Computation options used: -p 999 -r 1471741310 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X1                 X4                 X8                 386.446    0.001
X0                 X1                 X8                 264.526    0.001
X1                 X6                 X8                  70.878    0.001
X1                 X8                 X9                  67.607    0.001
X1                 X5                 X8                  66.965    0.001
X1                 X2                 X8                  64.867    0.001
X1                 X3                 X8                  64.382    0.001
X1                 X7                 X8                  57.505    0.001
X0                 X7                 X8                  39.848    0.001
X0                 X3                 X8                  31.044    0.018
X0                 X4                 X8                  27.169    0.075
X6                 X7                 X8                  25.196    0.174
X0                 X2                 X8                  22.973    0.342
X0                 X8                 X9                  22.520    0.379
X0                 X6                 X8                  21.147    0.525
X3                 X7                 X9                  20.752    0.574
X0                 X3                 X6                  18.489    0.833
X5                 X6                 X7                  17.211    0.929
X3                 X5                 X7                  17.035    0.934
X2                 X6                 X7                  16.943    0.935
X0                 X5                 X8                  16.642    0.952
X0                 X7                 X9                  16.426    0.966
X3                 X6                 X7                  15.762    0.982
X0                 X6                 X7                  15.261    0.989
X4                 X6                 X7                  15.111    0.989
X0                 X2                 X6                  14.154    0.995
X4                 X7                 X8                  14.120    0.995
X1                 X5                 X9                  13.752    0.999
X4                 X5                 X9                  13.604    0.999
X0                 X4                 X7                  13.130    1
X2                 X5                 X8                  12.854    1
X0                 X6                 X9                  12.78     1
X1                 X2                 X5                  12.633    1
X6                 X7                 X9                  12.621    1
X2                 X5                 X7                  12.466    1
X2                 X3                 X6                  12.388    1
X3                 X4                 X7                  12.133    1
X7                 X8                 X9                  11.759    1
X0                 X1                 X2                  11.744    1
X0                 X3                 X7                  11.631    1
X1                 X5                 X7                  11.447    1
X4                 X7                 X9                  11.266    1
X4                 X5                 X6                  11.092    1
X3                 X6                 X8                  11.088    1
X2                 X6                 X8                  11.017    1
X0                 X5                 X6                  10.860    1
X1                 X7                 X9                  10.850    1
X0                 X1                 X3                   9.889    1
X2                 X6                 X9                   9.779    1
X1                 X6                 X7                   9.525    1
X3                 X5                 X6                   9.448    1
X1                 X5                 X6                   9.388    1
X0                 X3                 X4                   9.376    1
X1                 X3                 X4                   9.320    1
X4                 X5                 X7                   9.069    1
X1                 X4                 X5                   9.056    1
X2                 X7                 X9                   8.937    1
X2                 X4                 X5                   8.614    1
X0                 X5                 X7                   8.572    1
X5                 X7                 X9                   8.503    1
X2                 X4                 X7                   8.078    1
X5                 X6                 X9                   8.063    1
X0                 X3                 X9                   7.855    1
X1                 X3                 X6                   7.494    1
X4                 X5                 X8                   7.303    1
X3                 X4                 X8                   7.132    1
X2                 X5                 X9                   6.924    1
X3                 X4                 X6                   6.905    1
X1                 X2                 X3                   6.883    1
X0                 X1                 X5                   6.880    1
X2                 X5                 X6                   6.740    1
X3                 X5                 X9                   6.725    1
X5                 X6                 X8                   6.652    1
X2                 X4                 X6                   6.588    1
X0                 X1                 X4                   6.433    1
X1                 X3                 X9                   6.419    1
X1                 X2                 X9                   6.110    1
X4                 X6                 X8                   6.015    1
X0                 X2                 X7                   5.802    1
X2                 X3                 X4                   5.738    1
X1                 X6                 X9                   5.567    1
X0                 X4                 X6                   5.174    1
X6                 X8                 X9                   4.993    1
X3                 X8                 X9                   4.931    1
X2                 X3                 X7                   4.871    1
X0                 X5                 X9                   4.848    1
X0                 X1                 X9                   4.728    1
X0                 X2                 X5                   4.699    1
X3                 X4                 X9                   4.597    1
X4                 X8                 X9                   4.533    1
X3                 X6                 X9                   4.499    1
X4                 X6                 X9                   4.454    1
X0                 X4                 X9                   4.344    1
X2                 X7                 X8                   4.120    1
X2                 X4                 X8                   3.944    1
X1                 X3                 X7                   3.685    1
X2                 X8                 X9                   3.653    1
X2                 X3                 X5                   3.641    1
X0                 X1                 X6                   3.594    1
X1                 X2                 X6                   3.489    1
X3                 X4                 X5                   3.355    1
X1                 X3                 X5                   3.207    1
X3                 X5                 X8                   3.191    1
X0                 X2                 X3                   3.087    1
X1                 X4                 X7                   3.084    1
X1                 X4                 X9                   3.051    1
X5                 X8                 X9                   2.992    1
X0                 X1                 X7                   2.937    1
X0                 X2                 X4                   2.921    1
X2                 X4                 X9                   2.862    1
X5                 X7                 X8                   0        1
X3                 X7                 X8                   0        1
X0                 X2                 X9                   0        1
X0                 X3                 X5                   0        1
X2                 X3                 X9                   0        1
X2                 X3                 X8                   0        1
X0                 X4                 X5                   0        1
X1                 X4                 X6                   0        1
X1                 X2                 X7                   0        1
X1                 X2                 X4                   0        1
