Input File: reformatted-data/train/hibachi-res_RandomForestClassifier_LogisticRegression-s56645_0.590.txt
Computation options used: -p 999 -r 1473337975 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X1                 X4                 X6                 513.361    0.001
X1                 X4                 X7                 321.615    0.001
X1                 X4                 X9                 312.026    0.001
X0                 X1                 X4                 308.349    0.001
X1                 X4                 X8                 306.617    0.001
X1                 X4                 X5                 295.453    0.001
X1                 X3                 X4                 294.342    0.001
X1                 X2                 X4                 293.658    0.001
X1                 X6                 X7                 155.941    0.001
X1                 X6                 X8                 147.176    0.001
X1                 X6                 X9                 132.571    0.001
X0                 X1                 X6                 121.237    0.001
X1                 X5                 X6                 115.525    0.001
X1                 X2                 X6                 114.657    0.001
X1                 X3                 X6                 107.654    0.001
X1                 X7                 X9                  20.320    0.638
X2                 X3                 X8                  15.522    0.987
X1                 X7                 X8                  15.219    0.993
X1                 X5                 X7                  15.013    0.993
X0                 X2                 X5                  14.180    0.999
X5                 X6                 X9                  13.995    0.999
X3                 X6                 X9                  13.529    0.999
X2                 X7                 X8                  13.313    0.999
X0                 X2                 X4                  13.042    0.999
X2                 X5                 X8                  12.383    1
X4                 X7                 X8                  12.333    1
X4                 X5                 X8                  12.323    1
X1                 X3                 X9                  12.244    1
X5                 X8                 X9                  11.218    1
X3                 X6                 X8                  11.004    1
X6                 X7                 X9                  10.891    1
X2                 X4                 X5                  10.827    1
X2                 X4                 X8                  10.593    1
X3                 X5                 X9                  10.423    1
X3                 X5                 X8                  10.334    1
X0                 X2                 X8                  10.219    1
X2                 X4                 X9                  10.193    1
X4                 X6                 X8                  10.081    1
X1                 X5                 X9                   9.831    1
X3                 X5                 X6                   9.816    1
X0                 X4                 X5                   9.756    1
X0                 X4                 X9                   9.719    1
X3                 X7                 X9                   9.675    1
X1                 X2                 X8                   9.522    1
X0                 X3                 X6                   9.281    1
X5                 X6                 X7                   9.126    1
X0                 X4                 X7                   9.100    1
X2                 X6                 X9                   8.969    1
X0                 X6                 X9                   8.962    1
X3                 X8                 X9                   8.784    1
X2                 X4                 X7                   8.708    1
X5                 X7                 X9                   8.696    1
X0                 X2                 X6                   8.578    1
X1                 X8                 X9                   8.499    1
X0                 X5                 X6                   8.391    1
X0                 X4                 X8                   8.372    1
X0                 X4                 X6                   8.343    1
X0                 X3                 X4                   8.091    1
X5                 X6                 X8                   8.039    1
X1                 X2                 X3                   7.989    1
X1                 X3                 X7                   7.946    1
X4                 X5                 X7                   7.648    1
X0                 X5                 X9                   7.567    1
X0                 X2                 X7                   7.408    1
X3                 X4                 X8                   7.255    1
X4                 X5                 X9                   7.151    1
X4                 X8                 X9                   7.107    1
X4                 X5                 X6                   7.080    1
X1                 X5                 X8                   6.935    1
X2                 X3                 X9                   6.862    1
X3                 X5                 X7                   6.788    1
X1                 X2                 X5                   6.453    1
X0                 X3                 X5                   6.374    1
X6                 X8                 X9                   6.347    1
X1                 X2                 X7                   6.226    1
X0                 X1                 X7                   6.160    1
X0                 X1                 X5                   6.144    1
X0                 X1                 X3                   6.130    1
X0                 X5                 X8                   5.849    1
X2                 X8                 X9                   5.722    1
X2                 X6                 X8                   5.592    1
X2                 X6                 X7                   5.558    1
X0                 X5                 X7                   5.361    1
X3                 X7                 X8                   5.156    1
X0                 X2                 X9                   5.053    1
X2                 X3                 X5                   5.027    1
X6                 X7                 X8                   4.867    1
X4                 X6                 X7                   4.728    1
X1                 X3                 X5                   4.665    1
X2                 X5                 X7                   4.389    1
X0                 X1                 X8                   4.385    1
X2                 X5                 X6                   4.187    1
X2                 X5                 X9                   4.176    1
X0                 X2                 X3                   4.069    1
X4                 X7                 X9                   4.031    1
X1                 X2                 X9                   4.001    1
X2                 X3                 X6                   3.925    1
X0                 X7                 X8                   3.918    1
X2                 X7                 X9                   3.755    1
X3                 X6                 X7                   3.572    1
X3                 X4                 X5                   3.551    1
X3                 X4                 X6                   3.420    1
X0                 X1                 X9                   3.362    1
X0                 X6                 X7                   3.226    1
X0                 X6                 X8                   3.207    1
X5                 X7                 X8                   3.173    1
X0                 X7                 X9                   3.082    1
X0                 X1                 X2                   3.017    1
X3                 X4                 X9                   2.988    1
X4                 X6                 X9                   2.905    1
X0                 X8                 X9                   2.773    1
X1                 X3                 X8                   2.764    1
X2                 X4                 X6                   2.721    1
X0                 X3                 X9                   2.720    1
X2                 X3                 X4                   2.718    1
X3                 X4                 X7                   0        1
X2                 X3                 X7                   0        1
X0                 X3                 X8                   0        1
X0                 X3                 X7                   0        1
X7                 X8                 X9                   0        1
