Input File: reformatted-data/train/hibachi-res_XGBClassifier_BernoulliNB-s27534_0.607.txt
Computation options used: -p 999 -r 1475371622 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X1                 X6                 X9                 753.356    0.001
X1                 X4                 X9                 726.414    0.001
X1                 X3                 X9                 726.372    0.001
X1                 X2                 X9                 726.271    0.001
X1                 X5                 X9                 726.177    0.001
X1                 X8                 X9                 726.098    0.001
X0                 X1                 X9                 725.848    0.001
X1                 X7                 X9                 725.77     0.001
X1                 X6                 X7                  28.968    0.053
X0                 X3                 X7                  21.559    0.486
X6                 X7                 X9                  20.407    0.617
X4                 X6                 X9                  19.249    0.754
X2                 X4                 X7                  18.984    0.778
X1                 X3                 X6                  18.822    0.791
X1                 X6                 X8                  18.662    0.8
X5                 X6                 X7                  17.911    0.874
X3                 X4                 X5                  16.567    0.952
X0                 X6                 X9                  15.847    0.971
X1                 X4                 X6                  15.317    0.986
X0                 X2                 X9                  14.391    0.998
X6                 X8                 X9                  13.736    0.999
X3                 X6                 X9                  13.584    1
X0                 X8                 X9                  13.446    1
X5                 X6                 X9                  13.279    1
X0                 X7                 X9                  13.229    1
X4                 X8                 X9                  13.181    1
X2                 X6                 X9                  13.139    1
X0                 X4                 X9                  12.054    1
X0                 X5                 X9                  11.851    1
X1                 X4                 X7                  11.787    1
X0                 X1                 X6                  11.473    1
X0                 X6                 X7                  11.423    1
X1                 X3                 X8                  11.406    1
X1                 X2                 X7                  11.315    1
X4                 X5                 X7                  11.177    1
X4                 X5                 X6                  10.934    1
X0                 X4                 X7                  10.724    1
X1                 X5                 X6                  10.556    1
X3                 X5                 X6                  10.490    1
X4                 X7                 X9                  10.404    1
X7                 X8                 X9                  10.342    1
X0                 X1                 X4                  10.234    1
X4                 X5                 X9                   9.85     1
X2                 X8                 X9                   9.778    1
X2                 X4                 X9                   9.139    1
X2                 X7                 X8                   9.082    1
X3                 X8                 X9                   9.030    1
X0                 X5                 X6                   8.997    1
X1                 X4                 X8                   8.979    1
X0                 X3                 X9                   8.826    1
X3                 X5                 X7                   8.729    1
X3                 X7                 X9                   8.652    1
X4                 X6                 X8                   8.634    1
X2                 X5                 X8                   8.623    1
X0                 X7                 X8                   8.519    1
X2                 X3                 X4                   8.492    1
X1                 X2                 X8                   8.263    1
X0                 X5                 X7                   8.209    1
X3                 X4                 X9                   8.187    1
X5                 X7                 X8                   8.076    1
X1                 X5                 X8                   8.073    1
X1                 X5                 X7                   7.897    1
X2                 X3                 X7                   7.840    1
X0                 X3                 X5                   7.643    1
X4                 X6                 X7                   7.586    1
X1                 X3                 X5                   7.514    1
X5                 X8                 X9                   7.489    1
X3                 X5                 X9                   7.313    1
X0                 X1                 X2                   7.313    1
X2                 X5                 X7                   7.264    1
X2                 X7                 X9                   7.258    1
X1                 X2                 X6                   6.542    1
X2                 X4                 X8                   6.469    1
X0                 X2                 X7                   5.864    1
X2                 X6                 X7                   5.703    1
X0                 X4                 X6                   5.698    1
X0                 X1                 X7                   5.617    1
X3                 X4                 X8                   5.543    1
X1                 X7                 X8                   5.494    1
X3                 X4                 X7                   5.448    1
X2                 X4                 X5                   5.076    1
X1                 X2                 X4                   5.012    1
X1                 X3                 X7                   4.949    1
X1                 X2                 X5                   4.852    1
X4                 X7                 X8                   4.682    1
X2                 X4                 X6                   4.611    1
X3                 X4                 X6                   4.371    1
X3                 X7                 X8                   4.141    1
X2                 X6                 X8                   3.971    1
X2                 X3                 X5                   3.904    1
X2                 X3                 X8                   3.736    1
X0                 X1                 X3                   3.578    1
X0                 X2                 X5                   3.431    1
X2                 X5                 X9                   3.398    1
X0                 X4                 X5                   3.213    1
X3                 X5                 X8                   3.125    1
X5                 X7                 X9                   3.113    1
X0                 X2                 X8                   3.010    1
X2                 X3                 X6                   3.005    1
X2                 X5                 X6                   2.948    1
X0                 X3                 X6                   2.943    1
X1                 X4                 X5                   2.887    1
X0                 X3                 X4                   2.878    1
X6                 X7                 X8                   2.836    1
X3                 X6                 X8                   2.815    1
X0                 X1                 X5                   2.806    1
X5                 X6                 X8                   2.751    1
X0                 X2                 X3                   2.722    1
X0                 X1                 X8                   2.716    1
X1                 X3                 X4                   0        1
X0                 X2                 X4                   0        1
X1                 X2                 X3                   0        1
X4                 X5                 X8                   0        1
X0                 X2                 X6                   0        1
X0                 X6                 X8                   0        1
X0                 X5                 X8                   0        1
X3                 X6                 X7                   0        1
X0                 X4                 X8                   0        1
X0                 X3                 X8                   0        1
X2                 X3                 X9                   0        1
