Input File: reformatted-data/train/hibachi-res_XGBClassifier_GaussianNB-s54525_0.594.txt
Computation options used: -p 999 -r 1477690988 -m 10 -a CODOMINANT -mt gammaMAXT -d 3D  -x 0.1
First Marker       Second Marker      Third Marker       Chi-square p-value
X0                 X7                 X8                 761.597    0.001
X0                 X2                 X8                 761.389    0.001
X0                 X4                 X8                 761.249    0.001
X0                 X3                 X8                 761.172    0.001
X0                 X5                 X8                 761.126    0.001
X0                 X6                 X8                 761.108    0.001
X0                 X1                 X8                 761.102    0.001
X0                 X8                 X9                 761.035    0.001
X0                 X4                 X9                  19.688    0.695
X3                 X4                 X8                  18.108    0.867
X1                 X4                 X8                  17.158    0.93
X0                 X5                 X9                  16.667    0.958
X1                 X3                 X4                  16.654    0.958
X4                 X7                 X9                  16.175    0.975
X5                 X6                 X8                  15.801    0.982
X6                 X7                 X9                  15.785    0.982
X0                 X3                 X6                  15.576    0.986
X4                 X6                 X8                  15.071    0.991
X0                 X7                 X9                  14.859    0.992
X0                 X4                 X6                  14.374    0.997
X2                 X5                 X8                  14.029    0.999
X1                 X3                 X5                  13.882    0.999
X0                 X5                 X6                  13.521    0.999
X3                 X7                 X9                  13.453    0.999
X3                 X6                 X8                  13.349    1
X2                 X4                 X9                  13.037    1
X0                 X1                 X3                  12.554    1
X0                 X6                 X7                  12.451    1
X5                 X7                 X9                  12.327    1
X1                 X6                 X8                  12.150    1
X3                 X4                 X9                  12.111    1
X2                 X4                 X8                  11.503    1
X0                 X1                 X6                  11.347    1
X1                 X3                 X8                  11.090    1
X0                 X6                 X9                  10.770    1
X4                 X5                 X8                  10.754    1
X1                 X5                 X9                  10.683    1
X4                 X8                 X9                  10.580    1
X3                 X4                 X7                  10.498    1
X0                 X2                 X6                  10.415    1
X1                 X3                 X9                  10.327    1
X1                 X3                 X6                   9.946    1
X0                 X1                 X2                   9.845    1
X3                 X5                 X8                   9.559    1
X1                 X4                 X7                   9.530    1
X0                 X2                 X5                   9.391    1
X2                 X4                 X6                   9.363    1
X2                 X3                 X8                   9.163    1
X3                 X4                 X6                   8.984    1
X0                 X1                 X4                   8.980    1
X0                 X2                 X9                   8.939    1
X1                 X2                 X5                   8.904    1
X0                 X2                 X3                   8.706    1
X2                 X3                 X7                   8.656    1
X1                 X2                 X8                   8.583    1
X1                 X2                 X3                   8.551    1
X2                 X5                 X9                   8.089    1
X0                 X5                 X7                   7.977    1
X0                 X3                 X4                   7.972    1
X1                 X2                 X7                   7.833    1
X1                 X7                 X9                   7.792    1
X4                 X6                 X7                   7.732    1
X0                 X4                 X7                   7.427    1
X2                 X4                 X5                   7.371    1
X4                 X6                 X9                   7.278    1
X0                 X3                 X7                   7.094    1
X1                 X2                 X9                   6.937    1
X3                 X7                 X8                   6.913    1
X2                 X5                 X6                   6.911    1
X2                 X4                 X7                   6.742    1
X1                 X2                 X6                   6.697    1
X4                 X5                 X6                   6.669    1
X1                 X4                 X6                   6.458    1
X2                 X3                 X5                   6.393    1
X2                 X5                 X7                   6.340    1
X3                 X5                 X6                   6.122    1
X2                 X7                 X9                   6.068    1
X4                 X7                 X8                   6.060    1
X0                 X3                 X5                   6.031    1
X0                 X1                 X5                   6.027    1
X3                 X8                 X9                   5.967    1
X1                 X6                 X7                   5.884    1
X6                 X8                 X9                   5.781    1
X3                 X4                 X5                   5.673    1
X5                 X6                 X7                   5.667    1
X0                 X1                 X7                   5.645    1
X5                 X8                 X9                   5.636    1
X0                 X4                 X5                   5.604    1
X4                 X5                 X9                   5.576    1
X1                 X4                 X9                   5.489    1
X2                 X6                 X9                   5.279    1
X1                 X5                 X7                   5.116    1
X7                 X8                 X9                   4.723    1
X0                 X1                 X9                   4.635    1
X0                 X2                 X7                   4.631    1
X5                 X6                 X9                   4.408    1
X0                 X3                 X9                   4.073    1
X1                 X6                 X9                   4.052    1
X6                 X7                 X8                   3.982    1
X3                 X5                 X7                   3.972    1
X2                 X3                 X4                   3.898    1
X3                 X5                 X9                   3.892    1
X2                 X3                 X6                   3.849    1
X1                 X8                 X9                   3.710    1
X0                 X2                 X4                   3.566    1
X1                 X3                 X7                   3.450    1
X1                 X5                 X6                   3.450    1
X2                 X8                 X9                   3.436    1
X2                 X6                 X8                   3.403    1
X2                 X6                 X7                   3.357    1
X3                 X6                 X7                   3.269    1
X3                 X6                 X9                   3.232    1
X1                 X4                 X5                   2.819    1
X2                 X3                 X9                   2.710    1
X2                 X7                 X8                   0        1
X5                 X7                 X8                   0        1
X1                 X2                 X4                   0        1
X1                 X5                 X8                   0        1
X1                 X7                 X8                   0        1
X4                 X5                 X7                   0        1
